city,state,2010population,2011population,2012population,2013population,2014population,2015population,2016population,populationRecent,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,dnrCount,zeroCount
Cleves,Ohio,2724,3236,3225,3341,No Data,No Data,No Data,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Clewiston,Florida,7168,7253,7244,6999,7141,No Data,No Data,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Clifford Township,Pennsylvania,2449,2416,2403,No Data,No Data,No Data,No Data,,0,0,0,0,0,0,DNR,DNR,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Cliffside Park,New Jersey,23139,23673,23867,23991,25665,25953,24977,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Clifton,New Jersey,3488,3514,3509,3411,3359,3330,3344,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Clifton Forge,Virginia,3907,3930,3909,3876,3864,3750,3713,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Clifton Heights,Pennsylvania,6594,No Data,6668,6654,6666,6672,6691,,0,DNR,0,DNR,DNR,DNR,DNR,DNR,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,,
Clifton Springs Village,New York,2117,2137,2151,No Data,No Data,No Data,2087,,0,0,0,0,0,0,DNR,0,0,DNR,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0, DNR,,
Climax,Georgia,269,284,282,275,268,273,No Data,,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,,
Clint,Texas,972,945,964,923,945,No Data,1199,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,0,0,0,0,,
Clinton,Michigan,2238,2163,2158,2138,2131,2129,2138,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Clinton Township,Michigan,4075,4112,13514,4072,4093,4104,12933,,0,0,0,0,0,0,0,DNR,0,0,1,0,0,0,0,0,0,0,0, DNR,0,0,0,0, DNR,0,0,0,,
Clintonville,Wisconsin,4289,4579,4594,4485,4497,4461,4434,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Clintwood,Virginia,1493,1431,1414,1374,1355,1328,1309,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Clio,Michigan,714,734,722,696,699,689,682,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Clive,Iowa,15894,15528,15920,16467,16881,17470,17836,,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cloquet,Minnesota,No Data,No Data,No Data,12005,12030,12069,12064,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Closter,New Jersey,8759,8401,8469,8548,8598,8629,8674,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Clover,South Carolina,5292,5153,5245,5342,5470,5696,5874,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cloverdale,California,8357,8719,8775,8718,8766,8839,8848,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cloverport,Kentucky,1222,1160,1168,1159,1160,1146,1157,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Clovis,California,95901,96755,97828,99483,100705,103769,105865,,0,0,5,1,0,2,1,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1,1,0,0,1,0,,
Clute,Texas,10930,11447,11631,11305,11305,11437,11490,,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR, DNR,0,0,0,0,0,0,0,0,0,0,0,0,,
Clyde,North Carolina,3774,3791,3759,3706,3740,3769,3784,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Clyde Hill,Washington,2767,3031,3077,3146,3198,3251,3279,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Clyde Village,New York,2043,2102,2096,2049,2031,2001,1990,,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Clymer,Pennsylvania,1413,No Data,No Data,No Data,1319,1309,1307,,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0, DNR,0,0,0, DNR,,
Coachella,California,42480,41183,42034,43330,43633,44953,45402,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
Coal City,Illinois,No Data,No Data,5598,5547,5524,5505,5469,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Coal Grove,Ohio,No Data,No Data,No Data,2156,2158,2152,No Data,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR, DNR, DNR, DNR,0, DNR,0, DNR, DNR, DNR,0, DNR, DNR,DNR,DNR,DNR,DNR,,
Coal Run Village,Kentucky,626,1718,1707,1678,1644,1615,1582,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Coal Township,Pennsylvania,10195,10416,10404,10417,10603,10556,10480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR, DNR,0,0,0,0,0,,
Coal Valley,Illinois,4026,3754,3744,3783,3748,3748,3753,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Coaldale,Pennsylvania,2104,2288,2272,2238,2237,2206,2181,,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Coalgate,Oklahoma,1926,1988,1981,1981,1939,1910,1849,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Coalinga,California,18833,13537,13669,16398,16445,16073,16282,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,
Coalton,Ohio,No Data,No Data,No Data,469,470,464,No Data,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR, DNR, DNR, DNR,0,0,0,0,0,0,0,0, DNR,DNR,DNR,DNR,DNR,,
Coatesville,Pennsylvania,11920,13142,13237,13144,13141,13179,13157,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,,
Coats,North Carolina,2218,2139,2219,2318,2395,2440,2467,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cobden,Illinois,1071,1160,1151,1136,1130,1142,1136,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cobleskill Village,New York,4486,4699,4683,4503,4488,4499,4545,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Coburg,Oregon,1075,No Data,No Data,No Data,No Data,No Data,No Data,,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Cochran,Georgia,5087,5218,5251,4782,4737,4768,4234,,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,,
Cochranton,Pennsylvania,1059,1140,1135,1114,1116,1114,1104,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0, DNR,0,0,0,0,0,,
Cockrell Hill,Texas,4287,4281,4343,4317,4311,4334,4340,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cocoa,Florida,16469,17374,17381,17238,17289,No Data,17825,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,1, DNR, DNR, DNR,,
Cocoa Beach,Florida,11790,11384,11388,11268,11347,No Data,No Data,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Coconut Creek,Florida,51184,53630,54651,55659,57766,No Data,No Data,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Cody,Wyoming,9730,9597,9793,9736,9906,9789,9842,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Coeburn,Virginia,1982,No Data,2168,2117,2108,1998,1982,,0,0,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Coeur d'Alene,Idaho,No Data,44625,45267,46023,46952,48871,50155,,DNR,DNR,DNR,DNR,1,2,3,1,1,4,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,3,1,1,,
Coeur d'Alene4,Idaho,44626,No Data,No Data,No Data,No Data,No Data,No Data,,3,0,3,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Coeymans Town,New York,7939,7451,7443,7458,7441,7447,7420,,0,0,0,1,0,0,DNR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Coffee City,Texas,208,No Data,No Data,No Data,No Data,No Data,No Data,,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Coffeeville,Alabama,340,No Data,No Data,No Data,No Data,No Data,No Data,,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Coffeyville,Kansas,10241,10360,10189,9902,9873,9782,9555,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Cohasset,Massachusetts,7347,7588,7663,8450,8493,8550,8538,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,,
Cohocton Town,New York,2506,2573,2574,2553,2540,2533,2508,,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0, DNR, DNR,0, DNR, DNR,0,0,0,0,,
Cohoes,New York,14884,16241,16220,16179,16202,16225,16615,,0,0,0,0,0,0,0,DNR,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Coitsville Township,Ohio,1614,1393,1382,1369,1353,1350,1344,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Colbert,Oklahoma,1151,1152,1165,1161,1181,1185,1191,,0,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Colby,Kansas,4811,5421,5466,5403,5417,5381,5418,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Colby-Abbotsford,Wisconsin,3606,4180,4181,4117,4120,4097,4078,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Colchester,Vermont,17434,1405,17153,1393,17346,17452,1325,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Colchester Town,New York,1988,2086,2069,No Data,2050,2043,2015,,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,0,0,0, DNR,0,0,0,0,0,0,0, DNR,,
Colcord,Oklahoma,887,No Data,No Data,No Data,No Data,No Data,No Data,,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Cold Spring,Kentucky,6172,5953,5508,5455,6191,6215,6217,,0,0,0,0,0,0,0,0,0,0,DNR,DNR,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,
Cold Spring Village,New York,No Data,2022,No Data,No Data,No Data,No Data,No Data,,DNR,DNR,DNR,DNR,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Cold Spring/Richmond,Minnesota,No Data,No Data,No Data,No Data,5460,5472,5547,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,,
Coldwater,Kansas,4374,4430,4430,4451,4454,10783,4501,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR, DNR,,
Cole Camp,Missouri,1140,1125,1126,1111,1114,1110,1101,,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Colebrook,New Hampshire,2282,2304,2278,2221,2218,2192,2167,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Colebrookdale District,Pennsylvania,6483,6039,6042,6037,6039,6012,6007,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR, DNR,0,0,0,0,,
Coleman,Florida,4573,4808,4709,4544,4473,4387,4334,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Colerain Township,Ohio,No Data,No Data,No Data,58578,58813,58974,58907,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,,
Coleraine,Minnesota,No Data,No Data,No Data,No Data,No Data,No Data,2005,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0, DNR,0,,
Colfax,Washington,2804,2849,2867,2860,1065,2835,1161,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Collbran,Colorado,No Data,No Data,No Data,No Data,700,707,No Data,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0, DNR, DNR,0,0,0,0,0,DNR,DNR,DNR,DNR,,
College Park,Georgia,19917,14126,14513,14871,14780,14751,14724,,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
College Place,Washington,9186,8903,8975,8913,9012,9046,9114,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
College Station,Texas,88416,95832,96567,98919,101483,105855,110785,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,
Collegedale,Tennessee,8343,8357,8353,9468,9889,11353,11245,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Collegeville,Pennsylvania,5117,5105,5118,5161,5375,5381,5327,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Colleyville,Texas,25480,23287,23677,24289,24915,No Data,26038,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,0,0,0,0,,
Collier Township,Pennsylvania,6588,7103,7107,7543,7741,8004,8096,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,,
Collierville,Tennessee,40286,44362,44690,46726,47757,49432,49531,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Collingdale,Pennsylvania,8436,8814,8805,8782,8786,8801,8794,,0,0,0,0,0,0,0,0,0,0,DNR,DNR,0,0, DNR, DNR,0,0,0,0,0,0,0,0,0,0,0, DNR,,
Collingswood,New Jersey,13880,13972,13983,13875,13855,13948,13943,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0, DNR,0,0,0,,
Collins,Mississippi,No Data,No Data,No Data,No Data,No Data,2559,No Data,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0, DNR, DNR, DNR,DNR,DNR,DNR,DNR,,
Collinsville,Texas,5380,1658,1655,1631,1632,1656,1700,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Collinwood,Tennessee,995,991,985,995,993,988,972,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Colma,California,1456,1813,1832,1481,1503,1531,1534,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Colman,South Dakota,546,No Data,No Data,No Data,No Data,No Data,No Data,,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Colmar Manor,Maryland,1286,1417,1431,1436,1447,1474,1482,,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Coloma Township,Michigan,6483,6498,6515,6475,6429,6418,6388,,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,,
Colon,Michigan,1137,1172,1171,1157,1164,1156,1156,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Colona,Illinois,5150,No Data,5086,5151,5075,5095,5096,,DNR,0,0,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Colonial Beach,Virginia,3880,3584,3609,3554,3574,3542,3589,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Colonial Heights,Virginia,17983,17619,17632,17553,17706,17770,17814,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Colonial Regional,Pennsylvania,20560,19495,19503,19575,19803,20152,20361,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,,
Colonie Town,New York,77078,77950,77853,78215,78717,79374,80075,,0,0,0,0,0,0,DNR,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Colony,Kansas,No Data,No Data,407,398,399,No Data,No Data,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,DNR,DNR, DNR,0,0, DNR, DNR, DNR,0, DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Colorado City,Texas,3895,4233,4221,4084,4120,4130,4111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Colorado Springs,Colorado,397886,423680,432287,436108,444949,452410,464113,,3,4,2,6,4,4,1,1,0,5,7,6,2,4,1,0,1,3,3,0,2,2,3,1,0,2,1,3,,
Colquitt,Georgia,1871,2018,2017,1932,1928,1911,1864,,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,0,,
Colstrip,Montana,2395,2234,2264,2370,2337,2339,2359,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Colton,California,403,425,427,437,427,54503,55100,,0,0,0,0,DNR,0,0,0,0,0,DNR,DNR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
Colts Neck Township,New Jersey,10180,10176,10201,10075,10084,10045,10018,,0,0,1,1,0,0,2,0,0,0,1,2,0,0,2,1,0,1,2,0,0,0,0,1, DNR,0,1,0,,
Columbia,Missouri,10116,34994,35203,34952,10378,36405,37219,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Columbia City,Indiana,1991,8795,No Data,1938,1955,1955,1960,,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR, DNR, DNR,,
Columbia Falls,Montana,5569,4730,4740,4721,4824,4983,5175,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,
Columbia Heights,Minnesota,No Data,No Data,19758,19715,19712,19714,19754,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,DNR,DNR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Columbia Township,Michigan,7431,7414,7401,7415,7450,7424,7424,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Columbiana,Alabama,4210,No Data,No Data,6315,6305,6311,6269,,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Columbine Valley,Colorado,1331,1278,1302,1315,1334,1346,1381,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Columbus,Ohio,4967,5013,5010,5017,830811,3655,862515,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,42,44,33,0,0,0,0,42,29,49,31,,
Columbus Grove,Ohio,No Data,No Data,No Data,2086,2073,2071,2052,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0, DNR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Colusa,California,5952,6041,6065,5957,5942,5937,5926,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
Colville,Washington,4889,4746,4715,4674,4666,4714,4728,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Colwich,Kansas,1459,1335,1341,1335,1349,1370,1388,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Colwyn,Pennsylvania,2416,2554,2552,2544,2548,2555,2555,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,0, DNR,0, DNR,0,0,0,,
Comanche,Oklahoma,4173,4426,4373,4234,4184,4218,4171,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Combes,Texas,2925,2956,2996,3035,3050,3075,3089,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Combined Locks,Wisconsin,3327,No Data,No Data,No Data,No Data,No Data,No Data,,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Commerce,California,9187,8248,8229,6476,8324,6584,9062,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Commerce City,Colorado,46771,46713,47590,49200,50754,53261,55341,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
Commerce Township,Michigan,No Data,No Data,No Data,No Data,No Data,38185,38218,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,1,0,,
Commercial Point,Ohio,838,1583,1590,1587,1577,1602,1616,,DNR,0,DNR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,0,0,0,0,,
Compton,California,93916,97589,98057,97907,98224,99125,98861,,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,1,0,0,1,1,0,0,0,1,0,,
Concord,California,68461,80069,81396,1049,84558,87167,20189,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Concordia,Kansas,2333,5429,2443,2406,2404,2374,2378,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Condon,Oregon,610,No Data,No Data,No Data,No Data,No Data,No Data,,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
"Conemaugh Township, Cambria County",Pennsylvania,2441,2018,1999,1966,1953,1928,1910,,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,0,0,0,,
"Conemaugh Township, Somerset County",Pennsylvania,7171,7302,7256,7175,7104,7044,6961,,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0, DNR,0, DNR, DNR,0,0,0,0,0,,
"Conewago Township, Adams County",Pennsylvania,6215,7108,7097,7099,7123,7136,7200,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,,
