city,state,2010population,2011population,2012population,2013population,2014population,2015population,2016population,populationRecent,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,dnrCount,zeroCount
Coon Valley,Wisconsin,694,768,772,785,779,783,No Data,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,,
Cooper City,Florida,29679,28936,29473,33706,35676,No Data,No Data,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Coopersburg,Pennsylvania,2586,2394,2411,2406,2400,2411,2428,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,,
Cooperstown Village,New York,1849,1860,1850,1827,1830,1802,1780,,0,1,0,0,0,0,0,0,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,
Coopertown,Tennessee,3520,4317,4368,4310,4352,4411,4426,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Coos Bay,Oregon,15227,16137,No Data,No Data,No Data,No Data,16224,,0,0,0,0,1,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,1,0,,
Coosada,Alabama,1731,No Data,No Data,No Data,No Data,No Data,No Data,,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Cooter,Missouri,402,No Data,No Data,No Data,No Data,441,437,,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0, DNR,0,0,0,0, DNR,,
Copake Town,New York,3187,3631,No Data,No Data,No Data,No Data,No Data,,0,0,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Coplay,Pennsylvania,3401,3202,3228,3228,3221,3230,3236,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,,
Copley Township,Ohio,14009,No Data,No Data,No Data,No Data,No Data,17653,,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0, DNR,,
Coppell,Texas,39870,39472,40053,40449,40746,41170,41654,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Copperas Cove,Texas,30791,32706,33009,33780,33366,33105,33237,,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Copperhill,Tennessee,428,357,No Data,340,337,No Data,No Data,,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Coquille,Oregon,3926,No Data,No Data,No Data,No Data,No Data,No Data,,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Coral Gables,Florida,44559,47418,48435,50250,50316,No Data,51980,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,DNR,DNR,DNR,DNR,1, DNR, DNR, DNR,,
Coral Springs,Florida,127113,122746,125021,126608,127939,129631,No Data,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR, DNR,1, DNR,DNR,DNR,DNR,DNR,,
Coralville,Iowa,19419,19006,19294,19949,20392,20718,20957,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Coraopolis,Pennsylvania,5575,5695,5698,5661,5640,5611,5573,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,,
Corbin,Kentucky,8335,7354,7351,7257,7380,7305,7403,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,
Corcoran,California,25112,25105,5491,5539,5545,5562,5586,,0,0,0,0,0,0,0,0,DNR,0,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cordele,Georgia,11110,11294,11397,11358,11202,10893,10907,,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0, DNR,0,0,0, DNR,0,0,0,0,0,0,0,0,,
Cordell,Oklahoma,2983,2946,2920,2903,2925,2887,2917,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Corder,Missouri,404,405,403,398,396,395,395,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cordova,Alabama,2265,No Data,No Data,2273,2293,2220,2186,,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,,
Corinth,Texas,22185,20354,20971,20692,20810,21086,21243,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cornelia,Georgia,3725,4215,4229,4170,4193,4218,4232,,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0, DNR,0,0,0, DNR,0,0,0,0,0,0,0,0,,
Cornelius,North Carolina,26180,25181,25800,26683,27396,28139,28756,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cornell,Wisconsin,1398,1473,1479,1473,1461,1444,1435,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cornersville,Tennessee,986,1205,1215,1194,1208,1214,1227,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Corning,Arkansas,10046,11233,11247,11087,11041,10948,10841,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cornish,New Hampshire,No Data,No Data,No Data,No Data,No Data,No Data,1617,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,,
Cornwall,Pennsylvania,3562,4125,4141,4188,4197,4219,4249,,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,,
Cornwall Town,New York,9724,9671,9736,9543,9527,9511,9589,,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,0,0, DNR, DNR,0,0,0,0,0,0,0,0,0,0,0,0,,
Cornwall-on-Hudson Village,New York,No Data,No Data,No Data,2978,2964,2960,2955,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Corona,California,153311,154165,157342,160159,161128,163633,166534,,1,0,1,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Coronado,California,22033,24987,19345,23183,23385,25138,24974,,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Corpus Christi,Texas,287559,311637,312565,314523,319211,324326,327948,,2,1,0,0,0,1,2,0,1,1,2,0,0,0,0,1,1,1,3,1, DNR, DNR, DNR,1,0,0,0,0,,
Corrales,New Mexico,8107,8422,8515,8484,No Data,No Data,No Data,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Corrigan,Texas,1881,1629,1633,1559,1541,1525,1529,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Corry,Pennsylvania,6315,6626,6617,6546,6491,6421,6384,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0, DNR,0,0,0,0,0,,
Corsica,South Dakota,559,No Data,No Data,No Data,No Data,No Data,No Data,,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Corsicana,Texas,26344,24270,24284,23940,23976,24027,23974,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cortez,Colorado,8570,8630,8568,8470,8588,8631,8761,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cortland,New York,4501,7109,7069,7023,6999,19163,6894,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Corunna,Michigan,3218,3494,3462,3410,3401,3399,3386,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Corvallis,Oregon,51276,55042,55062,55218,55541,55100,56061,,4,0,0,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,,
Corydon,Indiana,2819,3138,3130,3103,3118,No Data,No Data,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Cosmopolis,Washington,1660,1675,1659,1605,1588,1575,1583,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Costa Mesa,California,110424,111253,112635,112538,112709,113477,113816,,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Cotati,California,7306,7350,7398,7388,7424,7469,7479,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cottage City,Maryland,1147,1317,1329,1339,1349,1377,1383,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cottage Grove,Minnesota,6223,6219,6311,6478,6546,6739,6954,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cottageville,South Carolina,674,771,766,746,737,734,733,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Cotter,Arkansas,1096,977,975,954,949,941,947,,0,0,0,0,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cottleville,Missouri,3359,3086,3121,3682,3836,4104,5151,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cottondale,Florida,878,946,936,899,901,No Data,No Data,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Cottonwood,Alabama,1039,910,916,926,912,922,925,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cottonwood Heights,Utah,34381,34078,34528,34208,34439,34349,34493,,0,0,0,0,0,0,0,0,0,0,0,0, DNR, DNR,0,0,0,0,0,0,0, DNR,0,0,0,0,0,0,,
Cottonwood Shores,Texas,1235,1147,No Data,No Data,No Data,No Data,1166,,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,,
