state,city,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2010population,2011population,2012population,2013population,2014population,2015population,2016population, populationRecent
Alabama,Alexander City,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,15229,No Data,No Data,No Data,No Data,No Data,No Data
Virginia,Alexandria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957,975,"145,892",148519,992,990,1625
New York,Alexandria Bay Village,0,0,0,0,0,0,0,0,DNR,0,0,0,0, DNR,0, DNR,0,0,0,0,0,0,0, DNR,0,0,0,0,1114,1083,"1,100",1128,1107,1109,1102
Illinois,Alexis,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,815,805
New York,Alfred Village,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4933,4193,No Data,4089,4032,3992,4039
Wisconsin,Algoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3130,3181,"3,177",3143,3116,3103,3079
Iowa,Algona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2838,3061,"3,104",3123,3116,3158,5453
Michigan,Algonac,0,0,0,0,0,0,0,1,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,4445,4107,No Data,No Data,No Data,No Data,No Data
Illinois,Algonquin,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,No Data,No Data,"30,159",29980,30566,30497,30673
Tennessee,Algood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3472,3527,"3,555",3517,3577,3618,3770
