Year,State,Agency type,Agency name,quarter01,quarter02,quarter03,quarter04,Population2
2010,CALIFORNIA,Cities,Red Bluff,0,1,0,0,13836
2010,CALIFORNIA,Cities,Redding,3,1,1,0,91414
2010,CALIFORNIA,Cities,Redlands,1,0,0,0,70552
2010,CALIFORNIA,Cities,Redondo Beach,2,2,1,2,66985
2010,CALIFORNIA,Cities,Redwood City,0,1,0,0,74355
2010,CALIFORNIA,Cities,Richmond,0,3,1,1,103442
2010,CALIFORNIA,Cities,Ridgecrest,0,0,1,0,25973
2010,CALIFORNIA,Cities,Ripon,0,3,0,1,15271
2010,CALIFORNIA,Cities,Riverbank,2,0,0,0,21241
2010,CALIFORNIA,Cities,Riverside,6,2,6,7,301859
2010,CALIFORNIA,Cities,Rohnert Park,1,2,2,0,40843
2010,CALIFORNIA,Cities,Rolling Hills Estates,0,0,1,0,7841
2010,CALIFORNIA,Cities,Roseville,1,1,1,0,119755
2010,CALIFORNIA,Cities,Sacramento,5,7,8,5,472469
2010,CALIFORNIA,Cities,San Bernardino,0,2,0,0,199214
2010,CALIFORNIA,Cities,San Bruno,0,0,1,1,41517
2010,CALIFORNIA,Cities,San Diego,11,13,13,12,1313433
2010,CALIFORNIA,Cities,San Francisco,18,10,18,17,818594
2010,CALIFORNIA,Cities,San Jacinto,0,1,0,0,39703
2010,CALIFORNIA,Cities,San Jose,4,4,9,7,970252
2010,CALIFORNIA,Cities,San Juan Capistrano,0,0,1,0,35241
2010,CALIFORNIA,Cities,San Leandro,0,1,5,5,78447
2010,CALIFORNIA,Cities,San Luis Obispo,1,2,0,0,44008
2010,CALIFORNIA,Cities,San Marcos,1,1,3,0,83671
2010,CALIFORNIA,Cities,San Mateo,0,0,1,0,92724
2010,CALIFORNIA,Cities,San Pablo,0,1,0,0,31122
2010,CALIFORNIA,Cities,San Rafael,1,1,1,2,55832
2010,CALIFORNIA,Cities,San Ramon,0,2,0,0,50006
2010,CALIFORNIA,Cities,Santa Ana,0,1,1,2,340240
2010,CALIFORNIA,Cities,Santa Barbara,1,0,2,0,85967
2010,CALIFORNIA,Cities,Santa Clarita,1,2,3,0,170458
2010,CALIFORNIA,Cities,Santa Cruz,4,3,3,1,56860
2010,CALIFORNIA,Cities,Santa Maria,0,0,1,1,87803
2010,CALIFORNIA,Cities,Santa Monica,0,0,1,0,87817
2010,CALIFORNIA,Cities,Santa Rosa,0,0,1,1,158182
2010,CALIFORNIA,Cities,Santee,3,0,0,1,55533
2010,CALIFORNIA,Cities,Scotts Valley,1,0,0,0,11243
2010,CALIFORNIA,Cities,Shafter,0,0,1,0,16247
2010,CALIFORNIA,Cities,Sierra Madre,1,0,0,1,10796
2010,CALIFORNIA,Cities,Simi Valley,0,2,0,2,121755
2010,CALIFORNIA,Cities,Soledad,0,2,0,0,28655
2010,CALIFORNIA,Cities,Sonoma,0,0,0,1,10068
2010,CALIFORNIA,Cities,Sonora,0,1,0,0,4627
2010,CALIFORNIA,Cities,South Gate,0,0,1,0,96182
2010,CALIFORNIA,Cities,South Lake Tahoe,0,1,0,3,23540
2010,CALIFORNIA,Cities,Stanton,2,0,0,0,37912
2010,CALIFORNIA,Cities,Stockton,2,0,0,0,292047
2010,CALIFORNIA,Cities,Sunnyvale,1,0,0,2,134073
2010,CALIFORNIA,Cities,Tehachapi,1,0,0,0,12137
2010,CALIFORNIA,Cities,Temecula,1,0,0,1,102474
2010,CALIFORNIA,Cities,Temple City,1,0,0,0,38648
2010,CALIFORNIA,Cities,Thousand Oaks,1,1,2,0,124042
2010,CALIFORNIA,Cities,Torrance,1,0,1,1,140411
2010,CALIFORNIA,Cities,Tracy,1,1,0,0,81712
2010,CALIFORNIA,Cities,Truckee,0,1,0,0,16491
2010,CALIFORNIA,Cities,Turlock,0,1,0,1,69961
2010,CALIFORNIA,Cities,Tustin,0,1,0,1,72982
2010,CALIFORNIA,Cities,Union City,0,0,1,1,73356
2010,CALIFORNIA,Cities,Upland,0,1,1,0,73341
2010,CALIFORNIA,Cities,Vacaville,0,0,1,1,92177
2010,CALIFORNIA,Cities,Vallejo,1,2,1,2,114258
2010,CALIFORNIA,Cities,Ventura,2,1,2,1,104661
2010,CALIFORNIA,Cities,Visalia,0,0,3,2,125036
2010,CALIFORNIA,Cities,Vista,1,0,1,1,92765
2010,CALIFORNIA,Cities,Walnut Creek,0,0,1,1,63897
2010,CALIFORNIA,Cities,Watsonville,0,0,3,0,51488
2010,CALIFORNIA,Cities,West Covina,1,0,1,0,105395
2010,CALIFORNIA,Cities,West Hollywood,1,3,3,2,35885
2010,CALIFORNIA,Cities,Westminster,2,2,2,1,89604
2010,CALIFORNIA,Cities,Whittier,0,0,1,0,81611
2010,CALIFORNIA,Cities,Yorba Linda,0,0,1,0,66813
