state,agencyType,agencyName,q01,q02,q03,q04,population,addendum
Arkansas,Cities,Searcy,0,0,DNR,DNR,"23,239",0
Arkansas,Cities,Sheridan,0,0,0,0,"4,655",0
Arkansas,Cities,Siloam Springs,0,0,0,0,"15,497",0
Arkansas,Cities,Stamps,0,0,0,0,"1,671",0
Arkansas,Cities,Star City,0,0,0,0,"2,258",0
Arkansas,Cities,Stuttgart,0,0,0,0,"9,299",0
Arkansas,Cities,Swifton,0,0,0,0,794,0
Arkansas,Cities,Texarkana,0,0,0,0,"30,231",0
Arkansas,Cities,Trumann,0,0,0,0,"7,250",0
Arkansas,Cities,Tuckerman,0,0,0,0,"1,853",0
Arkansas,Cities,Van Buren,0,0,0,0,"22,877",0
Arkansas,Cities,Vilonia,0,0,0,0,"3,939",0
Arkansas,Cities,Waldron,0,0,0,0,"3,644",0
Arkansas,Cities,Walnut Ridge,0,0,0,0,"4,842",0
Arkansas,Cities,Ward,0,0,0,0,"4,143",0
Arkansas,Cities,Warren,0,0,0,0,"6,013",0
Arkansas,Cities,Weiner,0,0,0,0,717,0
Arkansas,Cities,West Fork,0,0,0,0,"2,385",0
Arkansas,Cities,West Memphis,0,0,0,0,"26,153",0
Arkansas,Cities,White Hall,0,0,0,0,"5,456",0
Arkansas,Cities,Wynne,0,0,0,0,"8,360",0
Arkansas,Universities and Colleges,Arkansas State University:,DNR,DNR,DNR,DNR,Not Available,0
Arkansas,Universities and Colleges,Beebe,0,0,0,0,"4,689",0
Arkansas,Universities and Colleges,Jonesboro,0,0,0,0,"13,900",0
Arkansas,Universities and Colleges,Arkansas Tech University,0,0,0,0,"10,464",0
Arkansas,Universities and Colleges,Henderson State University,0,0,0,0,"3,774",0
Arkansas,Universities and Colleges,Southern Arkansas University,0,0,0,0,"3,382",0
Arkansas,Universities and Colleges,Southern Arkansas University Tech,0,0,0,0,"2,136",0
Arkansas,Universities and Colleges,University of Arkansas:,DNR,DNR,DNR,DNR,Not Available,0
Arkansas,Universities and Colleges,Medical Sciences,0,0,0,0,"2,819",0
Arkansas,Universities and Colleges,Monticello,0,0,0,0,"3,920",0
Arkansas,Universities and Colleges,Pine Bluff,0,0,0,0,"3,188",0
Arkansas,Universities and Colleges,University of Central Arkansas,0,0,0,0,"11,163",0
Arkansas,Metropolitan Counties,Benton,0,0,0,0,Not Available,0
Arkansas,Metropolitan Counties,Cleveland,0,0,0,0,Not Available,0
Arkansas,Metropolitan Counties,Craighead,0,0,0,0,Not Available,0
Arkansas,Metropolitan Counties,Crawford,0,0,0,0,Not Available,0
Arkansas,Metropolitan Counties,Crittenden,0,0,0,0,Not Available,0
Arkansas,Metropolitan Counties,Faulkner,0,0,DNR,DNR,Not Available,0
Arkansas,Metropolitan Counties,Grant,0,0,0,0,Not Available,0
Arkansas,Metropolitan Counties,Jefferson,0,0,0,0,Not Available,0
Arkansas,Metropolitan Counties,Lincoln,0,0,0,0,Not Available,0
Arkansas,Metropolitan Counties,Little River,0,0,0,0,Not Available,0
Arkansas,Metropolitan Counties,Lonoke,0,0,0,0,Not Available,0
Arkansas,Metropolitan Counties,Madison,0,0,0,0,Not Available,0
Arkansas,Metropolitan Counties,Miller,0,0,0,0,Not Available,0
Arkansas,Metropolitan Counties,Poinsett,0,0,0,0,Not Available,0
Arkansas,Metropolitan Counties,Sebastian,0,0,0,0,Not Available,0
Arkansas,Metropolitan Counties,Washington,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Arkansas,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Ashley,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Baxter,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Boone,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Bradley,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Calhoun,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Carroll,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Chicot,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Clark,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Clay,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Cleburne,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Columbia,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Conway,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Cross,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Dallas,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Drew,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Franklin,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Fulton,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Greene,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Hempstead,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Howard,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Izard,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Jackson,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Johnson,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Lawrence,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Lee,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Logan,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Marion,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Mississippi,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Monroe,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Nevada,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Newton,0,DNR,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Ouachita,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Pike,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Polk,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Pope,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Prairie,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Randolph,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Scott,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Searcy,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Sevier,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,St. Francis,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Stone,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Union,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Van Buren,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,White,0,0,0,0,Not Available,0
Arkansas,Nonmetropolitan Counties,Yell,0,0,0,0,Not Available,0
Arkansas,State Agencies,Camp Robinson,0,0,0,0,Not Available,0
Arkansas,State Agencies,State Capitol Police,0,0,0,0,Not Available,0
California,Cities,Alameda,0,0,0,0,"75,467",0
California,Cities,Albany,0,0,0,0,"18,960",0
California,Cities,Alhambra,0,0,0,0,"84,469",0
California,Cities,Alturas,0,0,0,0,"2,802",0
