State,Agency type,Agency name,q01,q02,q03,q04,Population,From,,,,
,,Tehachapi,1,0,0,0,"14,766",,,,,
,,Temecula,3,1,0,0,"103,414",,,,,
,,Temple City,0,0,1,0,"36,148",,,,,
,,Thousand Oaks,0,2,0,1,"129,171",,,,,
,,Torrance,1,1,0,0,"147,851",,,,,
,,Tracy,1,0,0,1,"85,047",,,,,
,,Tulare,0,0,0,1,"60,848",,,,,
,,Turlock,0,0,0,1,"69,730",,,,,
,,Ukiah,0,1,0,0,"16,172",,,,,
,,Union City,1,0,0,0,"71,089",,,,,
,,Upland,0,0,1,0,"75,531",,,,,
,,Vallejo,1,0,0,1,"117,912",,,,,
,,Ventura,0,2,1,0,"108,511",,,,,
,,Victorville,0,0,1,1,"118,687",,,,,
,,Villa Park,0,0,0,1,"5,956",,,,,
,,Visalia,1,0,1,0,"127,604",,,,,
,,Vista,0,1,3,0,"96,087",,,,,
,,Walnut Creek,0,0,0,1,"65,816",,,,,
,,Watsonville,2,0,0,1,"52,064",,,,,
,,West Covina,0,1,3,2,"107,861",,,,,
,,West Hollywood,2,5,2,4,"34,971",,,,,
,,Yorba Linda,0,0,0,1,"65,820",,,,,
,,Yucaipa,0,1,0,0,"52,622",,,,,
,Universities and Colleges,,,,,,,,,,,
,,Allan Hancock College,0,1,0,2,"10,955",,,,,
,,"California State Polytechnic University, Pomona",0,0,0,1,"21,107",,,,,
,,California State University:,,,,,,,,,,
,,Dominguez Hills,0,0,0,1,"14,364",,,,,
,,Fullerton,1,1,1,0,"36,156",,,,,
,,Long Beach,0,0,0,1,"34,870",,,,,
,,Northridge,3,0,0,0,"36,911",,,,,
,,San Jose,0,0,0,2,"30,236",,,,,
,,San Marcos,0,0,0,2,"10,276",,,,,
,,Marin Community College,0,0,1,0,"7,075",,,,,
,,Riverside Community College,0,0,1,0,"18,395",,,,,
,,San Diego State University,0,1,0,0,"30,541",,,,,
,,Santa Rosa Junior College,0,1,1,0,"24,199",,,,,
,,University of California:,,,,,,,,,,
,,Berkeley,0,1,2,2,"36,137",,,,,
,,Irvine,0,0,1,0,"27,189",,,,,
,,Los Angeles,1,0,0,0,"39,271",,,,,
,,Riverside,1,1,0,0,"20,900",,,,,
,,San Diego,1,0,0,0,"28,593",,,,,
,,San Francisco,0,2,0,0,"3,054",,,,,
,Metropolitan Counties,,,,,,,,,,,
,,Alameda,0,0,0,1,,,,,,
,,Butte,1,0,0,0,,,,,,
,,Contra Costa,0,1,0,0,  ,,,,,
,,El Dorado,1,2,0,1,,,,,,
,,Kern,0,0,0,1,,,,,,
,,Los Angeles,9,5,11,2,,,,,,
,,Monterey,1,0,0,0,,,,,,
,,Orange,0,1,1,0,,,,,,
,,Riverside,0,0,1,2,,,,,,
,,Sacramento,5,7,4,4,,,,,,
,,San Bernardino,1,0,0,0,,,,,,
,,San Diego,3,9,7,5,,,,,,
,,Santa Clara,0,0,1,1,,,,,,
,,Santa Cruz,3,3,2,0,,,,,,
,,Solano,1,0,0,0,,,,,,
,,Sonoma,0,1,3,0,,,,,,
,,Stanislaus,0,1,1,0,,,,,,
,,Tulare,0,1,0,0,,,,,,
,,Ventura,2,0,1,1,,,,,,
,,Yuba,0,0,1,1,,,,,,
,Nonmetropolitan Counties,,,,,,,,,,,
,,Amador,2,0,0,0,,,,,,
,,Lake,1,2,0,0,,,,,,
,,Tuolumne,1,0,0,0,,,,,,
,Other Agencies,,,,,,,,,,,
,,"Department of Parks and Recreation, Northern Buttes",1,0,0,0,,,,,,
,,Los Angeles Transportation Services Bureau,1,4,3,3,,,,,,
,,Port of San Diego Harbor,0,0,0,1,,,,,,
,,Santa Clara Transit District,1,0,0,0,,,,,,
,,San Francisco Bay Area Rapid Transit:,,,,,,,,,,
,,Alameda County,0,1,2,0,,,,,,
,,Contra Costa County,0,2,0,0,,,,,,
,,San Francisco County,2,1,0,0,,,,,,
,,San Mateo County,0,0,1,0,,,,,,
,,Stockton Unified School District,1,0,0,0,,,,,,
Colorado,Total,,,,,,,,,,,
,Cities,,,,,,,,,,,
,,Aspen,0,0,1,0,"6,734",,,,,
,,Aurora,1,0,1,1,"336,952",,,,,
,,Berthoud,1,0,0,0,"5,278",,,,,
,,Boulder,0,1,0,0,"100,257",,,,,
,,Canon City,0,0,1,1,"16,727",,,,,
,,Centennial,1,1,1,0,"104,022",,,,,
,,Colorado Springs,0,5,7,6,"432,287",,,,,
,,Craig,0,0,5,0,"9,357",,,,,
,,Denver,11,8,13,13,"628,545",,,,,
,,Durango,0,1,1,0,"17,305",,,,,
,,Englewood,0,1,1,0,"31,358",,, ,,
,,Fort Collins,0,0,1,1,"148,792",,,,,
,,Fountain,0,0,3,1,"26,841",,,,,
,,Frisco,0,1,0,0,"2,717",,,,,
,,Glendale,0,0,1,2,"4,493",,,,,
,,Glenwood Springs,0,0,1,2,"9,727",,,,,
,,Grand Junction,1,0,3,0,"59,516",,,,,
,,Greeley,3,1,2,0,"96,276",,,,,
,,Hotchkiss,,1,0,0,942,,,,,
,,Johnstown,0,0,1,0,"10,259",,,,,
,,Lafayette,0,1,3,4,"25,209",,,,,
,,La Junta,0,0,1,0,"7,187",,,,,
,,Lakewood,0,0,0,2,"146,404",,,,,
,,Littleton,2,0,0,0,"43,229",,,,,
,,Lone Tree,1,3,2,1,"88,925",,,,,
,,Longmont,4,3,0,0,"69,147",,,,,
,,Meeker,0,0,1,0,"2,554",,,,,
