Table 13,,,,,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,,,,,
per Bias Motivation and Quarter,,,,,,,,,,,,,,,,,
"by State and Agency, 2012",,,,,,,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,Number of incidents per quarter1,,,,Population2,,,,,
,,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",,,,,,
,,South Gate,1,0,0,0,0,0,0,1,0,"95,966",,,,,
,,Stockton,2,0,0,0,0,0,1,0,1,"299,105",,,,,
,,Sunnyvale,2,0,0,1,0,1,1,1,0,"143,606",,,,,
,,Taft,1,0,0,1,0,1,0,0,1,"9,552",,,,,
,,Tehachapi,1,0,0,0,0,1,0,0,0,"14,766",,,,,
,,Temecula,2,1,1,0,0,3,1,0,0,"103,414",,,,,
,,Temple City,1,0,0,0,0,0,0,1,0,"36,148",,,,,
,,Thousand Oaks,2,1,0,0,0,0,2,0,1,"129,171",,,,,
,,Torrance,1,0,1,0,0,1,1,0,0,"147,851",,,,,
,,Tracy,0,0,1,1,0,1,0,0,1,"85,047",,,,,
,,Tulare,0,0,1,0,0,0,0,0,1,"60,848",,,,,
,,Turlock,1,0,0,0,0,0,0,0,1,"69,730",,,,,
,,Ukiah,0,0,1,0,0,0,1,0,0,"16,172",,,,,
,,Union City,0,1,0,0,0,1,0,0,0,"71,089",,,,,
,,Upland,1,0,0,0,0,0,0,1,0,"75,531",,,,,
,,Vallejo,2,0,0,0,0,1,0,0,1,"117,912",,,,,
,,Ventura,1,0,2,0,0,0,2,1,0,"108,511",,,,,
,,Victorville,2,0,0,0,0,0,0,1,1,"118,687",,,,,
,,Villa Park,1,0,0,0,0,0,0,0,1,"5,956",,,,,
,,Visalia,2,0,0,0,0,1,0,1,0,"127,604",,,,,
,,Vista,2,1,0,1,0,0,1,3,0,"96,087",,,,,
,,Walnut Creek,0,1,0,0,0,0,0,0,1,"65,816",,,,,
,,Watsonville,1,0,0,2,0,2,0,0,1,"52,064",,,,,
,,West Covina,4,1,0,1,0,0,1,3,2,"107,861",,,,,
,,West Hollywood,4,0,9,0,0,2,5,2,4,"34,971",,,,,
,,Yorba Linda,0,1,0,0,0,0,0,0,1,"65,820",,,,,
