State,Agency type,Agency name,q01,q02,q03,q04,Population,From
,,Bailey,0,0,0,0,,Addendum
,,Baylor,0,0,0,0,,Addendum
,,Bee,0,0,0,0,,Addendum
,,Blanco,0,0,0,0,,Addendum
,,Borden,0,0,0,0,,Addendum
,,Bosque,0,0,0,0,,Addendum
,,Brewster,0,0,0,0,,Addendum
,,Briscoe,0,0,0,0,,Addendum
,,Brooks,0,0,0,0,,Addendum
,,Brown,0,0,0,0,,Addendum
,,Burnet,0,0,0,0,,Addendum
,,Calhoun,0,0,0,0,,Addendum
,,Camp,0,0,0,0,,Addendum
,,Cass,0,0,0,0,,Addendum
,,Castro,0,0,0,0,,Addendum
,,Cherokee,0,0,0,0,,Addendum
,,Childress,0,0,0,0,,Addendum
,,Cochran,0,0,0,0,,Addendum
,,Coke,0,0,0,0,,Addendum
,,Coleman,0,0,0,0,,Addendum
,,Collingsworth,0,0,0,0,,Addendum
,,Colorado,0,0,0,0,,Addendum
,,Comanche,0,0,0,0,,Addendum
,,Concho,0,0,0,0,,Addendum
,,Cottle,0,0,0,0,,Addendum
,,Crane,0,0,0,0,,Addendum
,,Culberson,0,0,0,0,,Addendum
,,Dallam,0,0,0,0,,Addendum
,,Dawson,0,0,0,0,,Addendum
,,Deaf Smith,0,0,0,0,,Addendum
,,Delta,0,0,0,0,,Addendum
,,Dickens,0,0,0,0,,Addendum
,,Dimmit,0,0,0,0,,Addendum
,,Donley,0,0,0,0,,Addendum
,,Duval,0,0,0,0,,Addendum
,,Eastland,0,0,,,,Addendum
,,Edwards,0,0,0,0,,Addendum
,,Erath,0,0,0,0,,Addendum
,,Fannin,0,0,0,0,,Addendum
,,Fayette,0,0,0,0,,Addendum
,,Fisher,0,0,0,0,,Addendum
,,Floyd,0,0,0,0,,Addendum
,,Foard,0,0,0,0,,Addendum
,,Franklin,0,0,0,0,,Addendum
,,Freestone,0,0,0,0,,Addendum
,,Frio,0,0,0,0,,Addendum
,,Gaines,0,0,0,0,,Addendum
,,Garza,0,0,0,0,,Addendum
,,Gillespie,0,0,0,0,,Addendum
,,Glasscock,0,0,0,0,,Addendum
,,Gonzales,0,0,0,0,,Addendum
,,Gray,0,0,0,0,,Addendum
,,Grimes,0,0,0,0,,Addendum
,,Hale,0,0,0,0,,Addendum
,,Hall,0,0,0,0,,Addendum
,,Hamilton,0,0,0,0,,Addendum
,,Hansford,0,0,0,0,,Addendum
,,Hardeman,0,0,0,0,,Addendum
,,Harrison,0,0,0,0,,Addendum
,,Hartley,0,0,0,0,,Addendum
,,Haskell,0,0,0,0,,Addendum
,,Hemphill,0,0,0,0,,Addendum
,,Henderson,0,0,0,0,,Addendum
,,Hill,0,0,0,0,,Addendum
,,Hockley,0,0,0,0,,Addendum
,,Hopkins,0,0,0,0,,Addendum
,,Houston,0,0,0,0,,Addendum
,,Howard,0,0,0,0,,Addendum
,,Hutchinson,0,0,0,0,,Addendum
,,Jack,0,0,0,0,,Addendum
,,Jasper,0,0,0,0,,Addendum
,,Jeff Davis,0,0,0,0,,Addendum
,,Jim Hogg,0,0,0,0,,Addendum
,,Jim Wells,0,0,0,0,,Addendum
,,Karnes,0,0,0,0,,Addendum
,,Kenedy,0,0,0,0,,Addendum
,,Kent,0,0,0,0,,Addendum
,,Kerr,0,0,0,0,,Addendum
,,Kimble,0,0,0,0,,Addendum
,,King,0,0,0,0,,Addendum
,,Kinney,0,0,0,0,,Addendum
,,Kleberg,0,0,0,0,,Addendum
,,Knox,0,0,0,0,,Addendum
,,Lamar,0,0,0,0,,Addendum
,,Lamb,0,0,0,0,,Addendum
,,La Salle,0,0,0,0,,Addendum
,,Lee,0,0,0,0,,Addendum
,,Leon,0,0,0,0,,Addendum
,,Limestone,0,0,0,0,,Addendum
,,Lipscomb,0,0,0,0,,Addendum
,,Live Oak,0,0,0,0,,Addendum
,,Llano,0,0,0,0,,Addendum
,,Loving,0,0,0,0,,Addendum
,,Madison,0,0,0,0,,Addendum
,,Marion,0,0,0,0,,Addendum
,,Mason,0,0,0,0,,Addendum
,,Matagorda,0,0,0,0,,Addendum
,,Maverick,0,0,0,0,,Addendum
,,McCulloch,0,0,0,0,,Addendum
,,McMullen,0,0,0,0,,Addendum
,,Menard,0,0,0,0,,Addendum
,,Milam,0,0,0,0,,Addendum
,,Mills,0,0,0,0,,Addendum
,,Mitchell,0,0,0,0,,Addendum
,,Montague,0,0,0,0,,Addendum
,,Moore,0,0,0,0,,Addendum
,,Morris,0,0,0,0,,Addendum
,,Motley,0,0,0,0,,Addendum
,,Nacogdoches,0,0,0,0,,Addendum
,,Navarro,0,0,0,0,,Addendum
,,Nolan,0,0,0,0,,Addendum
,,Ochiltree,0,0,0,0,,Addendum
,,Palo Pinto,0,0,0,0,,Addendum
,,Panola,0,0,0,0,,Addendum
,,Parmer,0,0,0,0,,Addendum
,,Pecos,0,0,0,0,,Addendum
,,Presidio,0,0,0,0,,Addendum
,,Rains,0,0,0,0,,Addendum
,,Reagan,0,0,0,0,,Addendum
,,Real,0,0,0,0,,Addendum
,,Red River,0,0,0,0,,Addendum
,,Reeves,0,0,0,0,,Addendum
,,Refugio,0,0,0,0,,Addendum
,,Roberts,0,0,0,0,,Addendum
,,Runnels,0,0,0,0,,Addendum
,,Sabine,0,0,0,0,,Addendum
,,San Augustine,0,0,0,0,,Addendum
,,San Jacinto,0,0,0,0,,Addendum
,,San Saba,0,0,0,0,,Addendum
,,Schleicher,0,0,0,0,,Addendum
,,Scurry,0,0,0,0,,Addendum
,,Shackelford,0,0,0,0,,Addendum
,,Shelby,0,0,0,0,,Addendum
,,Sherman,0,0,0,0,,Addendum
,,Starr,0,0,0,0,,Addendum
,,Stephens,0,0,0,0,,Addendum
,,Sterling,0,0,0,0,,Addendum
,,Stonewall,0,0,0,0,,Addendum
,,Sutton,0,0,0,0,,Addendum
,,Swisher,0,0,0,0,,Addendum
,,Terrell,0,0,0,0,,Addendum
,,Terry,0,0,0,0,,Addendum
,,Throckmorton,0,0,0,0,,Addendum
,,Titus,0,0,0,0,,Addendum
,,Trinity,0,0,0,0,,Addendum
,,Upton,0,0,0,0,,Addendum
,,Uvalde,0,0,0,0,,Addendum
,,Val Verde,0,0,0,0,,Addendum
,,Van Zandt,0,0,0,0,,Addendum
,,Walker,0,0,0,0,,Addendum
,,Ward,0,0,0,0,,Addendum
,,Washington,0,0,0,0,,Addendum
,,Wheeler,0,0,0,0,,Addendum
,,Wilbarger,0,0,0,0,,Addendum
,,Willacy,0,0,0,0,,Addendum
,,Winkler,0,0,0,0,,Addendum
,,Wood,0,0,0,0,,Addendum
,,Yoakum,0,0,0,0,,Addendum
,,Young,0,0,0,0,,Addendum
,,Zapata,0,0,0,0,,Addendum
,,Zavala,0,0,0,0,,Addendum
,Other Agencies,Amarillo International Airport,0,0,0,0,,Addendum
,,Department of Public Safety,0,0,0,0,,Addendum
,,Hospital District:,,,,,,Addendum
,,Dallas County,0,0,0,0,,Addendum
,,Tarrant County,0,0,0,0,,Addendum
,,Houston Metropolitan Transit Authority,0,0,0,0,,Addendum
,,Independent School District:,,,,,,Addendum
,,Aldine,0,0,0,0,,Addendum
,,Alvin,0,0,0,0,,Addendum
,,Angleton,0,0,0,0,,Addendum
,,Austin,0,0,0,0,,Addendum
,,Barbers Hill,0,0,0,0,,Addendum
,,Bay City,0,0,0,0,,Addendum
,,Cedar Hill,0,0,0,0,,Addendum
,,Columbia-Brazoria,0,0,0,0,,Addendum
,,Conroe,0,0,0,0,,Addendum
,,Ector County,0,0,0,0,,Addendum
,,Edinburg,0,0,0,0,,Addendum
,,El Paso,0,0,0,0,,Addendum
,,Floresville,0,0,0,0,,Addendum
,,Fort Bend,0,0,0,0,,Addendum
,,Galveston,0,0,0,0,,Addendum
,,Hallsville,0,0,0,0,,Addendum
,,Humble,0,0,0,0,,Addendum
,,Judson,0,0,0,0,,Addendum
,,Katy,0,0,0,0,,Addendum
,,Killeen,0,0,0,0,,Addendum
,,Klein,0,0,0,0,,Addendum
,,Lyford,0,0,0,0,,Addendum
,,Mexia,0,0,0,0,,Addendum
,,Midland,0,0,0,0,,Addendum
,,North East,0,0,0,0,,Addendum
,,Pasadena,0,0,0,0,,Addendum
,,Pflugerville,0,0,0,0,,Addendum
,,Raymondville,0,0,0,0,,Addendum
,,Rio Grande City,0,0,0,0,,Addendum
,,Sealy,0,0,0,0,,Addendum
,,Socorro,0,0,0,0,,Addendum
,,Spring,0,0,0,0,,Addendum
,,Spring Branch,0,0,0,0,,Addendum
,,Taft,0,0,0,0,,Addendum
,,United,0,0,0,0,,Addendum
,,Port of Brownsville,0,0,0,0,,Addendum
,,Port of Houston Authorty,0,0,0,0,,Addendum
