state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population
,,Emeryville,1,0,0,0,"10,207"
,,Encinitas,3,3,1,0,"61,898"
,,Escalon,0,0,1,0,"7,463"
,,Escondido,2,1,3,2,"140,662"
,,Eureka,0,0,1,0,"25,143"
,,Fontana,1,0,0,0,"192,595"
,,Fort Bragg,0,1,0,2,"6,550"
,,Foster City,0,0,0,1,"29,283"
,,Fountain Valley,2,0,0,0,"55,879"
,,Fremont,0,0,2,0,"205,477"
,,Fresno,3,2,1,0,"484,734"
,,Galt,1,0,0,0,"24,517"
,,Garden Grove,0,2,1,0,"166,287"
,,Glendale,3,0,1,0,"196,877"
,,Grass Valley,0,1,0,0,"12,330"
,,Greenfield,1,0,0,0,"15,626"
,,Gridley,1,0,0,0,"6,528"
,,Hawaiian Gardens,1,0,1,0,"15,211"
,,Hercules,0,0,2,0,"25,192"
,,Hermosa Beach,0,1,0,0,"19,408"
,,Hesperia,1,0,1,0,"88,876"
,,Huntington Beach,2,5,2,1,"193,545"
,,Indio,1,1,0,1,"89,621"
,,La Habra,1,1,1,0,"59,355"
,,Lake Forest,0,0,1,0,"75,780"
,,Lakewood,2,2,0,0,"77,901"
,,La Mesa,1,1,0,0,"55,580"
,,Lancaster,2,1,4,0,"148,632"
,,La Quinta,2,1,1,2,"47,441"
,,La Verne,1,0,0,0,"34,066"
,,Lemoore,0,0,1,0,"24,766"
,,Livermore,1,11,3,0,"81,769"
,,Lodi,0,0,1,0,"61,812"
,,Long Beach,1,3,2,4,"462,267"
,,Los Alamitos,1,0,3,0,"11,698"
,,Los Angeles,29,43,38,28,"3,841,707"
,,Los Gatos,6,0,0,0,"29,558"
,,Madera,0,0,3,0,"58,147"
,,Malibu,0,1,2,0,"13,078"
,,Manteca,0,1,0,0,"67,344"
,,Marina,0,0,1,0,"17,921"
,,Marysville,0,0,1,0,"11,548"
,,Maywood,0,1,0,0,"28,114"
,,Merced,1,0,1,0,"77,484"
,,Millbrae,0,0,1,0,"21,295"
,,Mission Viejo,2,0,1,0,"94,679"
,,Modesto,1,2,2,1,"203,890"
,,Monterey,1,0,1,1,"27,619"
,,Moreno Valley,1,3,0,0,"197,294"
,,Murrieta,0,0,0,1,"104,343"
