state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population,addendum,,,,
,,Red Wing,0,1,,,"16,578",0,,,,
,,Richfield,1,1,0,,"35,953",0,,,,
,,Rochester,1,3,,,"108,582",0,,,,
,,Roseville,0,1,,,"34,276",0,,,,
,,Shakopee,0,1,,,"38,057",0,,,,
,,St. Cloud,1,1,,,"66,593",0,,,,
,,St. Louis Park,,2,,,"46,176",0,,,,
,,St. Paul,3,5,,,"290,700",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Chisago,0,1,,,,0,,,,
,,Le Sueur,1,,,,,0,,,,
,,Mille Lacs,,1,,,,0,,,,
,,Olmsted,1,,,,,0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Beltrami,1,1,,,,0,,,,
,,Cass,1,,,,,0,,,,
Mississippi,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Biloxi,0,1,0,2,"45,037",0,,,,
,,Gulfport,3,3,6,2,"69,369",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,University of Mississippi: Oxford,0,0,0,1,"18,224",0,,,,
Missouri,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Belton,0,1,0,0,"23,295",0,,,,
,,Columbia,0,1,0,0,"110,646",0,,,,
,,Creve Coeur,0,0,2,0,"17,863",0,,,,
,,Crocker,1,0,0,0,"1,136",0,,,,
,,De Soto,0,0,1,0,"6,433",0,,,,
,,Edmundson,1,0,0,0,836,0,,,,
,,Gladstone,0,0,1,0,"25,832",0,,,,
,,Grain Valley,0,0,1,0,"12,922",0,,,,
,,Independence,2,2,,2,"117,433",0,,,,
,,Kansas City,12,14,16,7,"464,073",0,,,,
,,Lee's Summit,,3,1,1,"91,840",0,,,,
,,Macon,0,1,0,0,"5,490",0,,,,
,,Milan,0,0,1,0,"1,948",0,,,,
,,Overland,1,0,0,,"16,089",0,,,,
,,Peculiar,1,0,0,0,"4,645",0,,,,
,,Raytown,0,1,1,0,"29,678",0,,,,
,,Rolla,1,0,1,6,"19,543",0,,,,
,,Smithville,0,0,1,0,"8,563",0,,,,
,,Springfield,0,0,1,,"160,962",0,,,,
,,St. Charles,0,0,0,2,"66,723",0,,,,
,,St. Louis,0,5,1,0,"318,667",0,,,,
,,St. Peters,1,1,1,0,"53,364",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,University of Missouri:,,,,,,0,,,,
,,Columbia,1,0,0,0,"33,762",0,,,,
,,Kansas City,1,0,0,0,"15,473",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Greene,1,0,0,0,,0,,,,
,,Jasper,0,0,1,0,,0,,,,
,,St. Louis County Police Department,1,0,0,1,,0,,,,
,,Warren,1,0,0,0,,0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Stone,1,0,0,0,,0,,,,
Montana,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Billings,1,4,1,2,"106,371",0,,,,
,,Colstrip,0,0,0,1,"2,264",0,,,,
,,Helena,0,0,1,1,"28,791",0,,,,
,,Missoula,1,2,2,1,"67,758",0,,,,
,,Polson,0,1,0,0,"4,555",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Carbon,0,0,1,0,,0,,,,
,,Cascade,1,0,0,0,,0,,,,
,,Golden Valley,0,1,0,0,,0,,,,
,,Missoula,0,1,3,3,,0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Big Horn,0,0,0,1,,0,,,,
,,Flathead,0,0,1,0,,0,,,,
,,Lewis and Clark,2,0,1,2,,0,,,,
,,Silver Bow,0,1,0,0,,0,,,,
Nebraska,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Fremont,1,1,0,0,"26,641",0,,,,
,,Kearney,0,1,2,0,"31,392",0,,,,
,,North Platte,1,0,0,0,"24,806",0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Buffalo,0,1,1,0,,0,,,,
,,Keith,0,0,1,0,,0,,,,
Nevada,Total,,, ,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Henderson,1,1,,1,"263,469",0,,,,
,,Las Vegas Metropolitan Police Department,27,18,12,16,"1,479,393",0,,,,
,,North Las Vegas,1,2,6,1,"221,884",0,,,,
,,Reno,,2,1,2,"230,486",0,,,,
New Hampshire,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Belmont,0,0,0,1,"7,385",0,,,,
,,Bristol,0,0,2,0,"3,053",0,,,,
,,Concord,0,1,0,1,"42,815",0,,,,
,,Dover,0,0,1,0,"30,226",0,,,,
,,Dunbarton,0,1,0,0,"2,766",0,,,,
,,Durham,1,0,1,0,"14,712",0,,,,
,,Epping,1,0,0,0,"6,443",0,,,,
,,Hooksett,0,0,1,0,"13,489",0,,,,
,,Hudson,1,1,0,0,"24,574",0,,,,
,,Kingston,1,0,0,0,"6,058",0,,,,
,,Lancaster,0,0,0,1,"3,476",0,,,,
,,Lebanon,0,0,1,0,"13,145",0,,,,
,,Lincoln,0,1,0,0,"1,661",0,,,,
,,Manchester,0,1,0,1,"110,040",0,,,,
,,Marlborough,0,0,1,0,"2,060",0,,,,
,,Merrimack,0,1,1,0,"25,606",0,,,,
,,Milton,1,0,0,0,"4,636",0,,,,
,,Pembroke,0,1,0,0,"7,137",0,,,,
,,Rochester,0,2,0,1,"29,992",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,University of New Hampshire,1,0,0,0,"15,128",0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Carroll,0,0,1,0,,0,,,,
New Mexico,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Los Lunas,,1,,1,"14,957",0,,,,
New York,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Albany,1,,,1,"98,187",0,,,,
,,Amherst Town,1,2,1,0,"117,591",0,,,,
,,Auburn,0,2,2,0,"27,739",0,,,,
,,Binghamton,0,2,0,0,"47,250",0,,,,
,,Buffalo,2,12,13,9,"262,434",0,,,,
,,Clarkstown Town,0,1,,3,"80,186",0,,,,
,,Coeymans Town,0,1,0,0,"7,443",0,,,,
,,Cohoes,0,1,0,0,"16,220",0,,,,
,,Colonie Town,0,0,1,0,"77,853",0,,,,
,,Cortland,1,0,0,0,"19,316",0,,,,
,,Crawford Town,2,0,1,0,"9,419",0,,,,
,,Croton-on-Hudson Village,2,3,0,,"8,171",0,,,,
,,East Hampton Town,0,0,1,,"19,569",0,,,,
,,East Rochester Village,0,0,1,,"6,632",0,,,,
,,Glens Falls,0,1,0,0,"14,807",0,,,,
,,Gloversville,0,1,0,0,"15,705",0,,,,
,,Greenburgh Town,1,0,0,,"43,409",0,,,,
,,Hempstead Village,0,0,1,0,"54,380",0,,,,
,,Hudson Falls Village,0,0,1,0,"7,314",0,,,,
,,Ithaca,1,1,1,0,"30,216",0,,,,
,,Lackawanna,1,0,0,0,"18,219",0,,,,
,,Lowville Village,0,0,1,0,"3,486",0,,,,
,,Manlius Town,0,1,0,0,"24,678",0,,,,
,,Mechanicville,0,1,0,0,"5,255",0,,,,
,,Monroe Village,0,1,1,,"8,458",0,,,,
,,Mount Vernon,1,2,0,0,"68,146",0,,,,
,,New Rochelle,0,0,1,1,"78,025",0,,,,
,,New York,107,97,84,84,"8,289,415",0,,,,
,,Niagara Falls,1,0,0,0,"50,356",0,,,,
,,Nissequogue Village,0,0,1,0,"1,763",0,,,,
,,Orangetown Town,1,0,0,0,"37,425",0,,,,
,,Peekskill,1,1,0,,"23,883",0,,,,
,,Poughkeepsie,0,0,1,0,"32,967",0,,,,
,,Poughkeepsie Town,0,2,0,1,"42,698",0,,,,
,,Ramapo Town,1,0,0,0,"85,448",0,,,,
,,Rochester,1,0,0,0,"211,993",0,,,,
,,Saranac Lake Village,0,,0,1,"5,420",0,,,,
,,Southold Town,0,0,0,2,"19,951",0,,,,
,,Tarrytown Village,1,0,0,0,"11,415",0,,,,
,,Tonawanda Town,0,1,0,0,"58,393",0,,,,
,,Tuckahoe Village,0,1,0,0,"6,567",0,,,,
,,Tupper Lake Village,0,1,0,,"3,684",0,,,,
,,Utica,0,0,1,1,"62,445",0,,,,
,,Watervliet,0,1,0,0,"10,285",0,,,,
,,West Seneca Town,0,1,1,0,"44,902",0,,,,
,,Whitehall Village,0,1,0,0,"2,626",0,,,,
,,White Plains,1,0,0,0,"57,567",0,,,,
,,Yonkers,1,0,2,0,"198,464",0,,,,
,University and Colleges,,,,,,,0,,,,
,,Cornell University,1,1,1,0,"21,131",0,,,,
,,Morrisville State College,0,0,4,3,"3,230",0,,,,
,,State University of New York:,,,,,,0,,,,
,,Buffalo,1,1,0,0,"28,849",0,,,,
,,Stony Brook,1,0,0,1,"23,920",0,,,,
,,State University of New York College:,,,,,,0,,,,
,,Buffalo,1,0,1,0,"12,204",0,,,,
,,Oswego,1,0,,,"8,216",0,,,,
,,Plattsburgh,0,0,1,0,"6,350",0,,,,
,,State University of New York College of Agriculture and Technology at Cobleskill,2,1,0,0,"2,516",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Broome,0,1,,0,,0,,,,
,,Dutchess,1,0,1,0,,0,,,,
,,Monroe,,,2,2,,0,,,,
,,Nassau,26,14,15,5,,0,,,,
,,Niagara,0,1,0,1,,0,,,,
,,Putnam,2,0,0,0,,0,,,,
,,Rensselaer,0,1,0,0,,0,,,,
,,Saratoga,0,0,1,1,,0,,,,
,,Suffolk County Police Department,22,34,33,22,,0,,,,
,,Westchester Public Safety,1,0,0,0,,0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Cattaraugus,1,0,0,0,,0,,,,
,,Chenango,,1,0,0,,0,,,,
,,Seneca,0,1,0,0,,0,,,,
,State Police Agencies,,,,,,,0,,,,
,,State Police:,,,,,,0,,,,
,,Dutchess County,1,1,1,0,,0,,,,
,,Jefferson County,1,0,0,0,,0,,,,
,,Otsego County,0,0,1,0,,0,,,,
,Other Agencies,,,,,,,0,,,,
,,New York City Metropolitan Transportation Authority,5,3,5,2,,0,,,,
North Carolina,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Asheville,1,3,2,2,"85,295",0,,,,
,,Carolina Beach,0,0,1,0,"5,867",0,,,,
,,Carthage,0,0,1,0,"2,255",0,,,,
,,Chapel Hill,2,1,0,1,"58,586",0,,,,
,,Charlotte-Mecklenburg,3,1,6,4,"808,504",0,,,,
,,Durham,2,1,2,0,"235,563",0,,,,
,,Elizabeth City,0,0,0,1,"18,883",0,,,,
,,Fayetteville,1,0,2,5,"205,966",0,,,,
,,Gastonia,0,0,0,1,"72,782",0,,,,
,,Greensboro,2,0,0,0,"276,134",0,,,,
,,Hickory,1,1,1,0,"40,361",0,,,,
,,High Point,1,2,1,0,"106,801",0,,,,
,,Hope Mills,0,0,1,0,"15,594",0,,,,
,,King,0,0,5,0,"6,958",0,,,,
,,Morganton,1,0,2,0,"17,085",0,,,,
,,New Bern,0,0,1,0,"30,195",0,,,,
,,Reidsville,0,1,0,0,"14,616",0,,,,
,,Roanoke Rapids,0,1,0,0,"15,756",0,,,,
,,Rocky Mount,0,1,0,0,"58,002",0,,,,
,,Roxboro,1,1,0,0,"8,480",0,,,,
,,Salisbury,1,1,0,2,"33,919",0,,,,
,,Smithfield,1,0,0,0,"11,305",0,,,,
,,Statesville,0,0,0,1,"25,044",0,,,,
,,Stoneville,1,0,1,0,"1,064",0,,,,
,,Thomasville,0,2,0,0,"26,994",0,,,,
,,Wilmington,1,3,2,0,"109,370",0,,,,
,,Winston-Salem,0,0,1,0,"234,687",0,,,,
,,Wrightsville Beach,0,1,0,0,"2,546",0,,,,
,,Zebulon,1,0,0,0,"4,619",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,North Carolina School of the Arts,2,0,0,0,893,0,,,,
,,North Carolina State University: Raleigh,1,0,0,0,"34,767",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Buncombe,4,1,0,0,,0,,,,
,,Cabarrus,1,0,0,0,,0,,,,
,,Caldwell,1,0,1,1,,0,,,,
,,Forsyth,0,1,0,0,,0,,,,
,,Franklin,0,3,0,3,,0,,,,
,,Gaston County Police Department,0,0,0,1,,0,,,,
,,Haywood,0,1,0,0,,0,,,,
,,Lincoln,0,0,1,0,,0,,,,
,,New Hanover,2,0,1,1,,0,,,,
,,Pitt,0,0,1,1,,0,,,,
,,Rockingham,0,1,1,0,,0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Harnett,0,0,0,1,,0,,,,
,,Rutherford,1,0,0,1,,0,,,,
North Dakota,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Beulah,0,0,1,0,"3,202",0,,,,
,,Bismarck,3,0,4,2,"64,103",0,,,,
,,Devils Lake,1,0,0,0,"7,305",0,,,,
,,Fargo3,5,4,4,2,"109,813",0,,,,
,,Lisbon,0,0,1,0,"2,182",0,,,,
,,Mandan,1,0,0,0,"18,932",0,,,,
,,Watford City,1,0,0,0,"1,967",0,,,,
,,West Fargo,0,2,2,1,"26,894",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Morton,0,0,1,1,,0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Sargent,0,1,0,0,,0,,,,
,,Slope,0,0,0,1,,0,,,,
,,Steele,0,0,0,1,,0,,,,
,,Walsh,1,0,0,0,,0,,,,
,,Williams,0,1,0,0,,0,,,,
Ohio,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Akron,0,2,4,1,"198,390",0,,,,
,,Athens,1,0,0,0,"23,834",0,,,,
,,Austintown,0,0,4,3,"36,478",0,,,,
,,Bath Township: Summit County,0,1,0,0,"9,667",0,,,,
,,Beavercreek,1,0,0,0,"45,563",0,,,,
,,Bexley,0,1,1,0,"13,220",0,,,,
,,Blue Ash,0,0,1,0,"12,082",0,,,,
,,Boardman,1,0,0,0,"40,608",0,,,,
,,Bowling Green,0,0,1,2,"30,219",0,,,,
,,Canfield,0,1,0,0,"7,464",0,,,,
,,Cardington,0,0,0,1,"2,047",0,,,,
,,Centerville,6,3,3,,"24,107",0,,,,
,,Cincinnati,1,4,6,0,"296,204",0,,,,
,,Circleville,1,0,0,0,"13,388",0,,,,
,,Clearcreek Township,1,0,0,0,"14,224",0,,,,
,,Cleveland,0,4,2,3,"393,781",0,,,,
,,Columbus,8,13,16,7,"797,384",0,,,,
,,Commercial Point,1,0,0,0,"1,590",0,,,,
,,Dayton,1,0,0,0,"142,139",0,,,,
,,Defiance,1,2,1,0,"16,621",0,,,,
,,Delaware,0,1,1,0,"35,539",0,,,,
,,East Liverpool,2,0,0,0,"11,198",0,,,,
,,Eaton,0,2,0,0,"8,369",0,,,,
,,Englewood,0,0,0,1,"13,526",0,,,,
,,Gahanna,1,0,0,0,"33,692",0,,,,
,,Genoa Township,0,0,1,0,"23,643",0,,,,
,,Girard,0,1,0,0,"9,906",0,,,,
,,Greenhills,0,1,1,0,"3,605",0,,,,
,,Grove City,0,0,0,2,"36,050",0,,,,
,,Groveport,0,1,0,0,"5,435",0,,,,
,,Hamilton,0,1,0,0,"62,791",0,,,,
,,Hamilton Township: Warren County,1,0,0,0,"21,033",0,,,,
,,Heath,1,0,1,0,"10,356",0,,,,
,,Highland Heights,1,,0,0,"8,279",0,,,,
,,Hubbard,0,1,0,0,"7,834",0,,,,
,,Jackson Township: Stark County,0,2,0,0,"40,317",0,,,,
,,Lakewood,0,0,1,0,"51,721",0,,,,
,,Liberty Township,0,0,0,1,"12,002",0,,,,
,,Lorain,2,1,2,5,"64,148",0,,,,
,,Mansfield,0,3,0,1,"47,480",0,,,,
,,Marietta,0,0,0,1,"14,079",0,,,,
,,Marion,0,0,0,1,"36,687",0,,,,
,,Mason,1,1,0,0,"31,037",0,,,,
,,Massillon,0,1,1,0,"32,104",0,,,,
,,McArthur,0,0,1,0,"1,691",0,,,,
,,Miamisburg,0,1,0,0,"20,273",0,,,,
,,Monroe,0,0,1,0,"14,837",0,,,,
,,Montpelier,0,1,0,0,"4,067",0,,,,
,,Moraine3,0,1,1,0,"6,336",0,,,,
,,Mount Vernon,2,1,2,1,"17,086",0,,,,
,,New Albany,0,1,0,0,"7,834",0,,,,
,,North Canton,0,0,1,1,"17,464",0,,,,
,,Norton,0,1,0,0,"12,039",0,,,,
,,Norwalk,1,0,0,0,"16,976",0,,,,
,,Oregon,0,1,0,0,"20,205",0,,,,
,,Perry Township: Stark County,1,0,1,0,"28,262",0,,,,
,,Port Clinton,0,0,1,0,"6,050",0,,,,
,,Portsmouth,1,0,2,1,"20,170",0,,,,
,,Powhatan Point,0,1,0,0,"1,586",0,,,,
,,Salem,0,1,1,0,"12,269",0,,,,
,,Salineville,0,1,0,0,"1,307",0,,,,
,,Springboro,0,1,0,0,"17,587",0,,,,
,,Springfield,1,,3,1,"60,329",0,,,,
,,Springfield Township: Hamilton County,0,0,0,1,"36,225",0,,,,
,,Stow,0,0,1,0,"34,709",0,,,,
,,Toronto,0,1,0,0,"5,024",0,,,,
,,Trotwood,2,1,0,1,"24,540",0,,,,
,,Urbana,0,0,1,0,"11,706",0,,,,
,,Van Wert,0,1,0,1,"10,792",0,,,,
,,Wadsworth,1,0,0,0,"21,682",0,,,,
,,Warren,1,0,1,2,"41,355",0,,,,
,,West Chester Township,0,1,0,0,"58,897",0,,,,
,,Whitehall,0,0,1,0,"18,305",0,,,,
,,Wooster,0,0,0,1,"26,137",0,,,,
,,Worthington,1,0,1,0,"13,754",0,,,,
,,Xenia,0,1,0,0,"25,923",0,,,,
,,Youngstown,0,1,1,0,"66,567",0,,,,
,,Zanesville,0,1,1,0,"25,529",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,Capital University,0,0,1,0,"3,550",0,,,,
,,Miami University,,0,0,1,"17,395",0,,,,
,,Ohio State University: Columbus,0,1,0,0,"56,867",0,,,,
,,University of Toledo,1,0,0,0,"22,610",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Butler,0,1,2,1,,0,,,,
,,Delaware,1,0,0,0,,0,,,,
,,Franklin,0,1,0,0,,0,,,,
,,Fulton,0,1,0,1,,0,,,,
,,Greene,0,1,2,1,,0,,,,
,,Lucas,0,0,1,0,,0,,,,
,,Mahoning,1,,,,,0,,,,
,,Miami,0,0,0,1,,0,,,,
,,Montgomery,2,1,1,0,,0,,,,
,,Morrow,0,0,0,1,,0,,,,
,,Richland,0,1,0,1,,0,,,,
,,Stark,0,0,0,2,,0,,,,
,,Summit,0,0,0,1,,0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Ashtabula,1,1,0,0,,0,,,,
,,Athens,0,1,1,0,,0,,,,
,,Defiance,1,0,0,0,,0,,,,
,,Henry,0,0,1,0,,0,,,,
,,Marion,0,1,1,0,,0,,,,
,,Monroe,0,0,0,1,,0,,,,
,,Seneca,0,0,1,1,,0,,,,
,,Washington,1,0,0,0,,0,,,,
,Other Agencies,,,,,,,0,,,,
,,Cleveland Metropolitan Park District,0,0,1,0,,0,,,,
Oklahoma,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Bristow,,1,0,0,"4,279",0,,,,
,,Eufaula,0,1,0,0,"2,845",0,,,,
,,Guthrie,1,0,0,0,"10,409",0,,,,
,,Hartshorne,1,0,0,0,"2,128",0,,,,
,,Hominy,0,1,0,0,"3,585",0,,,,
,,Luther,1,0,0,0,"1,252",0,,,,
,,Mangum,0,1,0,0,"2,963",0,,,,
,,Miami,,,1,0,"13,660",0,,,,
,,Pauls Valley,0,0,1,0,"6,198",0,,,,
,,Purcell,0,1,0,0,"6,043",0,,,,
,,Sallisaw,0,0,1,0,"8,929",0,,,,
,,Sapulpa,1,0,0,0,"20,818",0,,,,
,,Verdigris,0,1,0,0,"4,055",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Tulsa,1,1,0,0,,0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Ellis,0,1,0,0,,0,,,,
,,Garfield,,1,0,0,,0,,,,
,,Latimer,0,0,2,0,,0,,,,
,,Woodward,0,1,0,1,,0,,,,
Oregon,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Ashland,0,1,0,0,"20,376",0,,,,
,,Beaverton,3,,1,,"92,276",0,,,,
,,Bend,2,2,1,1,"78,458",0,,,,
,,Boardman,1,0,0,0,"3,241",0,,,,
,,Corvallis,0,1,0,0,"55,062",0,,,,
,,Keizer,0,1,0,0,"37,160",0,,,,
,,Lebanon,1,0,0,0,"15,823",0,,,,
,,Lincoln City,0,1,0,0,"7,969",0,,,,
,,Newport,1,0,0,2,"10,039",0,,,,
,,Pendleton,0,1,0,0,"16,903",0,,,,
,,Portland,4,2,1,,"598,037",0,,,,
,,Roseburg,0,1,0,0,"21,305",0,,,,
,,Salem,1,1,1,1,"157,353",0,,,,
,,Springfield,1,2,2,1,"60,119",0,,,,
,,Stayton,0,1,0,0,"7,788",0,,,,
,,Sutherlin,0,0,0,1,"7,852",0,,,,
,,Tigard,1,,1,,"49,359",0,,,,
,,Tillamook,0,0,1,0,"5,037",0,,,,
,,Toledo,1,0,0,0,"3,483",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Benton,1,1,0,1,,0,,,,
,,Deschutes,0,1,0,0,,0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Douglas,0,1,0,1,,0,,,,
,,Lincoln,0,1,0,0,,0,,,,
,,Umatilla,0,0,0,1,,0,,,,
Pennsylvania,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Abington Township: Montgomery County,2,0,0,0,"55,731",0,,,,
,,Avoca,0,0,1,1,"2,663",0,,,,
,,Carlisle,1,0,0,0,"19,103",0,,,,
,,Harrisburg,0,0,1,0,"49,753",0,,,,
,,Lancaster,1,1,0,1,"60,155",0,,,,
,,Philadelphia,8,1,0,2,"1,538,957",0,,,,
,,Pittsburgh,2,,,1,"312,112",0,,,,
,,Reading,1,2,0,0,"88,557",0,,,,
,,Roseto,1,0,0,0,"1,574",0,,,,
,,Ross Township,1,0,0,0,"31,222",0,,,,
,,Selinsgrove,0,0,1,0,"5,781",0,,,,
,,State College,1,0,0,0,"57,020",0,,,,
,,Throop,0,0,1,0,"4,089",0,,,,
,,Tunkhannock,1,0,0,0,"1,839",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,Moravian College,1,0,0,0,"2,002",0,,,,
,,Shippensburg University,0,0,1,0,"8,183",0,,,,
,State Police Agencies,,,,,,,0,,,,
,,State Police:,,,,,,0,,,,
,,Chester County,0,1,0,0,,0,,,,
,,Erie County,0,0,1,0,,0,,,,
,,Lehigh County,0,0,0,1,,0,,,,
,,Wayne County,0,0,1,0,,0,,,,
Rhode Island,Total,,,,,,,0,,,,
,Cities,,, ,,,,0,,,,
,,Barrington,0,0,1,0,"16,268",0,,,,
,,Newport,0,0,0,1,"24,595",0,,,,
,,Pawtucket,1,2,0,0,"71,085",0,,,,
,,Providence,1,2,1,0,"177,882",0,,,,
,,South Kingstown,0,0,0,1,"30,524",0,,,,
,,Warwick,0,1,0,0,"82,282",0,,,,
,,West Warwick,1,0,0,0,"29,053",0,,,,
South Carolina,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Anderson,0,0,7,0,"27,127",0,,,,
,,Atlantic Beach,0,1,0,,346,0,,,,
,,Beaufort,1,0,0,0,"12,653",0,,,,
,,Bennettsville,0,1,0,0,"9,034",0,,,,
,,Blacksburg,0,0,1,0,"1,873",0,,,,
,,Bluffton,1,0,0,0,"12,855",0,,,,
,,Camden,0,1,0,0,"6,968",0,,,,
,,Charleston,0,0,1,0,"123,856",0,,,,
,,Cheraw,1,0,0,0,"5,885",0,,,,
,,Clinton,0,0,1,0,"8,570",0,,,,
,,Clover,0,1,0,0,"5,245",0,,,,
,,Columbia,2,2,0,1,"131,833",0,,,,
,,Darlington,1,0,0,1,"6,313",0,,,,
,,Elgin,0,1,0,0,"1,336",0,,,,
,,Florence,0,0,1,0,"37,681",0,,,,
,,Folly Beach,0,1,0,0,"2,700",0,,,,
,,Forest Acres,0,0,1,1,"10,596",0,,,,
,,Fort Mill,0,0,0,1,"11,132",0,,,,
,,Goose Creek,0,1,0,0,"37,387",0,,,,
,,Holly Hill,1,0,0,0,"1,280",0,,,,
,,Irmo,0,0,0,1,"11,390",0,,,,
,,Kingstree,0,0,0,1,"3,325",0,,,,
,,Lamar,0,1,0,0,988,0,,,,
,,Latta,0,0,1,0,"1,378",0,,,,
,,Lexington,0,1,0,0,"18,352",0,,,,
,,Moncks Corner,2,0,0,0,"8,229",0,,,,
,,Mount Pleasant,0,0,1,1,"70,016",0,,,,
,,Mullins,2,0,0,0,"4,680",0,,,,
,,Myrtle Beach,0,0,0,1,"28,085",0,,,,
,,Pageland,0,1,0,0,"2,733",0,,,,
,,Rock Hill,1,1,0,1,"68,064",0,,,,
,,Seneca,1,0,0,0,"8,194",0,,,,
,,Simpsonville,1,0,2,0,"18,829",0,,,,
,,Spartanburg,0,0,1,0,"37,689",0,,,,
,,Summerville,0,1,2,0,"45,209",0,,,,
,,Tega Cay,0,1,0,0,"7,847",0,,,,
,,Walterboro,3,1,4,1,"5,411",0,,,,
,,Ware Shoals,2,0,1,0,"2,189",0,,,,
,,West Columbia,1,0,0,0,"15,610",0,,,,
,,Williamston,1,0,0,0,"4,002",0,,,,
,,Winnsboro,2,1,3,2,"3,527",0,,,,
,,York,0,0,1,0,"7,963",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,The Citadel,0,0,1,0,"3,390",0,,,,
,,University of South Carolina: Upstate,1,0,0,0,"5,493",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Anderson,0,1,1,0,,0,,,,
,,Berkeley,0,1,0,1,,0,,,,
,,Fairfield,0,1,0,0,,0,,,,
,,Greenville,1,0,0,1,,0,,,,
,,Horry County Police Department,0,1,1,1,,0,,,,
,,Lancaster,2,0,0,0,,0,,,,
,,Lexington,2,1,0,0,,0,,,,
,,Pickens,1,1,0,1,,0,,,,
,,Richland,0,1,2,0,,0,,,,
,,Saluda,0,1,0,0,,0,,,,
,,Spartanburg,2,3,0,0,,0,,,,
,,Sumter,1,0,1,0,,0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Abbeville,1,7,6,3,,0,,,,
,,Clarendon,2,0,0,0,,0,,,,
,,Colleton,2,0,0,2,,0,,,,
,,Georgetown,0,1,0,1,,0,,,,
,,Greenwood,0,0,0,1,,0,,,,
,,Hampton,2,1,0,0,,0,,,,
,,Lee,0,1,1,1,,0,,,,
,,Marion,0,0,0,1,,0,,,,
,,Marlboro,0,0,0,1,,0,,,,
,State Police Agencies,,,,,,,0,,,,
,,Highway Patrol:,,,,,,0,,,,
,,Florence County,1,0,0,0,,0,,,,
,,Greenwood County,1,0,0,0,,0,,,,
,Other Agencies,,,,,,,0,,,,
,,Lexington County Medical Center,0,0,0,1,,0,,,,
South Dakota,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Martin,1,0,1,0,"1,086",0,,,,
,,Rapid City,0,1,3,2,"69,979",0,,,,
,,Sioux Falls,5,3,6,1,"158,354",0,,,,
,,Sturgis,0,0,1,0,"6,731",0,,,,
,,Tea,0,0,1,0,"4,021",0,,,,
,,Watertown,0,2,1,0,"21,902",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Minnehaha,1,0,0,0,,0,,,,
Tennessee,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Alcoa,0,0,0,1,"8,587",0,,,,
,,Ardmore,1,0,0,0,"1,219",0,,,,
,,Atoka,0,0,0,1,"8,488",0,,,,
,,Baxter,1,1,0,0,"1,388",0,,,,
