state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population,addendum,,,,
,,Pasadena,0,1,0,1,"139,382",0,,,,
,,Paso Robles,0,0,1,0,"30,344",0,,,,
,,Pico Rivera,0,0,0,1,"63,988",0,,,,
,,Pinole,1,0,0,0,"18,864",0,,,,
,,Pittsburg,0,1,0,0,"64,890",0,,,,
,,Placerville,0,1,0,0,"10,479",0,,,,
,,Pomona,0,2,1,1,"151,511",0,,,,
,,Poway,0,1,0,0,"48,968",0,,,,
,,Rancho Palos Verdes,1,0,0,0,"42,335",0,,,,
,,Rancho Santa Margarita,0,0,0,1,"49,038",0,,,,
,,Redding,2,3,6,3,"90,974",0,,,,
,,Redlands,0,0,1,0,"70,399",0,,,,
,,Redondo Beach,1,3,0,2,"67,856",0,,,,
,,Redwood City,0,0,0,1,"78,466",0,,,,
,,Reedley,1,0,0,0,"24,747",0,,,,
,,Richmond,4,1,0,0,"106,357",0,,,,
,,Riverside,5,2,3,2,"313,532",0,,,,
,,Rosemead,0,2,0,0,"54,656",0,,,,
,,Roseville,0,0,1,0,"122,896",0,,,,
,,Sacramento,4,5,7,0,"476,557",0,,,,
,,San Anselmo,0,1,0,0,"12,584",0,,,,
,,San Bernardino,0,1,0,0,"214,987",0,,,,
,,San Clemente,0,1,0,0,"65,089",0,,,,
,,San Diego,10,6,8,10,"1,338,477",0,,,,
,,San Dimas,1,0,0,0,"33,923",0,,,,
,,San Francisco,8,9,8,10,"820,363",0,,,,
,,San Gabriel,1,0,0,0,"40,376",0,,,,
,,San Jose,6,2,1,6,"976,459",0,,,,
,,San Leandro,2,0,0,1,"86,869",0,,,,
,,San Luis Obispo,2,2,0,0,"45,947",0,,,,
,,San Marcos,1,0,0,1,"85,810",0,,,,
,,San Mateo,1,0,0,0,"99,303",0,,,,
,,San Rafael,0,1,0,2,"58,854",0,,,,
,,Santa Ana,3,4,0,0,"332,482",0,,,,
,,Santa Barbara,,0,0,1,"89,871",0,,,,
,,Santa Clarita3,4,2,2,1,"179,248",0,,,,
,,Santa Cruz,2,3,3,2,"60,902",0,,,,
,,Santa Maria,0,1,0,0,"101,207",0,,,,
,,Santa Monica,2,4,4,1,"91,215",0,,,,
,,Santa Paula,0,0,0,1,"29,899",0,,,,
,,Santa Rosa,1,0,0,0,"170,862",0,,,,
,,Saratoga,0,0,0,1,"30,683",0,,,,
,,Scotts Valley,0,0,0,1,"11,775",0,,,,
,,Sierra Madre,1,0,0,0,"11,098",0,,,,
,,Simi Valley,3,0,0,0,"126,686",0,,,,
,,Sonora,0,1,0,0,"4,911",0,,,,
,,South Gate,0,0,1,0,"95,966",0,,,,
,,Stockton,0,1,0,1,"299,105",0,,,,
,,Sunnyvale,1,1,1,0,"143,606",0,,,,
,,Taft,1,0,0,1,"9,552",0,,,,
,,Tehachapi,1,0,0,0,"14,766",0,,,,
,,Temecula,3,1,0,0,"103,414",0,,,,
,,Temple City,0,0,1,0,"36,148",0,,,,
,,Thousand Oaks,0,2,0,1,"129,171",0,,,,
,,Torrance,1,1,0,0,"147,851",0,,,,
,,Tracy,1,0,0,1,"85,047",0,,,,
,,Tulare,0,0,0,1,"60,848",0,,,,
,,Turlock,0,0,0,1,"69,730",0,,,,
,,Ukiah,0,1,0,0,"16,172",0,,,,
,,Union City,1,0,0,0,"71,089",0,,,,
,,Upland,0,0,1,0,"75,531",0,,,,
,,Vallejo,1,0,0,1,"117,912",0,,,,
,,Ventura,0,2,1,0,"108,511",0,,,,
,,Victorville,0,0,1,1,"118,687",0,,,,
,,Villa Park,0,0,0,1,"5,956",0,,,,
,,Visalia,1,0,1,0,"127,604",0,,,,
,,Vista,0,1,3,0,"96,087",0,,,,
,,Walnut Creek,0,0,0,1,"65,816",0,,,,
,,Watsonville,2,0,0,1,"52,064",0,,,,
,,West Covina,0,1,3,2,"107,861",0,,,,
,,West Hollywood,2,5,2,4,"34,971",0,,,,
,,Yorba Linda,0,0,0,1,"65,820",0,,,,
,,Yucaipa,0,1,0,0,"52,622",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,Allan Hancock College,0,1,0,2,"10,955",0,,,,
,,California State Polytechnic University: Pomona,0,0,0,1,"21,107",0,,,,
,,California State University:,,,,,,0,,,,
,,Dominguez Hills,0,0,0,1,"14,364",0,,,,
,,Fullerton,1,1,1,0,"36,156",0,,,,
,,Long Beach,0,0,0,1,"34,870",0,,,,
,,Northridge,3,0,0,0,"36,911",0,,,,
,,San Jose,0,0,0,2,"30,236",0,,,,
,,San Marcos,0,0,0,2,"10,276",0,,,,
,,Marin Community College,0,0,1,0,"7,075",0,,,,
,,Riverside Community College,0,0,1,0,"18,395",0,,,,
,,San Diego State University,0,1,0,0,"30,541",0,,,,
,,Santa Rosa Junior College,0,1,1,0,"24,199",0,,,,
,,University of California:,,,,,,0,,,,
,,Berkeley,0,1,2,2,"36,137",0,,,,
,,Irvine,0,0,1,0,"27,189",0,,,,
,,Los Angeles,1,0,0,0,"39,271",0,,,,
,,Riverside,1,1,0,0,"20,900",0,,,,
,,San Diego,1,0,0,0,"28,593",0,,,,
,,San Francisco,0,2,0,0,"3,054",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Alameda,0,0,0,1,,0,,,,
,,Butte,1,0,0,0,,0,,,,
,,Contra Costa,0,1,0,0,  ,0,,,,
,,El Dorado,1,2,0,1,,0,,,,
,,Kern,0,0,0,1,,0,,,,
,,Los Angeles,9,5,11,2,,0,,,,
,,Monterey,1,0,0,0,,0,,,,
,,Orange,0,1,1,0,,0,,,,
,,Riverside,0,0,1,2,,0,,,,
,,Sacramento,5,7,4,4,,0,,,,
,,San Bernardino,1,0,0,0,,0,,,,
,,San Diego,3,9,7,5,,0,,,,
,,Santa Clara,0,0,1,1,,0,,,,
,,Santa Cruz,3,3,2,0,,0,,,,
,,Solano,1,0,0,0,,0,,,,
,,Sonoma,0,1,3,0,,0,,,,
,,Stanislaus,0,1,1,0,,0,,,,
,,Tulare,0,1,0,0,,0,,,,
,,Ventura,2,0,1,1,,0,,,,
,,Yuba,0,0,1,1,,0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Amador,2,0,0,0,,0,,,,
,,Lake,1,2,0,0,,0,,,,
,,Tuolumne,1,0,0,0,,0,,,,
