state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population,,,
,,Santee,0,0,1,0,"56,737",,,
,,Sierra Madre,0,1,0,0,"11,090",,,
,,Simi Valley,1,1,1,1,"126,604",,,
,,Sonora,1,0,1,0,"4,786",,,
,,South Gate,0,0,1,0,"95,981",,,
,,Stockton,1,1,1,0,"299,519",,,
,,Sunnyvale,1,0,0,0,"149,384",,,
,,Taft,0,0,1,0,"8,895",,,
,,Tehachapi,0,0,1,0,"12,997",,,
,,Temple City,1,1,0,0,"36,272",,,
,,Torrance,0,0,1,0,"147,971",,,
,,Tracy,0,1,1,0,"85,078",,,
,,Turlock,0,0,1,0,"70,786",,,
,,Twentynine Palms,0,1,0,0,"25,936",,,
,,Ukiah,0,0,0,1,"15,836",,,
,,Union City,2,1,0,0,"73,268",,,
,,Vacaville,0,0,0,1,"94,701",,,
,,Ventura,0,0,0,1,"109,246",,,
,,Victorville,0,0,1,2,"122,316",,,
,,Visalia,1,1,0,0,"128,488",,,
,,Vista,1,1,0,1,"97,651",,,
,,Walnut Creek,0,0,0,2,"67,555",,,
,,Waterford,0,1,0,0,"8,646",,,
,,West Covina,1,0,0,1,"108,136",,,
,,West Hollywood,1,3,1,2,"35,507",,,
,,Windsor,0,0,0,1,"27,350",,,
,,Yorba Linda,1,0,0,0,"67,702",,,
,,Yuba City,0,0,1,0,"65,525",,,
,,Yucaipa,0,1,0,0,"52,794",,,
,,Yucca Valley,0,0,1,0,"21,228",,,
,Universities and Colleges,,,,,,,,,
,,California State Polytechnic University: San Luis Obispo,0,0,0,1,"19,703",,,
,,California State University: ,,,,,,,,
,,East Bay,0,0,1,0,"14,526",,,
,,San Jose,0,0,2,0,"31,278",,,
,,Riverside Community College,1,0,0,0,"36,233",,,
,,University of California: ,,,,,,,,
,,Berkeley,2,4,2,0,"36,198",,,
,,Davis,0,2,1,0,"33,307",,,
,,San Diego,0,0,2,0,"29,517",,,
,Metropolitan Counties,,,,,,,,,
,,Fresno,1,0,0,0,,,,
,,Imperial,0,1,0,0,,,,
,,Los Angeles,5,7,5,1,,,,
,,Marin,0,1,0,0,,,,
,,Merced,0,1,0,0,,,,
,,Orange,1,1,0,0,,,,
,,Riverside,0,1,2,0,,,,
,,Sacramento,2,2,2,0,,,,
,,San Bernardino,1,0,2,1,,,,
,,San Diego,3,6,5,3,,,,
,,San Mateo,1,0,0,0,,,,
,,Santa Barbara,0,1,1,0,,,,
,,Santa Clara,0,1,1,2,,,,
,,Santa Cruz,0,4,2,1,,,,
,,Shasta,1,0,0,0,,,,
,,Sonoma,0,1,0,0,,,,
,,Stanislaus,0,0,1,0,,,,
,,Ventura,1,1,1,0,,,,
,,Yolo,1,0,0,0,,,,
,,Yuba2,2,0,0,1,,,,
,Nonmetropolitan Counties,,,,,,,,,
,,Amador,1,0,0,0,,,,
,,Calaveras,1,0,0,1,,,,
,,Glenn,1,0,0,0,,,,
,,Humboldt,0,1,0,0,,,,
,,Tuolumne,0,0,1,1,,,,
,State Police Agencies,,,,,,,,,
,,Highway Patrol: San Diego County,0,0,1,0,,,,
,Other Agencies,,,,,,,,,
,,Department of Parks and Recreation: San Diego Coast ,0,1,0,0,,,,
,,Los Angeles County Metropolitan Transportation Authority,0,0,0,1,,,,
,,Los Angeles Transportation Services Bureau,1,3,6,5,,,,
,,Port of San Diego Harbor,2,0,0,1,,,,
,,San Francisco Bay Area Rapid Transit: ,,,,,,,,
,,Alameda County,0,4,1,1,,,,
,,Contra Costa County,1,2,1,0,,,,
,,San Francisco County,1,1,0,0,,,,
Colorado,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Arvada,0,1,0,0,"113,008",,,
,,Aurora,1,1,2,0,"350,948",,,
,,Brighton,0,0,0,1,"36,185",,,
,,Canon City,1,0,0,0,"16,291",,,
,,Castle Rock,0,0,1,1,"54,253",,,
,,Centennial,0,0,2,1,"107,485",,,
,,Colorado Springs,1,3,3,0,"444,949",,,
,,Commerce City,0,1,0,0,"50,754",,,
,,Denver,1,4,7,4,"665,353",,,
,,Durango,0,3,0,0,"17,710",,,
,,Fort Collins,0,1,2,0,"154,015",,,
,,Fort Morgan,2,0,0,0,"11,422",,,
,,Glendale,1,0,0,0,"4,558",,,
,,Glenwood Springs,0,1,1,0,"9,909",,,
,,Golden,0,0,0,1,"19,556",,,
,,Grand Junction,0,0,1,2,"59,972",,,
,,Greenwood Village,1,1,0,1,"14,824",,,
,,Gunnison,1,0,0,0,"5,865",,,
,,Idaho Springs,0,1,0,0,"1,677",,,
,,Lakewood,0,1,0,0,"148,236",,,
,,Lone Tree,0,0,1,0,"13,824",,,
,,Longmont,0,2,1,0,"90,813",,,
,,Loveland,1,0,0,0,"72,465",,,
,,New Castle,0,0,1,0,"4,595",,,
,,Parachute,1,0,0,0,"1,100",,,
,,Pueblo,1,1,1,0,"108,591",,,
,,Steamboat Springs,1,0,0,2,"12,114",,,
,,Sterling,1,1,0,0,"14,584",,,
,Universities and Colleges,,,,,,,,,
,,University of Colorado:,,,,,,,,
,,Boulder,0,1,0,0,"32,017",,,
,,Colorado Springs,1,0,0,0,"11,321",,,
,Metropolitan Counties,,,,,,,,,
,,Douglas,1,0,0,0,,,,
,,El Paso,1,0,0,3,,,,
,,Gilpin,1,0,0,0,,,,
,,Jefferson,1,0,0,0,,,,
,,Larimer,0,3,4,1,,,,
,,Mesa,1,0,0,0,,,,
,,Teller,0,0,1,0,,,,
,Nonmetropolitan Counties,,,,,,,,,
,,La Plata,0,3,0,0,,,,
,,Montezuma,0,0,1,0,,,,
,,Summit,0,0,0,1,,,,
Connecticut,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Bloomfield,1,1,4,1,"20,718",,,
,,Bridgeport,0,3,2,0,"147,822",,,
,,Bristol,2,0,1,0,"60,590",,,
,,Brookfield,0,1,0,0,"16,957",,,
,,Canton,0,0,1,0,"10,372",,,
,,Cheshire,0,1,0,0,"29,120",,,
,,Coventry,0,0,0,1,"12,403",,,
,,Danbury,1,1,0,0,"84,281",,,
,,Derby,0,0,0,1,"12,776",,,
,,East Hartford,0,1,0,0,"51,185",,,
,,Easton,0,0,0,1,"7,645",,,
,,Enfield,,,,1,"44,769",,,
,,Fairfield,1,0,0,0,"61,146",,,
,,Farmington,0,0,1,0,"25,678",,,
,,Glastonbury,0,0,0,1,"34,850",,,
,,Greenwich,1,0,0,0,"62,676",,,
,,Groton Town,1,1,0,1,"30,339",,,
