Table 13,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,
"per Bias Motivation and Quarter
by State and Agency, 2011",,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,Number of incidents per quarter1,,,,Population2
,,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
,,Lodi,2,0,0,1,0,0,0,2,1,"62,864"
,,Long Beach,0,3,3,0,0,3,0,2,1,"467,691"
,,Los Angeles3,68,33,41,28,0,34,53,46,37,"3,837,207"
,,Los Gatos,1,0,0,0,0,0,0,1,0,"29,759"
,,Lynwood,1,0,0,0,0,0,0,1,0,"70,592"
,,Malibu,0,0,0,1,0,0,1,0,0,"12,794"
,,Manhattan Beach,1,1,0,0,0,0,0,2,0,"35,548"
,,Marysville,2,0,0,0,0,2,0,0,0,"12,214"
,,Menlo Park,1,0,0,0,0,1,0,0,0,"32,402"
,,Millbrae,1,1,0,0,0,0,0,1,1,"21,785"
,,Milpitas,0,0,1,0,0,0,1,0,0,"67,575"
,,Mission Viejo,2,1,0,1,0,0,0,2,2,"94,402"
,,Modesto,2,1,1,0,0,1,1,1,1,"203,530"
,,Montclair,1,0,0,0,0,0,1,0,0,"37,095"
,,Monterey,1,0,2,0,0,0,1,2,0,"28,137"
,,Moreno Valley,2,0,0,0,0,0,1,0,1,"195,638"
,,Mountain View,1,0,0,0,0,1,0,0,0,"74,937"
,,Murrieta,3,1,0,1,0,3,1,0,1,"104,682"
,,Napa,0,1,0,1,0,0,0,0,2,"77,819"
,,Newark,2,0,0,2,0,2,1,1,0,"43,073"
,,Newport Beach,0,4,0,1,0,0,3,2,0,"86,187"
,,Norco,1,0,0,0,0,0,1,0,0,"27,381"
,,Norwalk,3,0,1,0,0,2,0,2,0,"106,790"
,,Novato,1,1,1,0,0,0,3,0,0,"52,514"
,,Oakland,3,2,3,1,0,2,2,4,1,"395,317"
,,Oceanside,4,1,0,0,0,1,3,0,1,"169,050"
,,Ojai,0,0,1,0,0,0,1,0,0,"7,549"
,,Ontario,1,0,0,1,0,0,1,0,1,"165,851"
