Table 13,,,,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,,,,
"by State and Agency, 2013",,,,,,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,,,Number of incidents per quarter1,,,,Population2,,
,,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,Gender,Gender Identity,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",,,
,,Paramount,2,0,0,0,0,0,0,0,1,0,1,"54,868",,
,,Pasadena,1,1,0,1,0,0,0,0,0,1,2,"139,003",,
,,Pico Rivera,0,0,1,1,0,0,0,1,1,0,0,"63,710",,
,,Pinole,0,0,0,1,0,0,0,0,0,1,0,"18,848",,
,,Placentia,1,0,0,0,0,0,0,0,0,1,0,"52,002",,
,,Rancho Cordova,1,0,0,0,0,0,0,1,0,0,0,"67,634",,
,,Rancho Palos Verdes,0,1,0,0,0,0,0,0,0,0,1,"42,542",,
,,Red Bluff,2,0,1,0,0,0,0,0,1,0,2,"14,170",,
,,Redding,5,0,1,2,0,0,0,2,2,3,1,"91,035",,
,,Redlands,0,2,1,0,0,0,0,0,1,0,2,"70,282",,
,,Redondo Beach,2,0,1,2,0,0,0,1,2,1,1,"67,993",,
,,Redwood City,0,1,0,0,0,0,0,1,0,0,0,"79,707",,
,,Richmond,1,0,2,0,0,0,0,0,0,2,1,"107,341",,
,,Ridgecrest,0,0,1,0,0,0,0,0,1,0,0,"28,537",,
,,Riverside,11,1,1,2,0,0,1,7,4,0,5,"316,423",,
,,Rohnert Park,0,0,0,3,0,0,0,2,0,0,1,"41,326",,
,,Rolling Hills Estates,1,0,0,0,0,0,0,0,0,0,1,"8,229",,
,,Roseville,0,0,1,0,0,0,0,0,1,0,0,"126,236",,
,,Sacramento,6,2,6,2,0,0,0,2,5,6,3,"478,182",,
,,Salinas,0,0,1,1,0,0,0,0,0,0,2,"155,742",,
,,San Bernardino,2,0,0,1,0,0,0,0,0,2,1,"214,322",,
,,San Diego,18,12,12,1,0,0,0,7,10,17,9,"1,349,306",,
,,San Dimas,1,0,0,0,0,0,0,1,0,0,0,"33,854",,
,,San Francisco,7,3,13,1,0,0,0,4,8,8,4,"833,863",,
,,San Jose,6,2,6,1,0,0,0,7,1,2,5,"992,143",,
,,San Leandro,3,0,1,1,0,0,0,2,1,2,0,"87,490",,
,,San Luis Obispo,1,0,1,0,0,0,0,0,0,2,0,"46,095",,
,,San Mateo,0,0,1,0,0,0,0,0,0,1,0,"100,440",,
,,Santa Ana,0,0,1,0,0,0,0,0,0,1,0,"332,848",,
,,Santa Barbara,1,0,1,0,0,0,0,0,0,1,1,"90,006",,
,,Santa Clara,0,0,2,0,0,0,0,0,0,2,0,"120,150",,
,,Santa Clarita,2,0,3,0,0,0,0,2,1,1,1,"204,951",,
,,Santa Cruz,1,0,1,0,0,0,0,1,0,0,1,"62,517",,
,,Santa Maria,0,0,1,0,0,0,0,0,0,0,1,"102,051",,
,,Santa Rosa,0,1,2,0,0,0,0,2,1,0,0,"171,564",,
,,Santee,1,0,1,1,0,0,0,2,0,1,0,"55,924",,
,,Saratoga,1,0,0,0,0,0,0,0,1,0,0,"30,897",,
,,Simi Valley,1,1,0,1,0,0,0,1,0,2,0,"126,215",,
,,Sonora,1,0,0,0,0,0,0,0,0,1,0,"4,774",,
,,South Gate,0,1,1,0,0,0,0,1,0,1,0,"95,591",,
,,South Lake Tahoe,0,0,0,1,0,0,0,0,0,1,0,"21,243",,
,,Stanton,0,0,1,0,0,0,0,0,1,0,0,"39,128",,
,,Stockton,1,0,1,0,0,0,0,1,0,0,1,"299,796",,
,,Sunnyvale,1,0,0,0,0,0,0,0,1,0,0,"148,160",,
,,Taft,0,0,1,0,0,0,0,1,0,0,0,"8,839",,
,,Tehachapi,1,0,0,1,0,0,0,1,0,1,0,"13,607",,
,,Temecula,1,0,0,0,0,0,0,0,0,1,0,"106,680",,
,,Temple City,0,1,0,0,0,0,0,0,0,0,1,"36,269",,
,,Thousand Oaks,0,1,0,0,0,0,0,0,0,0,1,"128,884",,
,,Torrance,1,0,0,1,0,0,0,0,0,2,0,"147,534",,
,,Tracy,4,0,1,1,0,0,0,2,1,3,0,"85,174",,
,,Turlock,1,0,0,0,0,0,0,0,0,0,1,"70,075",,
,,Union City,1,0,0,4,0,0,0,1,3,1,0,"72,480",,
,,Vallejo,1,0,0,1,0,0,0,0,2,0,0,"118,336",,
,,Ventura,0,1,0,0,0,0,0,1,0,0,0,"108,204",,
,,Vernon,1,0,0,0,0,0,0,0,1,0,0,115,,
,,Victorville,6,0,1,0,0,0,0,2,1,2,2,"121,699",,
,,Visalia,1,0,1,0,0,0,0,1,1,0,0,"127,824",,
,,Vista,1,0,1,0,0,0,0,0,1,0,1,"96,712",,
,,Walnut Creek,1,0,0,0,0,0,0,0,0,0,1,"66,149",,
,,West Covina,6,0,0,0,0,0,0,3,1,1,1,"107,867",,
,,West Hollywood,1,0,2,2,0,0,0,1,1,3,0,"34,902",,
,,Westlake Village,0,2,0,0,0,0,0,2,0,0,0,"8,440",,
,,Westminster,1,1,1,1,1,0,0,1,1,1,2,"91,885",,
,,Yorba Linda,1,0,0,0,0,0,0,0,0,0,1,"67,492",,
,,Yuba City,0,0,0,1,0,0,0,0,0,1,0,"65,133",,
,,Yucca Valley,1,0,0,0,0,0,0,0,0,1,0,"21,214",,
,Universities and Colleges,,13,4,10,4,0,0,0,,,,,,,
,,California State Polytechnic University:,,,,,,,,,,,,,,
,,Pomona,0,0,0,1,0,0,0,1,0,0,0,"22,156",,
,,San Luis Obispo,0,0,1,0,0,0,0,1,0,0,0,"18,679",,
,,California State University:,,,,,,,,,,,,,,
,,Dominguez Hills,1,0,1,0,0,0,0,1,0,1,0,"13,933",,
,,Long Beach,1,0,0,0,0,0,0,0,1,0,0,"36,279",,
,,San Bernardino,3,0,0,0,0,0,0,2,0,1,0,"18,234",,
,,San Jose,2,0,1,1,0,0,0,1,1,1,1,"30,448",,
,,San Marcos,0,0,1,0,0,0,0,1,0,0,0,"10,610",,
,,Stanislaus,0,0,1,0,0,0,0,0,0,0,1,"8,882",,
,,Humboldt State University,0,0,1,0,0,0,0,0,1,0,0,"8,116",,
,,Marin Community College,0,1,1,0,0,0,0,2,0,0,0,"7,058",,
,,University of California:,,,,,,,,,,,,,,
,,Berkeley,3,2,1,1,0,0,0,1,1,4,1,"35,893",,
,,Davis,1,0,1,1,0,0,0,0,3,0,0,"32,354",,
,,Riverside,2,0,0,0,0,0,0,0,1,1,0,"20,947",,
,,San Diego,0,1,0,0,0,0,0,0,1,0,0,"28,294",,
,,Santa Cruz,0,0,1,0,0,0,0,1,0,0,0,"17,404",,
,Metropolitan Counties,,56,7,36,20,0,0,1,,,,,,,
,,El Dorado,0,0,1,1,0,0,0,1,0,0,1,,,
,,Kern,1,0,1,3,0,0,0,1,3,0,1,,,
,,Kings,0,0,1,0,0,0,0,1,0,0,0,,,
,,Los Angeles,20,3,17,10,0,0,0,14,10,11,15,,,
,,Orange,1,0,0,1,0,0,0,1,0,0,1,,,
,,Riverside,3,0,0,0,0,0,0,0,1,1,1,,,
,,Sacramento,9,1,3,0,0,0,0,2,3,3,5,,,
,,San Bernardino,2,0,1,2,0,0,1,1,0,3,2,,,
,,San Diego,6,2,3,2,0,0,0,3,2,3,5,,,
,,San Luis Obispo,3,0,1,0,0,0,0,0,0,1,3,,,
,,San Mateo,0,0,1,0,0,0,0,0,1,0,0,,,
,,Santa Barbara,2,0,2,0,0,0,0,1,2,1,0,,,
,,Santa Clara,1,0,1,0,0,0,0,0,2,0,0,,,
,,Santa Cruz,1,0,1,1,0,0,0,2,0,1,0,,,
,,Shasta,4,0,2,0,0,0,0,3,1,2,0,,,
,,Sonoma,1,0,1,0,0,0,0,0,0,2,0,,,
,,Ventura,1,1,0,0,0,0,0,0,0,2,0,,,
,,Yuba,1,0,0,0,0,0,0,0,0,1,0,,,
,Nonmetropolitan Counties,,1,0,1,3,0,0,0,,,,,,,
,,Alpine,1,0,0,0,0,0,0,1,0,0,0,,,
,,Amador,0,0,1,0,0,0,0,0,0,1,0,,,
,,Calaveras,0,0,0,1,0,0,0,0,0,1,0,,,
,,Lake,0,0,0,2,0,0,0,2,0,0,0,,,
,State Police Agencies,,1,0,0,0,0,0,0,,,,,,,
,,"Highway Patrol, Plumas County",1,0,0,0,0,0,0,1,0,0,0,,,
,Other Agencies,,12,1,4,1,0,0,0,,,,,,,
,,"Department of Parks and Recreation, Tehachapi District",1,0,0,0,0,0,0,0,0,1,0,,,
,,Fontana Unified School District,1,0,0,0,0,0,0,0,0,0,1,,,
,,Los Angeles Transportation Services Bureau,2,1,3,0,0,0,0,3,3,0,0,,,
,,Port of San Diego Harbor,2,0,0,1,0,0,0,0,1,1,1,,,
,,San Francisco Bay Area Rapid Transit:,,,,,,,,,,,,,,
,,Alameda County,4,0,0,0,0,0,0,0,2,2,0,,,
,,Contra Costa County,1,0,0,0,0,0,0,1,0,0,0,,,
,,San Francisco County,1,0,1,0,0,0,0,2,0,0,0,,,
Colorado,Total,,54,18,40,15,1,0,0,,,,,,,
,Cities,,38,14,32,12,1,0,0,,,,,,,
,,Arvada,2,0,0,0,0,0,0,0,0,1,1,"110,792",,
,,Aurora,4,0,1,1,0,0,0,1,3,0,2,"343,484",,
,,Castle Rock,0,0,0,2,0,0,0,0,0,0,2,"52,309",,
,,Centennial,3,2,1,0,0,0,0,2,2,1,1,"104,771",,
,,Colorado Springs,3,1,2,1,0,0,0,2,4,1,0,"436,108",,
,,Commerce City,0,1,0,0,0,0,0,0,0,1,0,"49,200",,
,,Denver,9,5,15,1,0,0,0,3,13,9,5,"648,981",,
,,Dillon,0,0,0,1,0,0,0,0,1,0,0,906,,
,,Durango,0,0,2,0,0,0,0,1,0,1,0,"17,303",,
,,Englewood,1,0,0,0,1,0,0,0,0,0,2,"31,454",,
,,Erie,0,1,0,0,0,0,0,1,0,0,0,"19,627",,
,,Fountain,2,0,1,0,0,0,0,2,1,0,0,"27,163",,
,,Glendale,0,1,0,0,0,0,0,1,0,0,0,"4,502",,
,,Glenwood Springs,0,0,1,0,0,0,0,0,0,1,0,"9,715",,
,,Golden,0,0,0,1,0,0,0,0,0,0,1,"19,334",,
,,Grand Junction,4,0,1,0,0,0,0,1,1,2,1,"60,167",,
,,Greeley,0,0,1,0,0,0,0,0,0,0,1,"96,111",,
,,Greenwood Village,1,0,0,0,0,0,0,0,1,0,0,"14,614",,
,,Lafayette,2,0,0,1,0,0,0,0,1,2,0,"26,145",,
,,Lakewood,1,1,1,1,0,0,0,1,1,0,2,"146,298",,
,,Littleton,1,0,0,0,0,0,0,1,0,0,0,"44,375",,
,,Lone Tree,0,0,1,0,0,0,0,0,0,1,0,"12,056",,
,,Longmont,1,0,1,1,0,0,0,2,1,0,0,"89,434",,
,,Loveland,1,0,0,0,0,0,0,0,1,0,0,"71,325",,
,,Monument,0,1,0,0,0,0,0,0,0,1,0,"5,800",,
,,Pueblo,2,0,0,0,0,0,0,0,0,1,1,"108,062",,
,,Rifle,0,0,0,1,0,0,0,1,0,0,0,"9,306",,
,,Snowmass Village,1,0,0,0,0,0,0,1,0,0,0,"2,851",,
,,Steamboat Springs,0,0,0,1,0,0,0,0,0,1,0,"12,008",,
,,Telluride,0,0,1,0,0,0,0,0,0,1,0,"2,313",,
,,Thornton,0,1,2,0,0,0,0,0,0,1,2,"125,775",,
,,Westminster,0,0,1,0,0,0,0,1,0,0,0,"110,093",,
,Universities and Colleges,,1,0,2,0,0,0,0,,,,,,,
,,"Colorado State University, Fort Collins",1,0,0,0,0,0,0,0,0,0,1,"30,659",,
,,"University of Colorado, Boulder",0,0,2,0,0,0,0,0,0,0,2,"31,945",,
,Metropolitan Counties,,10,2,6,2,0,0,0,,,,,,,
,,Adams,1,0,1,1,0,0,0,1,0,2,0,,,
,,Arapahoe,4,2,2,0,0,0,0,6,0,2,0,,,
,,El Paso,2,0,0,0,0,0,0,0,0,1,1,,,
,,Larimer,0,0,2,0,0,0,0,0,0,0,2,,,
,,Mesa,0,0,0,1,0,0,0,1,0,0,0,,,
,,Park,1,0,0,0,0,0,0,0,1,0,0,,,
,,Pueblo,1,0,0,0,0,0,0,0,0,1,0,,,
,,Weld,1,0,1,0,0,0,0,1,0,1,0,,,
,Nonmetropolitan Counties,,4,2,0,1,0,0,0,,,,,,,
,,Cheyenne,0,0,0,1,0,0,0,1,0,0,0,,,
,,Garfield,1,1,0,0,0,0,0,0,1,0,1,,,
,,Logan,1,1,0,0,0,0,0,0,0,1,1,,,
,,Montezuma,1,0,0,0,0,0,0,1,0,0,0,,,
,,Pitkin,1,0,0,0,0,0,0,0,0,0,1,,,
,State Police Agencies,,1,0,0,0,0,0,0,,,,,,,
,,Colorado State Patrol,1,0,0,0,0,,,0,0,0,1,,,
