Table 13,,,,,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,,,,,
"by State and Agency, 2014",,,,,,,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,,,Number of incidents per quarter,,,,Population1,, ,
,,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,Gender,Gender Identity,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",,,,
,,Orange,1,2,0,0,0,0,0,1,1,0,1,"140,767",,,
,,Oxnard,2,1,0,1,0,0,0,1,2,0,1,"204,159",,,
,,Palmdale,2,0,0,1,0,0,0,0,2,0,1,"158,210",,,
,,Palm Springs,0,2,1,0,0,0,0,1,2,0,0,"46,665",,,
,,Palo Alto,2,1,0,0,0,0,0,0,2,1,0,"67,169",,,
,,Paramount,0,0,2,0,0,0,0,0,2,0,0,"55,194",,,
,,Pasadena,3,0,1,0,0,0,0,0,0,0,4,"140,373",,,
,,Paso Robles,2,0,0,0,0,0,0,1,0,1,0,"31,117",,,
,,Pico Rivera,0,0,0,1,0,0,0,0,1,0,0,"63,970",,,
,,Piedmont,0,1,0,0,0,0,0,0,0,1,0,"11,170",,,
,,Pittsburg,0,1,0,0,0,0,0,1,0,0,0,"67,509",,,
,,Placentia,1,0,0,1,0,0,0,0,0,1,1,"52,513",,,
,,Pomona,1,0,1,0,0,0,0,0,2,0,0,"151,899",,,
,,Poway,0,1,0,0,0,0,0,0,0,0,1,"49,786",,,
,,Rancho Cucamonga,2,0,0,0,0,0,0,0,0,0,2,"172,694",,,
,,Red Bluff,2,0,1,0,0,0,0,1,0,1,1,"14,103",,,
,,Redding,1,1,2,0,0,0,0,0,2,1,1,"91,426",,,
,,Redlands,0,0,2,1,0,0,0,1,0,1,1,"70,295",,,
,,Redondo Beach,3,0,1,0,0,0,0,1,3,0,0,"68,075",,,
,,Ripon2,1,0,1,0,0,0,0,1,1,0,0,"14,859",,,
,,Riverside,8,0,2,3,0,0,0,4,4,2,3,"319,453",,,
,,Roseville,1,1,1,0,0,0,0,1,1,0,1,"128,997",,,
,,Sacramento,1,0,5,1,0,0,0,1,2,2,2,"482,767",,,
,,Salinas,0,0,1,0,0,0,0,0,1,0,0,"156,908",,,
,,San Bernardino,1,0,0,0,0,0,0,1,0,0,0,"214,588",,,
,,San Clemente,0,1,0,1,0,0,0,0,0,2,0,"65,397",,,
,,San Diego,8,5,13,8,0,0,3,7,13,11,6,"1,368,690",,,
,,San Dimas,1,0,0,0,0,0,0,0,0,0,1,"33,953",,,
,,San Francisco,2,4,11,3,0,0,2,7,5,5,5,"850,294",,,
,,San Jose,5,1,1,4,0,0,0,2,1,6,2,"1,009,679",,,
,,San Leandro,0,0,1,0,0,0,1,0,2,0,0,"88,690",,,
,,San Luis Obispo,1,0,0,0,0,0,0,0,0,1,0,"46,672",,,
,,San Marcos,0,0,1,0,0,0,0,0,0,1,0,"90,799",,,
,,San Mateo,2,0,0,0,0,0,0,1,1,0,0,"102,082",,,
,,San Rafael,0,0,1,1,0,0,0,1,0,1,0,"59,292",,,
,,San Ramon,0,0,1,0,0,0,0,0,1,0,0,"75,049",,,
,,Santa Ana,4,1,1,1,0,0,0,1,2,2,2,"336,462",,,
,,Santa Clarita,2,1,1,4,0,0,0,1,5,1,1,"206,930",,,
,,Santa Cruz,4,1,2,0,1,0,0,4,4,0,0,"63,440",,,
,,Santa Monica,0,1,0,0,0,0,0,0,0,1,0,"93,151",,,
,,Santee,0,0,0,1,0,0,0,0,0,1,0,"56,737",,,
,,Sierra Madre,1,0,0,0,0,0,0,0,1,0,0,"11,090",,,
,,Simi Valley,3,1,0,0,0,0,0,1,1,1,1,"126,604",,,
,,Sonora,1,1,0,0,0,0,0,1,0,1,0,"4,786",,,
,,South Gate,0,0,1,0,0,0,0,0,0,1,0,"95,981",,,
,,Stockton,1,1,0,1,0,0,0,1,1,1,0,"299,519",,,
,,Sunnyvale,0,1,0,0,0,0,0,1,0,0,0,"149,384",,,
,,Taft,0,1,0,0,0,0,0,0,0,1,0,"8,895",,,
,,Tehachapi,1,0,0,0,0,0,0,0,0,1,0,"12,997",,,
,,Temple City,1,0,1,0,0,0,0,1,1,0,0,"36,272",,,
,,Torrance,0,0,1,0,0,0,0,0,0,1,0,"147,971",,,
,,Tracy,1,0,0,1,0,0,0,0,1,1,0,"85,078",,,
,,Turlock,0,0,1,0,0,0,0,0,0,1,0,"70,786",,,
,,Twentynine Palms,0,0,0,0,0,0,1,0,1,0,0,"25,936",,,
,,Ukiah,1,0,0,0,0,0,0,0,0,0,1,"15,836",,,
,,Union City,3,0,0,0,0,0,0,2,1,0,0,"73,268",,,
,,Vacaville,1,0,0,0,0,0,0,0,0,0,1,"94,701",,,
,,Ventura,1,0,0,0,0,0,0,0,0,0,1,"109,246",,,
,,Victorville,1,1,1,0,0,0,0,0,0,1,2,"122,316",,,
,,Visalia,1,0,1,0,0,0,0,1,1,0,0,"128,488",,,
,,Vista,2,1,0,0,0,0,0,1,1,0,1,"97,651",,,
,,Walnut Creek,1,1,0,0,0,0,0,0,0,0,2,"67,555",,,
,,Waterford,0,0,0,1,0,0,0,0,1,0,0,"8,646",,,
,,West Covina,1,0,0,1,0,0,0,1,0,0,1,"108,136",,,
,,West Hollywood,1,1,4,1,0,0,0,1,3,1,2,"35,507",,,
,,Windsor,0,0,1,0,0,0,0,0,0,0,1,"27,350",,,
,,Yorba Linda,0,1,0,0,0,0,0,1,0,0,0,"67,702",,,
,,Yuba City,0,0,0,1,0,0,0,0,0,1,0,"65,525",,,
,,Yucaipa,0,0,1,0,0,0,0,0,1,0,0,"52,794",,,
,,Yucca Valley,1,0,0,0,0,0,0,0,0,1,0,"21,228",,,
,Universities and Colleges,,8,2,6,2,0,0,0,,,,,,,,
,,"California State Polytechnic University, San Luis Obispo",0,0,0,1,0,0,0,0,0,0,1,"19,703",,,
,,California State University: ,,,,,,,,,,,,,,,
,,East Bay,0,0,1,0,0,0,0,0,0,1,0,"14,526",,,
,,San Jose,2,0,0,0,0,0,0,0,0,2,0,"31,278",,,
,,Riverside Community College,1,0,0,0,0,0,0,1,0,0,0,"36,233",,,
,,University of California: ,,,,,,,,,,,,,,,
,,Berkeley,2,2,4,0,0,0,0,2,4,2,0,"36,198",,,
