Table 13,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,
"by State and Agency, 2015",,,,,,,,,,,,,
State,Agency Type,Agency name,Number of incidents per bias motivation,,,,,,Number of incidents per quarter,,,,Population1
,,,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
Identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
,,Hesperia,0,0,2,0,0,0,1,0,0,1,"93,348"
,,Hollister,0,0,1,0,0,0,0,0,0,1,"37,604"
,,Huntington Beach,0,2,1,0,0,1,0,1,1,2,"203,233"
,,Huntington Park,3,0,1,0,0,0,3,0,1,0,"59,668"
,,Imperial,1,0,0,0,0,0,0,1,0,0,"17,338"
,,Imperial Beach,1,0,0,0,0,0,0,1,0,0,"27,341"
,,Indio,1,0,0,0,0,0,0,0,1,0,"87,195"
,,Industry,1,0,0,0,0,0,0,1,0,0,206
,,Irvine,1,1,1,0,0,0,0,1,1,1,"258,198"
,,Jurupa Valley,1,0,0,0,0,0,0,0,1,0,"99,706"
,,Kerman,0,0,1,0,0,0,0,0,1,0,"14,595"
,,Laguna Beach,1,0,1,0,0,0,0,0,2,0,"23,485"
,,Lake Elsinore,0,0,1,0,0,0,1,0,0,0,"61,871"
,,Lake Forest,4,0,0,0,0,0,0,0,1,3,"80,798"
,,Lakewood,2,0,0,0,0,0,0,0,0,2,"82,047"
,,La Mirada,1,1,0,0,0,0,1,0,0,1,"49,685"
,,Lancaster,3,2,2,0,0,0,0,2,2,3,"162,095"
,,Lawndale,0,0,1,0,0,0,1,0,0,0,"33,605"
,,Lemoore,1,0,0,0,0,0,0,0,0,1,"25,348"
,,Livermore,0,4,1,0,0,0,3,1,1,0,"88,316"
,,Lodi,1,1,0,0,0,0,0,1,0,1,"64,369"
,,Lomita,1,0,0,0,0,0,0,0,1,0,"20,893"
,,Long Beach,6,0,6,0,0,0,3,3,4,2,"476,318"
,,Los Alamitos,1,0,0,0,0,0,1,0,0,0,"11,789"
,,Los Angeles,92,50,45,0,0,5,45,53,41,53,"3,962,726"
,,Los Gatos,1,0,0,0,0,0,0,0,1,0,"31,044"
,,Malibu,0,1,0,0,0,0,0,0,1,0,"13,033"
,,Manhattan Beach,1,0,0,0,0,0,0,0,0,1,"36,065"
,,Manteca,0,2,0,0,0,0,1,0,1,0,"75,019"
,,Marina,0,0,1,0,0,0,1,0,0,0,"21,094"
,,Marysville,1,0,0,0,0,0,1,0,0,0,"12,264"
,,Menifee,1,0,0,0,0,0,0,1,0,0,"87,051"
,,Merced,1,0,0,0,0,0,0,0,0,1,"82,409"
,,Mission Viejo,1,0,0,0,0,0,0,0,0,1,"98,217"
,,Modesto,4,0,0,0,0,0,0,2,0,2,"210,794"
,,Montebello,0,1,0,0,0,0,1,0,0,0,"64,280"
,,Monterey Park,2,1,1,0,0,0,3,0,1,0,"61,750"
,,Moorpark,0,1,0,0,0,0,0,0,0,1,"35,804"
,,Moreno Valley,0,0,1,0,0,0,0,0,0,1,"205,182"
,,Napa,1,0,0,0,0,0,0,1,0,0,"80,749"
,,National City,1,0,0,0,0,0,0,1,0,0,"60,768"
,,Newark,0,1,0,0,0,0,0,0,0,1,"45,258"
,,Newport Beach,1,1,0,0,0,0,2,0,0,0,"87,749"
,,Norwalk,3,0,0,0,0,0,2,0,1,0,"107,470"
,,Oakland,6,3,8,0,0,1,2,9,6,1,"419,481"
,,Oceanside,1,1,0,0,0,0,0,0,1,1,"176,319"
,,Ontario,0,1,1,0,0,0,0,0,0,2,"170,274"
,,Orange,1,2,0,0,0,0,0,1,2,0,"140,572"
,,Oxnard,7,0,0,0,0,0,0,4,3,0,"207,221"
,,Palmdale,2,0,0,0,0,0,1,0,1,0,"159,613"
,,Palm Desert,0,1,0,0,0,0,1,0,0,0,"51,847"
,,Palm Springs,0,0,3,0,0,0,0,2,0,1,"47,388"
,,Palo Alto,3,0,0,0,0,0,0,1,1,1,"67,560"
,,Paramount,2,0,0,0,0,0,1,1,0,0,"55,727"
,,Pasadena,0,0,2,0,0,0,0,0,1,1,"141,815"
,,Placentia,1,0,0,1,0,0,0,2,0,0,"52,753"
,,Pleasant Hill,1,0,0,0,0,0,0,1,0,0,"34,829"
,,Port Hueneme,1,0,0,0,0,0,1,0,0,0,"22,249"
,,Rancho Cucamonga,4,0,0,0,0,0,2,1,0,1,"176,376"
,,Rancho Palos Verdes,1,1,0,0,0,0,0,0,2,0,"42,993"
,,Redding,6,3,2,0,0,0,1,4,2,4,"92,020"
,,Redlands,2,0,0,0,0,0,0,1,0,1,"71,078"
,,Redondo Beach,1,0,0,0,0,0,0,1,0,0,"68,492"
,,Rialto,1,0,0,0,0,0,0,1,0,0,"103,590"
,,Richmond,1,0,0,0,0,0,0,0,0,1,"109,716"
,,Riverside,3,4,0,0,0,0,0,0,5,2,"323,064"
,,Roseville,1,1,0,0,0,0,0,2,0,0,"131,039"
,,Sacramento,3,0,4,0,0,1,1,4,2,1,"489,717"
,,Salinas,1,0,1,0,0,1,0,0,2,1,"158,185"
,,San Bernardino,3,0,1,0,0,0,1,2,1,0,"216,477"
,,San Diego,14,7,12,0,0,3,10,9,6,11,"1,400,467"
,,San Dimas,1,0,0,0,0,0,0,1,0,0,"34,955"
