state,agencyType,agencyName,quarter01,quarter02,quarter03,quarter04,population
California,Cities,Lake Forest,1,0,0,1,"79,336",,
California,Cities,Lakewood,0,1,0,1,"81,086",,
California,Cities,La Mirada,1,2,0,0,"49,150",,
California,Cities,Lancaster,1,2,1,1,"159,792",,
California,Cities,La Quinta,1,0,1,0,"39,150",,
California,Cities,Lemon Grove,1,1,0,0,"26,156",,
California,Cities,Lemoore,1,0,0,0,"24,802",,
California,Cities,Livermore,0,0,1,0,"84,350",,
California,Cities,Lodi,0,1,1,0,"63,639",,
California,Cities,Lomita,0,1,0,0,"20,622",,
California,Cities,Long Beach,3,0,1,1,"469,665",,
California,Cities,Los Alamitos,1,0,0,0,"11,735",,
California,Cities,Los Angeles,21,40,25,28,"3,878,725",,
California,Cities,Los Gatos,0,0,1,1,"30,351",,
California,Cities,Lynwood,0,0,0,1,"71,077",,
California,Cities,Malibu,0,0,1,0,"12,891",,
California,Cities,Manhattan Beach,0,0,0,1,"35,930",,
California,Cities,Manteca,1,1,0,1,"72,261",,
California,Cities,Milpitas,1,0,0,0,"69,522",,
California,Cities,Modesto,2,0,1,0,"204,252",,
California,Cities,Montclair,1,0,1,0,"37,785",,
California,Cities,Monterey,0,0,1,1,"29,338",,
California,Cities,Moreno Valley,0,0,0,1,"201,284",,
California,Cities,Morgan Hill,0,0,0,1,"39,907",,
California,Cities,Murrieta3,2,2,1,0,"107,768",,
California,Cities,National City,1,0,1,1,"59,637",,
California,Cities,Newark,1,1,0,1,"43,950",,
California,Cities,Newport Beach,0,0,2,1,"87,639",,
California,Cities,Norwalk,0,4,0,1,"106,518",,
California,Cities,Oakland,2,4,3,2,"403,887",,
California,Cities,Oceanside,2,4,2,0,"172,525",,
California,Cities,Ontario,0,1,0,0,"168,144",,
California,Cities,Orange,0,1,2,0,"140,304",,
California,Cities,Oroville,0,0,1,1,"15,581",,
California,Cities,Oxnard,0,0,0,1,"202,594",,
California,Cities,Pacifica,0,0,1,0,"38,494",,
California,Cities,Pacific Grove,1,0,0,0,"15,518",,
California,Cities,Palmdale,3,1,3,1,"156,522",,
California,Cities,Palm Springs,4,1,2,1,"46,282",,
California,Cities,Palo Alto,1,0,0,0,"66,964",,
California,Cities,Paramount,0,1,0,1,"54,868",,
California,Cities,Pasadena,0,0,1,2,"139,003",,
California,Cities,Pico Rivera,1,1,0,0,"63,710",,
California,Cities,Pinole,0,0,1,0,"18,848",,
California,Cities,Placentia,0,0,1,0,"52,002",,
California,Cities,Rancho Cordova,1,0,0,0,"67,634",,
California,Cities,Rancho Palos Verdes,0,0,0,1,"42,542",,
California,Cities,Red Bluff,0,1,0,2,"14,170",,
California,Cities,Redding,2,2,3,1,"91,035",,
California,Cities,Redlands,0,1,0,2,"70,282",,
California,Cities,Redondo Beach,1,2,1,1,"67,993",,
California,Cities,Redwood City,1,0,0,0,"79,707",,
California,Cities,Richmond,0,0,2,1,"107,341",,
California,Cities,Ridgecrest,0,1,0,0,"28,537",,
California,Cities,Riverside,7,4,0,5,"316,423",,
