agencyName,agencyType,state,2016_population,2015_population,2014_population,2013_population,2012_population,2011_population,2010_population,recent_population,zeroCount,dnrCount,reportCount,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4
Accomack,Nonmetropolitan Counties,VIRGINIA,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0
Achille,Cities,OKLAHOMA,513,511,513,501,502,497,549,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,0,0,DNR,DNR,DNR
Ackerman,Cities,MISSISSIPPI,1472,1472,1471,1461,1490,1516,1485,,,,,DNR,DNR,0,DNR,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,DNR,0,0,0,0,0,0,0
Acton,Cities,MASSACHUSETTS,23770,23573,23193,22871,22349,22058,21090,,,,,1,0,0,2,1,1,4,0,1,1,0,1,0,2,0,1,0,0,2,1,4,2,2,1,1,2,0,0
Acushnet,Cities,MASSACHUSETTS,10466,10441,10392,10362,10408,10366,10275,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acworth,Cities,Georgia,22467,22222,No Data,21458,20932,20694,No Data,,,,,No Data,No Data,No Data,No Data,DNR,DNR,0,0,0,0,0,DNR,0,0,DNR,DNR,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0
Ada,Metropolitan Counties,IDAHO,17390,17193,17205,17170,"5,947",16990,6104,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR
Adair,Nonmetropolitan Counties,IOWA,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adair Village,Cities,OREGON,No Data,No Data,No Data,No Data,849,849,800,,,,,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Adairsville,Cities,GEORGIA,4804,4761,4733,4686,4710,4709,3358,,,,,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adairville,Cities,Kentucky,888,888,889,840,No Data,No Data,No Data,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams,Metropolitan Counties,COLORADO,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adams Township, Butler County",Cities,PENNSYLVANIA,13531,13251,12912,12582,11735,11689,10107,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0
"Adams Township, Cambria County",Cities,PENNSYLVANIA,5710,No Data,5824,5868,5933,5991,6024,,,,,0,0,0,0,0,0,0,DNR,0,0,0,DNR,0,0,0,0,0,DNR,DNR,DNR,No Data,No Data,No Data,No Data,0,DNR,DNR,DNR
Adams Village,Cities,NEW YORK,1837,1852,1851,1861,1811,1783,1664,,,,,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adamstown,Cities,PENNSYLVANIA,1848,1846,1846,1845,1808,1795,1597,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0
Adamsville,Cities,ALABAMA,2245,2271,2263,2235,2227,2227,2134,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addis,Cities,LOUISIANA,4808,4655,4327,4101,3666,3626,4043,,,,,DNR,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0
Addison,Cities,ALABAMA,No Data,No Data,No Data, Nan,13523,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addison Town and Village,Cities,NEW YORK,2541,2552,2568,2577,2611,2607,2466,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
