agencyName,agencyType,state,2016_population,2015_population,2014_population,2013_population,2012_population,2011_population,2010_population,recent_population,zeroCount,dnrCount,reportCount,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4
Blackburn,Cities,MISSOURI,250,251,250,250,247,250,272,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackduck,Cities,Minnesota,778,789,794,795,804,No Data,No Data,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackfoot,Cities,IDAHO,11700,11784,11833,11826,12068,12031,11176,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Blackford,Nonmetropolitan Counties,INDIANA,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,DNR,0,DNR,DNR,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Blacklick Township,Cities,PENNSYLVANIA,1924,1945,1966,1978,2000,2019,2063,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,DNR,DNR,DNR,0,0,0,DNR
Blackman Township,Cities,MICHIGAN,37522,37632,38025,38115,37782,37830,37751,,,,,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,2,1,0,0,2,0,0,0,1,0,0,2,1
Blacksburg,Cities,SOUTH CAROLINA,44528,44315,43842,42603,43070,1870,43355,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackshear,Cities,GEORGIA,3608,3575,3569,3499,3485,3490,3461,,,,,0,0,0,0,0,0,DNR,DNR,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackstone,Cities,MASSACHUSETTS,3467,3538,3564,3574,9138,3664,3564,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackville,Cities,SOUTH CAROLINA,2273,2307,2332,2344,2401,2434,2807,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Blackwell,Cities,OKLAHOMA,6837,6879,6912,6952,7074,7168,7238,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladen,Nonmetropolitan Counties,NORTH CAROLINA,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bladenboro,Cities,NORTH CAROLINA,1721,1729,1745,1735,1754,1772,1659,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladensburg,Cities,MARYLAND,9735,9686,9498,9381,9322,9235,7732,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blades,Cities,DELAWARE,1377,1343,1311,1293,1275,1254,1206,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blaine,Cities,MINNESOTA,5130,5048,4964,4875,4791,4757,5195,,,,,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blair,Cities,NEBRASKA,1348,1366,1382,1367,1379,1372,1226,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blair Township,Cities,PENNSYLVANIA,4564,4556,4547,4573,4501,4508,4781,,,,,0,0,0,0,0,0,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blairstown Township,Cities,NEW JERSEY,5791,5802,5848,5839,5976,5987,5985,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Blairsville,Cities,GEORGIA,3304,3308,3359,3411,3406,3423,3333,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,0,0,DNR,DNR,0,DNR,DNR,DNR,0,0,0,0
Blakely,Cities,PENNSYLVANIA,6289,6453,6514,6545,6567,6585,6716,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0
Blanchard,Cities,OKLAHOMA,2941,8211,7992,8016,7848,7752,7061,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR
Blanchardville,Cities,Wisconsin,817,821,823,826,826,829,No Data,,,,,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blanchester,Cities,OHIO,4249,4244,No Data,4230,4231,4246,4284,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0
Blanco,Cities,TEXAS,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bland,Nonmetropolitan Counties,VIRGINIA,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blanding,Cities,UTAH,3876,3750,3631,3543,3440,3440,3201,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0
Blandinsville,Cities,ILLINOIS,614,623,644,646,650,653,679,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blawnox,Cities,PENNSYLVANIA,1413,1421,1427,1433,1437,1437,1435,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0
Bleckley,Nonmetropolitan Counties,GEORGIA,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bledsoe,Nonmetropolitan Counties,TENNESSEE,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Blendon Township,Cities,Ohio,No Data,8081,8021,7960,No Data,No Data,No Data,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,DNR,0,DNR,DNR,DNR,No Data,No Data,No Data,No Data
Blissfield,Cities,Michigan,3239,3250,3265,3276,3326,3337,No Data,,,,,No Data,No Data,No Data,No Data,0,0,0,0,0,0,1,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0
Bloomburg,Cities,TEXAS,397,No Data,No Data,397,406,413,359,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0
Bloomdale,Cities,Ohio,695,689,No Data,No Data,No Data,No Data,No Data,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,DNR,DNR,0,DNR,DNR,0,0,0
Bloomer,Cities,WISCONSIN,3515,3532,3541,3544,3569,3554,3317,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloomfield,Cities,CONNECTICUT,6253,6289,6281,6319,47620,6305,6382,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloomfield Hills,Cities,MICHIGAN,4031,4021,3987,3952,3895,3866,3731,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Bloomfield Township,Cities,MICHIGAN,42313,42190,42112,41791,41367,41039,40490,,,,,0,0,1,1,0,2,0,1,0,0,4,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2
Blooming Grove Town,Cities,NEW YORK,11907,11911,11960,12001,12264,12183,12219,,,,,0,0,0,DNR,0,0,0,0,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blooming Prairie,Cities,Minnesota,1993,1972,1962,No Data,No Data,No Data,No Data,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,DNR,DNR,DNR,0
Bloomingdale,Cities,GEORGIA,8290,22353,7772,7706,7705,7681,7485,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,0,0,0
Bloomington,Cities,INDIANA,78604,87158,87163,87057,84596,83533,74304,,,,,DNR,0,DNR,DNR,0,0,0,0,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloomsburg Town,Cities,PENNSYLVANIA,14532,14697,14439,14563,15135,14902,12873,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,DNR,DNR,DNR,0,0,0,DNR
Bloomville,Cities,OHIO,No Data,No Data,No Data,No Data,951,957,966,,,,,DNR,DNR,0,0,DNR,0,DNR,DNR,DNR,DNR,DNR,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Blossburg,Cities,Pennsylvania,1512,1533,1544,1554,1553,No Data,No Data,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,DNR,DNR,0,0,0,0,0,0,DNR,DNR,0,0,0,DNR,0,0,0,0
Blount,Metropolitan Counties,ALABAMA,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Blountstown,Cities,FLORIDA,No Data,No Data,2546,2527,2557,2548,2475,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Blountsville,Cities,ALABAMA,No Data,No Data,No Data,No Data,No Data,No Data,2042,,,,,0,DNR,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Blowing Rock,Cities,NORTH CAROLINA,1303,1232,1237,1234,1258,1257,1484,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloxom,Cities,Virginia,No Data,No Data,388,390,394,No Data,No Data,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,DNR,DNR,0,0,0,0,0,0,0,DNR,DNR,DNR,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Blue Ash,Cities,OHIO,12169,12159,12146,12105,12082,12123,12764,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,1
Blue Earth,Metropolitan Counties,MINNESOTA,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,DNR,0,DNR,0,0,0,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Grass,Cities,Iowa,1724,1667,1622,1590,1476,No Data,No Data,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0
Blue Island,Cities,Illinois,23637,23800,23811,23846,23820,23777,No Data,,,,,No Data,No Data,No Data,No Data,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0
Blue Mound,Cities,ILLINOIS,2509,2494,2480,2466,2484,2444,2385,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Mounds,Cities,Wisconsin,955,949,897,892,871,No Data,No Data,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Rapids,Cities,KANSAS,976,992,992,998,1012,1025,1013,,,,,0,0,0,0,0,0,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR
Blue Ridge,Cities,Georgia,1286,1258,1259,No Data,No Data,No Data,No Data,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,DNR,0,0,0,0,0,0,0,0,0,0,0
Blue River,Cities,Colorado,915,890,872,854,860,No Data,No Data,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Springs,Cities,MISSOURI,54445,53792,53440,53131,52848,52766,56226,,,,,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,DNR,0,0,0,0,0,0,0,0,0,0,1,0,0
Bluefield,Cities,VIRGINIA,10298,10445,10476,10517,10482,10460,11222,,,,,0,0,0,0,0,0,0,0,0,0,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluff City,Cities,TENNESSEE,1719,1732,1729,1748,1753,1749,1689,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluffdale,Cities,UTAH,11765,10574,8596,8100,7848,7745,8246,,,,,DNR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluffs,Cities,Illinois,670,686,693,701,No Data,No Data,No Data,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluffton,Cities,SOUTH CAROLINA,17498,15689,9959,13047,12855,12676,14899,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blythe,Cities,CALIFORNIA,697,700,705,721,732,730,814,,,,,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blythe Township,Cities,PENNSYLVANIA,900,No Data,913,915,No Data,927,916,,,,,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,0,0,0,DNR,0,0,0,DNR,No Data,No Data,No Data,No Data,0,0,DNR,DNR
Blytheville,Cities,ARKANSAS,14523,14717,15009,15220,15506,15738,15787,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boardman,Cities,OHIO,3378,3354,3416,3369,3241,3254,3032,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boaz,Cities,ALABAMA,No Data,No Data,No Data,No Data,No Data,No Data,8656,,,,,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Boca Raton,Cities,FLORIDA,No Data,No Data,90496,88749,86493,85542,86707,,,,,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Boerne,Cities,TEXAS,14368,13439,12853,11857,11047,10691,11152,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bogalusa,Cities,Louisiana,11882,11859,No Data,No Data,No Data,No Data,No Data,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,DNR,0,DNR,DNR
Bogata,Cities,TEXAS,1103,1105,1111,1136,1157,1177,1209,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bogota,Cities,NEW JERSEY,8397,8352,8318,8294,8282,8214,7933,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boiling Spring Lakes,Cities,NORTH CAROLINA,5873,5767,5672,5546,5561,5440,5012,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boiling Springs,Cities,NORTH CAROLINA,4681,4575,4598,4610,4668,4706,3959,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boise,Cities,IDAHO,No Data,No Data,No Data, Nan,No Data,No Data,205902,,,,,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boise City,Cities,OKLAHOMA,1103,1148,1174,1203,1278,1280,1207,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boley,Cities,OKLAHOMA,1183,No Data,1189,1188,1194,1197,1097,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,DNR,0,0,0
Bolingbrook,Cities,ILLINOIS,74471,74356,74049,74224,73836,73587,71696,,,,,0,0,0,0,0,0,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar,Cities,MISSOURI,5032,5089,5199,5231,5371,5466,464,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Village,Cities,NEW YORK,No Data,No Data,1022,1022,1050,1052,1069,,,,,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Bollinger,Metropolitan Counties,MISSOURI,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0
Bolton,Cities,MASSACHUSETTS,5210,5187,677,682,693,700,4595,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolton Town,Cities,NEW YORK,2284,2302,2321,2325,2344,2336,2129,,,,,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bon Homme,Nonmetropolitan Counties,SOUTH DAKOTA,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bond,Metropolitan Counties,ILLINOIS,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0
Bonham,Cities,TEXAS,10070,10042,9975,10050,10288,10340,10547,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonifay,Cities,FLORIDA,No Data,No Data,2766,2766,2834,2831,2696,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Bonne Terre,Cities,MISSOURI,7175,7058,7310,7088,6891,6889,7456,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonneauville,Cities,Pennsylvania,1832,1816,1813,1805,No Data,No Data,No Data,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,DNR
Bonner,Nonmetropolitan Counties,IDAHO,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonner Springs,Cities,KANSAS,7625,7601,7518,7450,7384,7360,7349,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR
Bonners Ferry,Cities,IDAHO,2549,2475,2454,2586,2524,2571,2550,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonneville,Metropolitan Counties,IDAHO,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonney Lake,Cities,WASHINGTON,20449,19180,18519,18156,17751,17647,17760,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bono,Cities,ARKANSAS,2257,2166,2157,2153,No Data,No Data,1634,,,,,0,DNR,DNR,DNR,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boone,Metropolitan Counties,KENTUCKY,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Booneville,Cities,ARKANSAS,3872,3924,3961,3922,3993,4020,4024,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boonsboro,Cities,MARYLAND,3457,3450,3474,3457,3386,3368,3417,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boonton,Cities,NEW JERSEY,8414,8427,8449,8501,8435,8375,8552,,,,,0,0,1,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,DNR,0,0,0
Boonton Township,Cities,NEW JERSEY,4359,4372,4374,4442,4307,4277,4539,,,,,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0
Boonville,Cities,INDIANA,1204,1210,1224,1215,1229,1237,1098,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boonville Village,Cities,NEW YORK,2034,2049,2053,2054,2080,2081,1996,,,,,0,0,0,0,0,DNR,0,0,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0
Boothbay Harbor,Cities,MAINE,2158,2173,2135,2135,2153,2165,2252,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borden,Nonmetropolitan Counties,TEXAS,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bordentown,Cities,NEW JERSEY,No Data,3895,3912,3913,3949,3937,3830,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data
Bordentown City,Cities,New Jersey,3873,No Data,No Data,No Data,No Data,No Data,No Data,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0
Bordentown Township,Cities,NEW JERSEY,12049,11662,11438,11357,11444,11405,10300,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Borger,Cities,TEXAS,12894,12893,12974,13034,13438,13530,12469,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Boscawen,Cities,NEW HAMPSHIRE,3950,3934,3900,3960,3975,3970,3958,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Boscobel,Cities,WISCONSIN,3181,3178,3192,3216,3240,3245,3148,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosque,Nonmetropolitan Counties,TEXAS,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosque Farms,Cities,NEW MEXICO,No Data,No Data,No Data,No Data,3936,3948,4154,,,,,0,0,0,0,0,0,0,DNR,0,DNR,DNR,DNR,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Bossier,Metropolitan Counties,LOUISIANA,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
Bossier City,Cities,LOUISIANA,69384,68918,67469,65578,No Data,61876,64232,,,,,0,0,1,0,0,0,0,0,No Data,No Data,No Data,No Data,0,DNR,DNR,DNR,0,0,DNR,DNR,DNR,0,DNR,DNR,DNR,DNR,0,DNR
Boston,Cities,MASSACHUSETTS,673880,665258,1315,1318,1329,1332,644064,,,,,30,30,46,42,0,0,0,0,0,0,0,DNR,0,0,DNR,DNR,0,DNR,DNR,DNR,28,40,40,31,29,34,27,30
Boston Heights,Cities,OHIO,1290,1291,1295,No Data,No Data,No Data,1227,,,,,0,DNR,DNR,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,0,DNR,DNR
Boswell,Cities,PENNSYLVANIA,No Data,1229,No Data,1255,1273,1281,1231,,,,,0,0,0,0,0,0,DNR,DNR,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,0,DNR,DNR,DNR,No Data,No Data,No Data,No Data
Botetourt,Metropolitan Counties,VIRGINIA,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bothell,Cities,WASHINGTON,43828,37346,36087,35007,34389,34031,33094,,,,,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,2,0,0,1,0,0,0,1
Bottineau,Nonmetropolitan Counties,NORTH DAKOTA,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Boulder,Cities,COLORADO,1213,1207,1197,1187,1189,1194,1503,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
