agencyName,agencyType,state,recent_population,zeroCount,dnrCount,reportCount,zeroClass,dnrClass,reportClass,popClass
Akeley,Cities,Minnesota,431,1,2,25,0,0,6,2
Akron,Cities,OHIO,4014,26,1,1,6,0,6,3
Akron Village,Cities,NEW YORK,2840,26,1,1,6,0,6,3
Akron-Fairgrove,Cities,Michigan,961,2,2,24,0,0,6,2
Alabaster,Cities,ALABAMA,30498,4,3,21,1,0,5,4
Alachua,Metropolitan Counties,FLORIDA,9456,20,0,8,5,0,2,3
Alamance,Metropolitan Counties,NORTH CAROLINA,No Data,27,0,1,6,0,0,-1
Alameda,Cities,CALIFORNIA,75467,27,0,1,6,0,0,4
Alamo,Cities,GEORGIA,19409,27,0,1,6,0,0,4
Alamo Heights,Cities,TEXAS,8248,27,0,1,6,0,0,3
Alamogordo,Cities,NEW MEXICO,31546,18,2,8,4,0,2,4
Alamosa,Cities,COLORADO,No Data,27,0,1,6,0,0,-1
Alapaha,Cities,Georgia,653,15,4,9,3,1,2,2
Albany,Cities,CALIFORNIA,No Data,27,0,1,6,0,0,-1
Albemarle,Cities,NORTH CAROLINA,16024,24,0,4,6,0,1,4
Albemarle County Police Department,Metropolitan Counties,VIRGINIA,No Data,4,0,24,1,0,6,-1
Albers,Cities,ILLINOIS,1177,13,3,12,3,0,3,3
Albert Lea,Cities,Minnesota,17604,17,5,6,4,1,1,4
Albia,Cities,IOWA,3840,27,0,1,6,0,0,3
Albion,Cities,ILLINOIS,1459,22,5,1,5,1,0,3
Albion Village,Cities,NEW YORK,5984,19,4,5,4,1,1,3
Albuquerque,Cities,NEW MEXICO,561560,0,3,25,0,0,6,5
Alburtis,Cities,PENNSYLVANIA,2552,23,4,1,5,1,0,3
Alcester,Cities,South Dakota,752,12,3,13,3,0,3,2
Alcoa,Cities,TENNESSEE,9503,23,0,5,5,0,1,3
Alcona,Nonmetropolitan Counties,MICHIGAN,No Data,27,0,1,6,0,0,-1
Aldan,Cities,PENNSYLVANIA,4168,24,3,1,6,0,0,3
Alderson,Cities,West Virginia,1181,20,3,5,5,0,1,3
Aledo,Cities,ILLINOIS,3549,20,3,5,5,0,1,3
Aleppo Township,Cities,PENNSYLVANIA,1903,26,1,1,6,0,1,3
Alexander,Metropolitan Counties,ILLINOIS,No Data,27,0,1,6,0,0,-1
Alexander City,Cities,ALABAMA,15229,4,0,24,1,0,6,4
