state,agencyType,agencyName,quarter01,quarter02,quarter03,quarter04,population
ARKANSAS,Cities,Sherwood,1,0,3,0,"29,370"
ARKANSAS,Cities,Siloam Springs,0,0,1,1,"15,337"
ARKANSAS,Cities,Springdale,0,0,4,0,"71,047"
ARKANSAS,Cities,Texarkana,1,1,0,0,"30,488"
ARKANSAS,Cities,Ward,0,0,1,0,"4,311"
CALIFORNIA,Cities,Agoura Hills,0,1,1,0,"22,318"
CALIFORNIA,Cities,Alameda,2,0,0,0,"71,016"
CALIFORNIA,Cities,Albany,1,0,1,2,"16,096"
CALIFORNIA,Cities,Aliso Viejo,0,0,0,1,"41,989"
CALIFORNIA,Cities,Anaheim,1,0,0,0,"338,492"
CALIFORNIA,Cities,Antioch,2,1,2,0,"102,125"
CALIFORNIA,Cities,Apple Valley,0,2,0,0,"71,834"
CALIFORNIA,Cities,Arcata,1,1,0,1,"17,172"
CALIFORNIA,Cities,Azusa,0,3,1,0,"46,824"
CALIFORNIA,Cities,Bakersfield,0,0,2,2,"333,458"
CALIFORNIA,Cities,Baldwin Park,0,0,0,1,"77,127"
CALIFORNIA,Cities,Belmont,0,0,1,0,"24,881"
CALIFORNIA,Cities,Berkeley,1,0,0,0,"102,700"
CALIFORNIA,Cities,Beverly Hills,0,2,0,1,"34,329"
CALIFORNIA,Cities,Bishop,1,0,0,0,"3,412"
CALIFORNIA,Cities,Brentwood,0,0,2,0,"53,312"
CALIFORNIA,Cities,Buena Park,1,0,0,0,"79,929"
CALIFORNIA,Cities,Burbank,2,1,2,0,"103,304"
CALIFORNIA,Cities,Calabasas,1,1,0,0,"22,223"
CALIFORNIA,Cities,Camarillo,0,1,0,0,"64,577"
CALIFORNIA,Cities,Campbell,0,0,0,1,"38,854"
CALIFORNIA,Cities,Carlsbad,0,1,0,0,"100,461"
CALIFORNIA,Cities,Carmel,1,0,0,0,"3,882"
CALIFORNIA,Cities,Carson,1,0,0,0,"92,409"
CALIFORNIA,Cities,Cathedral City,0,2,0,0,"53,449"
CALIFORNIA,Cities,Cerritos,1,0,0,1,"51,025"
CALIFORNIA,Cities,Chico,1,3,2,1,"85,630"
CALIFORNIA,Cities,Chino,1,0,0,0,"84,170"
CALIFORNIA,Cities,Chula Vista,0,2,0,1,"229,060"
CALIFORNIA,Cities,Citrus Heights,0,0,0,1,"84,476"
CALIFORNIA,Cities,City of Angels,0,0,0,1,"3,774"
CALIFORNIA,Cities,Clearlake,0,1,0,1,"15,352"
CALIFORNIA,Cities,Clovis,0,0,5,1,"95,901"
CALIFORNIA,Cities,Commerce,0,0,2,0,"13,466"
CALIFORNIA,Cities,Compton,1,1,1,0,"93,916"
CALIFORNIA,Cities,Concord,0,2,2,1,"122,119"
CALIFORNIA,Cities,Corona,1,0,1,0,"153,311"
CALIFORNIA,Cities,Coronado,0,0,0,1,"22,033"
CALIFORNIA,Cities,Costa Mesa,2,1,2,0,"110,424"
CALIFORNIA,Cities,Covina,0,1,0,0,"46,728"
CALIFORNIA,Cities,Cypress,0,1,1,0,"47,320"
CALIFORNIA,Cities,Davis,2,2,4,3,"63,292"
CALIFORNIA,Cities,Delano,0,0,1,0,"54,298"
CALIFORNIA,Cities,Del Mar,0,0,0,1,"4,554"
CALIFORNIA,Cities,Downey,0,2,0,0,"106,992"
CALIFORNIA,Cities,Duarte,0,0,1,0,"21,789"
CALIFORNIA,Cities,Dublin,1,0,0,0,"46,209"
CALIFORNIA,Cities,East Palo Alto,0,1,0,0,"34,294"
CALIFORNIA,Cities,El Cajon,0,1,0,0,"94,311"
