state,agencyType,agencyName,quarter01,quarter02,quarter03,quarter04,population,year
California,Cities,Claremont,0,2,0,2,"36,331",2015
California,Cities,Clearlake,2,0,3,2,"15,044",2015
California,Cities,Clovis,0,0,1,1,"103,769",2015
California,Cities,Coachella,0,0,0,1,"44,953",2015
California,Cities,Colton,0,1,0,0,"54,503",2015
California,Cities,Commerce,0,0,1,0,"13,137",2015
California,Cities,Compton,0,1,1,0,"99,125",2015
California,Cities,Concord,2,0,0,3,"128,767",2015
California,Cities,Covina,1,0,0,0,"49,300",2015
California,Cities,Cypress,1,1,0,0,"49,560",2015
California,Cities,Daly City,1,0,1,0,"107,320",2015
California,Cities,Davis,5,0,1,0,"67,034",2015
California,Cities,Diamond Bar,1,0,1,0,"57,085",2015
California,Cities,East Palo Alto,0,0,1,1,"29,864",2015
California,Cities,El Cajon,1,0,0,0,"103,942",2015
California,Cities,El Cerrito,0,1,1,0,"24,842",2015
California,Cities,Elk Grove,1,0,1,0,"166,183",2015
California,Cities,El Monte,2,0,0,1,"117,376",2015
California,Cities,El Segundo,0,0,1,0,"17,164",2015
California,Cities,Escondido,2,1,1,2,"151,732",2015
California,Cities,Eureka,1,0,1,0,"26,858",2015
California,Cities,Fairfield,0,0,1,0,"112,582",2015
California,Cities,Firebaugh,1,0,0,0,"8,484",2015
California,Cities,Folsom,0,0,1,1,"76,183",2015
California,Cities,Fort Bragg,0,0,1,0,"7,310",2015
California,Cities,Foster City,0,0,1,0,"33,313",2015
California,Cities,Fremont,2,1,0,0,"232,427",2015
California,Cities,Fresno,3,1,5,1,"520,837",2015
California,Cities,Fullerton,1,0,0,1,"140,771",2015
California,Cities,Galt,2,0,0,0,"25,106",2015
California,Cities,Garden Grove,2,0,0,0,"176,041",2015
California,Cities,Glendale,0,0,2,0,"202,298",2015
California,Cities,Glendora,0,0,1,0,"51,753",2015
California,Cities,Goleta,1,0,0,0,"31,011",2015
California,Cities,Greenfield,0,0,1,0,"17,061",2015
California,Cities,Gridley,0,0,0,1,"6,580",2015
California,Cities,Hanford,0,1,0,2,"55,299",2015
California,Cities,Hawaiian Gardens,1,0,0,1,"14,629",2015
California,Cities,Hawthorne,1,0,2,1,"88,410",2015
California,Cities,Hayward,0,1,3,0,"157,157",2015
California,Cities,Hemet,1,0,0,1,"84,030",2015
California,Cities,Hermosa Beach,1,0,0,0,"19,986",2015
California,Cities,Hesperia,1,0,0,1,"93,348",2015
California,Cities,Hollister,0,0,0,1,"37,604",2015
California,Cities,Huntington Beach,0,1,1,2,"203,233",2015
California,Cities,Huntington Park,3,0,1,0,"59,668",2015
California,Cities,Imperial,0,1,0,0,"17,338",2015
California,Cities,Imperial Beach,0,1,0,0,"27,341",2015
California,Cities,Indio,0,0,1,0,"87,195",2015
California,Cities,Industry,0,1,0,0,206,2015
California,Cities,Irvine,0,1,1,1,"258,198",2015
California,Cities,Jurupa Valley,0,0,1,0,"99,706",2015
California,Cities,Kerman,0,0,1,0,"14,595",2015
California,Cities,Laguna Beach,0,0,2,0,"23,485",2015
California,Cities,Lake Elsinore,1,0,0,0,"61,871",2015
California,Cities,Lake Forest,0,0,1,3,"80,798",2015
California,Cities,Lakewood,0,0,0,2,"82,047",2015
California,Cities,La Mirada,1,0,0,1,"49,685",2015
California,Cities,Lancaster,0,2,2,3,"162,095",2015
California,Cities,Lawndale,1,0,0,0,"33,605",2015
California,Cities,Lemoore,0,0,0,1,"25,348",2015
California,Cities,Livermore,3,1,1,0,"88,316",2015
California,Cities,Lodi,0,1,0,1,"64,369",2015
California,Cities,Lomita,0,0,1,0,"20,893",2015
California,Cities,Long Beach,3,3,4,2,"476,318",2015
California,Cities,Los Alamitos,1,0,0,0,"11,789",2015
California,Cities,Los Angeles,45,53,41,53,"3,962,726",2015
California,Cities,Los Gatos,0,0,1,0,"31,044",2015
California,Cities,Malibu,0,0,1,0,"13,033",2015
California,Cities,Manhattan Beach,0,0,0,1,"36,065",2015
California,Cities,Manteca,1,0,1,0,"75,019",2015
California,Cities,Marina,1,0,0,0,"21,094",2015
California,Cities,Marysville,1,0,0,0,"12,264",2015
California,Cities,Menifee,0,1,0,0,"87,051",2015
California,Cities,Merced,0,0,0,1,"82,409",2015
California,Cities,Mission Viejo,0,0,0,1,"98,217",2015
California,Cities,Modesto,0,2,0,2,"210,794",2015
California,Cities,Montebello,1,0,0,0,"64,280",2015
California,Cities,Monterey Park,3,0,1,0,"61,750",2015
California,Cities,Moorpark,0,0,0,1,"35,804",2015
California,Cities,Moreno Valley,0,0,0,1,"205,182",2015
California,Cities,Napa,0,1,0,0,"80,749",2015
California,Cities,National City,0,1,0,0,"60,768",2015
California,Cities,Newark,0,0,0,1,"45,258",2015
California,Cities,Newport Beach,2,0,0,0,"87,749",2015
California,Cities,Norwalk,2,0,1,0,"107,470",2015
California,Cities,Oakland,2,9,6,1,"419,481",2015
California,Cities,Oceanside,0,0,1,1,"176,319",2015
California,Cities,Ontario,0,0,0,2,"170,274",2015
California,Cities,Orange,0,1,2,0,"140,572",2015
California,Cities,Oxnard,0,4,3,0,"207,221",2015
California,Cities,Palmdale,1,0,1,0,"159,613",2015
California,Cities,Palm Desert,1,0,0,0,"51,847",2015
California,Cities,Palm Springs,0,2,0,1,"47,388",2015
California,Cities,Palo Alto,0,1,1,1,"67,560",2015
California,Cities,Paramount,1,1,0,0,"55,727",2015
California,Cities,Pasadena,0,0,1,1,"141,815",2015
California,Cities,Placentia,0,2,0,0,"52,753",2015
California,Cities,Pleasant Hill,0,1,0,0,"34,829",2015
California,Cities,Port Hueneme,1,0,0,0,"22,249",2015
California,Cities,Rancho Cucamonga,2,1,0,1,"176,376",2015
California,Cities,Rancho Palos Verdes,0,0,2,0,"42,993",2015
California,Cities,Redding,1,4,2,4,"92,020",2015
California,Cities,Redlands,0,1,0,1,"71,078",2015
California,Cities,Redondo Beach,0,1,0,0,"68,492",2015
California,Cities,Rialto,0,1,0,0,"103,590",2015
California,Cities,Richmond,0,0,0,1,"109,716",2015
California,Cities,Riverside,0,0,5,2,"323,064",2015
California,Cities,Roseville,0,2,0,0,"131,039",2015
California,Cities,Sacramento,1,4,2,1,"489,717",2015
California,Cities,Salinas,0,0,2,1,"158,185",2015
California,Cities,San Bernardino,1,2,1,0,"216,477",2015
California,Cities,San Diego,10,9,6,11,"1,400,467",2015
California,Cities,San Dimas,0,1,0,0,"34,955",2015
California,Cities,San Francisco,8,11,7,2,"863,782",2015
California,Cities,San Jacinto,0,1,0,0,"47,022",2015
California,Cities,San Jose,2,1,0,3,"1,031,458",2015
California,Cities,San Juan Capistrano,0,1,0,0,"36,666",2015
California,Cities,San Leandro,1,0,1,1,"90,438",2015
California,Cities,San Marino,0,0,1,0,"13,491",2015
California,Cities,San Mateo,0,0,0,2,"104,306",2015
California,Cities,Santa Ana,2,3,5,0,"337,304",2015
California,Cities,Santa Barbara,0,1,0,0,"91,877",2015
California,Cities,Santa Clarita,2,1,0,1,"211,132",2015
California,Cities,Santa Cruz,2,1,1,2,"64,076",2015
California,Cities,Santa Monica,0,,2,0,"93,796",2015
California,Cities,Santa Rosa,1,0,0,1,"175,738",2015
California,Cities,Santee,0,0,1,0,"57,934",2015
California,Cities,Scotts Valley,0,0,1,0,"11,926",2015
California,Cities,Seaside,0,1,0,0,"34,459",2015
California,Cities,Selma,0,0,1,0,"24,532",2015
California,Cities,Simi Valley,1,1,1,2,"127,472",2015
California,Cities,Sonoma,0,1,1,0,"11,107",2015
California,Cities,Sonora,0,1,0,0,"4,779",2015
California,Cities,South Gate,0,0,0,2,"96,775",2015
California,Cities,Stockton,1,0,1,2,"304,890",2015
California,Cities,Temecula,0,0,1,0,"111,673",2015
California,Cities,Thousand Oaks,0,1,1,0,"129,976",2015
California,Cities,Torrance,0,1,0,0,"149,243",2015
California,Cities,Tracy,0,1,2,0,"86,477",2015
California,Cities,Turlock,1,1,1,3,"71,895",2015
California,Cities,Upland,0,0,1,0,"76,581",2015
California,Cities,Ventura,1,1,2,0,"110,077",2015
California,Cities,Victorville,1,1,0,0,"123,332",2015
California,Cities,Visalia,1,1,0,1,"130,405",2015
California,Cities,Vista,0,0,3,0,"99,097",2015
California,Cities,Walnut Creek,2,0,1,1,"68,530",2015
California,Cities,West Covina,2,0,0,0,"109,030",2015
California,Cities,West Hollywood,2,1,2,1,"36,256",2015
California,Cities,Westminster,0,1,1,0,"92,640",2015
Colorado,Cities,Arvada,1,0,1,0,"115,379",2015
Colorado,Cities,Aspen,0,0,0,1,"6,841",2015
Colorado,Cities,Aurora,0,2,2,2,"360,237",2015
Colorado,Cities,Basalt,0,0,1,0,"3,937",2015
Colorado,Cities,Boulder,1,0,0,0,"106,823",2015
Colorado,Cities,Breckenridge,0,1,0,0,"4,804",2015
Colorado,Cities,Castle Rock,0,0,1,0,"57,699",2015
Colorado,Cities,Centennial,0,1,0,0,"108,846",2015
Colorado,Cities,Colorado Springs,2,2,3,1,"452,410",2015
Colorado,Cities,Craig,0,1,0,0,"8,698",2015
Colorado,Cities,Denver,3,8,6,3,"682,418",2015
Colorado,Cities,Durango,0,2,0,0,"18,095",2015
Colorado,Cities,Englewood,0,0,1,0,"33,037",2015
Colorado,Cities,Fort Collins,1,1,2,0,"159,629",2015
Colorado,Cities,Glenwood Springs,0,1,0,1,"9,914",2015
Colorado,Cities,Golden,1,0,0,0,"20,448",2015
Colorado,Cities,Grand Junction,0,1,1,0,"60,508",2015
Colorado,Cities,Greeley,0,0,1,0,"99,993",2015
Colorado,Cities,Greenwood Village,1,1,0,1,"15,760",2015
Colorado,Cities,La Junta,0,1,0,0,"6,926",2015
Colorado,Cities,Littleton,0,1,0,0,"45,363",2015
Colorado,Cities,Longmont,1,0,1,0,"91,222",2015
Colorado,Cities,Loveland,0,0,1,1,"74,139",2015
Colorado,Cities,Pueblo,3,2,0,4,"108,810",2015
Colorado,Cities,Sterling,1,0,0,0,"14,574",2015
Colorado,Cities,Trinidad,0,1,0,0,"7,995",2015
Colorado,Cities,Walsenburg,0,1,1,0,"2,861",2015
Connecticut,Cities,Bethel,0,0,0,1,"19,560",2015
Connecticut,Cities,Bloomfield,0,0,2,0,"20,901",2015
Connecticut,Cities,Bridgeport,1,3,1,1,"148,313",2015
Connecticut,Cities,Bristol,0,1,0,1,"60,593",2015
Connecticut,Cities,Cheshire,0,1,0,0,"29,245",2015
Connecticut,Cities,Danbury,1,1,1,1,"84,404",2015
Connecticut,Cities,Derby,0,0,1,0,"12,735",2015
Connecticut,Cities,Groton Town,0,1,0,0,"30,387",2015
Connecticut,Cities,Guilford,,,,2,"22,421",2015
Connecticut,Cities,Hartford3,,1,1,,"124,553",2015
Connecticut,Cities,Manchester,,1,,2,"58,070",2015
Connecticut,Cities,Meriden,,1,1,,"60,149",2015
Connecticut,Cities,Middletown,0,1,1,2,"46,894",2015
Connecticut,Cities,New Britain,,,1,,"72,788",2015
Connecticut,Cities,New Haven,1,4,2,1,"130,403",2015
Connecticut,Cities,Newington,,,,1,"30,714",2015
Connecticut,Cities,New London,0,0,0,1,"27,312",2015
Connecticut,Cities,New Milford,1,0,0,0,"27,317",2015
Connecticut,Cities,North Branford,1,0,0,0,"14,300",2015
Connecticut,Cities,North Haven,0,0,1,0,"23,865",2015
Connecticut,Cities,Norwalk,1,0,0,0,"88,692",2015
Connecticut,Cities,Old Saybrook,1,0,0,0,"10,213",2015
Connecticut,Cities,Plainfield,0,1,0,0,"15,071",2015
Connecticut,Cities,Redding,0,0,1,0,"9,344",2015
Connecticut,Cities,Simsbury,0,0,0,1,"24,093",2015
Connecticut,Cities,Southington,0,0,1,0,"43,979",2015
Connecticut,Cities,Stamford,2,1,2,5,"129,682",2015
Connecticut,Cities,Stonington,1,0,0,0,"18,505",2015
Connecticut,Cities,Stratford,1,0,1,0,"53,058",2015
Connecticut,Cities,Suffield,0,0,1,0,"15,823",2015
Connecticut,Cities,Torrington,0,1,0,3,"34,910",2015
Connecticut,Cities,Trumbull,0,0,1,2,"36,708",2015
Connecticut,Cities,Vernon,1,0,0,0,"29,079",2015
Connecticut,Cities,Wallingford,0,0,1,0,"45,054",2015
Connecticut,Cities,Waterford,0,0,0,2,"19,407",2015
Connecticut,Cities,West Hartford,1,0,0,0,"63,301",2015
Connecticut,Cities,West Haven,0,1,0,1,"54,741",2015
Connecticut,Cities,Westport,1,1,0,0,"27,848",2015
Connecticut,Cities,Winchester,2,0,0,1,"10,855",2015
Connecticut,Cities,Windsor,1,0,0,0,"29,063",2015
Delaware,Cities,Laurel,0,0,1,0,"4,051",2015
Delaware,Cities,Milford,0,0,0,1,"10,331",2015
Delaware,Cities,Milton,1,0,0,0,"2,805",2015
Delaware,Cities,Wilmington,1,0,0,1,"72,078",2015
District of Columbia,Cities,Washington,13,13,18,20,"672,228",2015
Florida,Cities,Clearwater,,2,,,"111,316",2015
Florida,Cities,Coral Springs,,,1,,"129,631",2015
Florida,Cities,Daytona Beach Shores,,,1,,"4,336",2015
Florida,Cities,Deland,,,1,,"29,773",2015
Florida,Cities,Fort Myers,,,1,,"73,218",2015
Florida,Cities,Gainesville,,,2,1,"129,410",2015
Florida,Cities,Melbourne,,1,,,"79,032",2015
Florida,Cities,Miami Beach,6,1,1,4,"92,641",2015
Florida,Cities,Miami Gardens,4,1,,1,"113,469",2015
Florida,Cities,New Port Richey,,1,,,"15,688",2015
Florida,Cities,North Miami,,1,,,"62,010",2015
Florida,Cities,North Palm Beach,,,,1,"12,597",2015
Florida,Cities,North Port,1,,,,"61,148",2015
Florida,Cities,Ocala,1,,,,"57,891",2015
Florida,Cities,Palm Bay,1,2,1,,"106,469",2015
Florida,Cities,Pembroke Pines,,,1,1,"167,266",2015
Florida,Cities,Port St. Lucie,,1,,,"176,364",2015
Florida,Cities,South Daytona,,,1,,"12,435",2015
Florida,Cities,Tallahassee,,1,,,"189,709",2015
Florida,Cities,Venice,,,1,,"21,980",2015
Florida,Cities,West Palm Beach,1,,,,"104,919",2015
Florida,Cities,Winter Garden,,,,1,"39,783",2015
Georgia,Cities,Athens-Clarke County,1,0,0,0,"120,858",2015
Georgia,Cities,Atlanta,0,4,0,0,"464,710",2015
Idaho,Cities,Boise,1,1,2,1,"218,844",2015
Idaho,Cities,Caldwell,1,0,0,0,"51,206",2015
Idaho,Cities,Coeur d'Alene,1,0,0,0,"48,871",2015
Idaho,Cities,Garden City,0,1,0,0,"11,533",2015
Idaho,Cities,Grangeville,0,0,1,0,"3,139",2015
Idaho,Cities,Kimberly,1,0,1,0,"3,570",2015
Idaho,Cities,Nampa,1,0,0,0,"89,875",2015
Idaho,Cities,Osburn,0,1,0,0,"1,493",2015
Idaho,Cities,Pocatello,0,0,1,1,"54,286",2015
Idaho,Cities,Post Falls,0,0,0,1,"30,461",2015
Idaho,Cities,Rexburg,0,1,0,0,"27,499",2015
Idaho,Cities,Shoshone,1,0,0,0,"1,500",2015
Idaho,Cities,Spirit Lake,1,0,0,0,"2,067",2015
Idaho,Cities,St. Maries,0,1,0,0,"2,334",2015
Idaho,Cities,Twin Falls,0,0,0,2,"47,048",2015
Illinois,Cities,Addison,0,1,0,0,"37,370",2015
Illinois,Cities,Aurora,1,0,0,0,"201,034",2015
Illinois,Cities,Beecher,1,0,0,0,"4,483",2015
Illinois,Cities,Belleville,0,0,1,0,"42,150",2015
Illinois,Cities,Berwyn,0,0,2,0,"56,697",2015
Illinois,Cities,Bloomington,0,1,0,0,"79,233",2015
Illinois,Cities,Centralia,0,0,1,0,"12,669",2015
Illinois,Cities,Champaign,0,1,0,0,"85,362",2015
Illinois,Cities,Chicago,6,10,14,8,"2,728,695",2015
Illinois,Cities,Chicago Ridge,1,0,0,0,"14,463",2015
Illinois,Cities,Danville,0,1,0,0,"32,056",2015
Illinois,Cities,De Kalb,1,0,1,0,"44,046",2015
Illinois,Cities,Des Plaines,0,0,1,0,"59,078",2015
Illinois,Cities,Elgin,0,1,0,,"111,832",2015
Illinois,Cities,Evanston,1,0,0,0,"75,930",2015
Illinois,Cities,Geneseo,0,1,0,0,"6,517",2015
Illinois,Cities,Glenview,0,1,0,0,"47,292",2015
Illinois,Cities,Grayslake,1,0,0,0,"21,048",2015
Illinois,Cities,Lombard,0,0,0,1,"44,008",2015
Illinois,Cities,Macomb,0,1,0,0,"18,859",2015
Illinois,Cities,Marissa,0,0,1,0,"1,859",2015
Illinois,Cities,Monmouth,0,0,1,1,"9,548",2015
Illinois,Cities,Moweaqua,1,0,0,0,"1,764",2015
Illinois,Cities,Normal,1,0,1,1,"55,096",2015
Illinois,Cities,North Chicago,0,0,1,2,"29,898",2015
Illinois,Cities,North Riverside,0,1,0,0,"6,703",2015
Illinois,Cities,Oak Forest,0,1,0,0,"28,222",2015
Illinois,Cities,Orland Park,0,0,1,0,"59,161",2015
Illinois,Cities,Rantoul,0,1,0,0,"13,138",2015
Illinois,Cities,Rockford,1,0,1,0,"148,178",2015
Illinois,Cities,Rolling Meadows,1,0,0,0,"24,321",2015
Illinois,Cities,Round Lake Park,0,1,0,0,"7,350",2015
Illinois,Cities,Schaumburg,1,0,0,0,"75,050",2015
Illinois,Cities,Silvis,0,1,0,0,"7,529",2015
Illinois,Cities,Skokie,0,0,0,1,"65,184",2015
Illinois,Cities,Springfield,2,0,0,0,"116,875",2015
Illinois,Cities,Tuscola,0,1,0,0,"4,458",2015
Illinois,Cities,Urbana,2,0,0,0,"42,169",2015
Illinois,Cities,Wheeling,0,0,1,0,"38,092",2015
Indiana,Cities,Bloomington3,2,1,6,1,"84,015",2015
Indiana,Cities,Fort Wayne,0,0,1,0,"259,712",2015
Indiana,Cities,Hammond,0,2,0,0,"77,803",2015
Indiana,Cities,Indianapolis,7,5,6,8,"863,675",2015
Indiana,Cities,Muncie,1,1,0,1,"70,217",2015
Indiana,Cities,Plainfield,0,0,0,1,"31,123",2015
Indiana,Cities,Shelbyville,0,1,0,0,"19,176",2015
Indiana,Cities,South Bend,2,3,,1,"101,240",2015
Iowa,Cities,Cedar Rapids,0,1,0,0,"129,863",2015
Iowa,Cities,Des Moines,0,0,0,1,"210,403",2015
Iowa,Cities,De Witt,0,1,1,0,"5,236",2015
Kansas,Cities,Baxter Springs,0,1,0,0,"4,035",2015
Kansas,Cities,Clay Center,0,0,0,1,"4,136",2015
Kansas,Cities,Colby,0,0,1,0,"5,381",2015
Kansas,Cities,Derby,0,0,1,0,"23,430",2015
Kansas,Cities,Dodge City,0,2,0,2,"28,271",2015
Kansas,Cities,Elwood,0,0,1,0,"1,199",2015
Kansas,Cities,Garden City,0,0,0,1,"27,059",2015
Kansas,Cities,Great Bend,0,0,0,1,"15,800",2015
Kansas,Cities,Hoisington,0,0,1,0,"2,654",2015
Kansas,Cities,Hutchinson,1,2,0,0,"41,499",2015
Kansas,Cities,Iola,1,0,0,0,"5,515",2015
Kansas,Cities,Leavenworth,0,0,0,1,"36,154",2015
Kansas,Cities,Liberal,0,0,1,0,"21,128",2015
Kansas,Cities,Newton,0,1,2,0,"19,103",2015
Kansas,Cities,Overland Park3,3,2,0,1,"187,240",2015
Kansas,Cities,Salina,0,0,1,2,"47,874",2015
Kansas,Cities,Topeka,0,0,0,1,"127,096",2015
Kansas,Cities,Valley Center,0,1,0,0,"7,113",2015
Kansas,Cities,Wichita,2,1,10,2,"389,824",2015
Kansas,Cities,Winfield,0,0,1,0,"12,235",2015
Kentucky,Cities,Alexandria,0,1,0,0,"8,860",2015
Kentucky,Cities,Anchorage,0,0,1,0,"2,422",2015
Kentucky,Cities,Ashland,0,4,1,0,"21,232",2015
Kentucky,Cities,Bardstown,0,0,0,2,"13,087",2015
Kentucky,Cities,Benton,0,1,0,0,"4,309",2015
Kentucky,Cities,Bowling Green,1,4,2,2,"63,346",2015
Kentucky,Cities,Brownsville,0,0,0,1,824,2015
Kentucky,Cities,Carrollton,0,0,1,0,"3,930",2015
Kentucky,Cities,Corbin,0,0,1,0,"7,305",2015
Kentucky,Cities,Covington,2,3,0,0,"41,056",2015
Kentucky,Cities,Dawson Springs,0,2,0,0,"2,740",2015
Kentucky,Cities,Dayton,0,1,1,0,"5,446",2015
Kentucky,Cities,Erlanger,1,1,0,1,"22,774",2015
Kentucky,Cities,Flemingsburg,0,1,0,0,"2,709",2015
Kentucky,Cities,Florence,0,2,0,0,"32,357",2015
Kentucky,Cities,Frankfort,2,1,2,0,"27,603",2015
Kentucky,Cities,Franklin,1,0,0,0,"8,755",2015
Kentucky,Cities,Georgetown,0,3,0,2,"32,273",2015
Kentucky,Cities,Glasgow,1,0,0,2,"14,413",2015
Kentucky,Cities,Henderson,0,0,2,2,"28,928",2015
Kentucky,Cities,Independence,0,2,0,0,"26,773",2015
Kentucky,Cities,Indian Hills,0,0,1,0,"2,965",2015
Kentucky,Cities,La Grange,0,0,1,0,"8,625",2015
Kentucky,Cities,Lexington,4,7,5,9,"314,077",2015
Kentucky,Cities,Louisville Metro,4,1,4,4,"680,550",2015
Kentucky,Cities,Lynnview,0,0,1,0,943,2015
Kentucky,Cities,Mayfield,3,1,1,0,"10,141",2015
Kentucky,Cities,Monticello,1,0,0,0,"6,072",2015
Kentucky,Cities,Murray,0,1,0,1,"18,810",2015
Kentucky,Cities,Newport,0,1,1,1,"15,413",2015
Kentucky,Cities,Nicholasville,0,0,0,1,"29,351",2015
Kentucky,Cities,Oak Grove,0,1,0,0,"7,515",2015
Kentucky,Cities,Owensboro,1,1,1,2,"58,608",2015
Kentucky,Cities,Owingsville,0,0,1,0,"1,597",2015
Kentucky,Cities,Paducah,2,2,1,0,"24,968",2015
Kentucky,Cities,Paris,0,0,1,0,"9,747",2015
Kentucky,Cities,Pembroke,0,0,1,0,895,2015
Kentucky,Cities,Princeton,0,1,2,0,"6,166",2015
Kentucky,Cities,Scottsville,0,0,1,0,"4,373",2015
Kentucky,Cities,Shepherdsville,0,1,1,1,"11,990",2015
Kentucky,Cities,Shively,1,0,0,2,"15,733",2015
Kentucky,Cities,Simpsonville,1,0,0,0,"2,695",2015
Kentucky,Cities,Taylor Mill,0,0,0,2,"6,748",2015
Kentucky,Cities,Taylorsville,0,0,1,0,796,2015
Kentucky,Cities,Versailles,0,2,0,0,"9,105",2015
Kentucky,Cities,West Buechel,1,0,0,0,"1,272",2015
Kentucky,Cities,Winchester,0,0,0,2,"18,462",2015
Louisiana,Cities,Mamou,0,1,0,0,"3,173",2015
Louisiana,Cities,Natchitoches,1,0,0,0,"18,350",2015
Louisiana,Cities,New Orleans,0,1,2,2,"393,447",2015
Louisiana,Cities,Shreveport,0,0,0,1,"197,592",2015
Louisiana,Cities,Vinton,0,1,,,"3,353",2015
Louisiana,Cities,Westlake,1,0,0,0,"4,625",2015
Maine,Cities,Augusta,1,0,1,2,"18,608",2015
Maine,Cities,Brewer,0,1,0,0,"9,279",2015
Maine,Cities,Islesboro,0,2,0,0,568,2015
Maine,Cities,Lewiston,0,1,2,1,"36,232",2015
Maine,Cities,Livermore Falls,0,1,0,0,"3,134",2015
Maine,Cities,Old Orchard Beach,2,1,0,0,"8,790",2015
Maine,Cities,Portland,0,1,1,5,"66,816",2015
Maine,Cities,Saco,2,0,2,1,"19,146",2015
Maine,Cities,Sanford,0,0,1,0,"20,936",2015
Maine,Cities,Scarborough,0,1,1,0,"19,682",2015
Maine,Cities,South Portland,0,3,1,0,"25,540",2015
Maine,Cities,Topsham,0,0,1,0,"8,703",2015
Maryland,Cities,Baltimore,2,0,2,,"621,252",2015
Maryland,Cities,Bowie,1,0,0,0,"58,304",2015
Maryland,Cities,Frederick,1,0,0,0,"69,162",2015
Maryland,Cities,Greenbelt,0,0,2,1,"24,385",2015
Maryland,Cities,Laurel,0,0,4,0,"26,406",2015
Massachusetts,Cities,Acton3,4,2,2,1,"23,573",2015
Massachusetts,Cities,Agawam,0,0,2,0,"28,853",2015
Massachusetts,Cities,Amesbury,0,1,0,1,"16,922",2015
Massachusetts,Cities,Andover,0,2,0,0,"35,562",2015
Massachusetts,Cities,Arlington,0,2,0,3,"44,873",2015
Massachusetts,Cities,Attleboro,0,1,1,0,"44,079",2015
Massachusetts,Cities,Barnstable,1,0,0,0,"44,392",2015
Massachusetts,Cities,Bedford,0,0,1,0,"14,435",2015
Massachusetts,Cities,Bellingham,1,0,0,0,"16,879",2015
Massachusetts,Cities,Belmont,0,1,0,0,"25,692",2015
Massachusetts,Cities,Beverly,0,0,0,1,"41,281",2015
Massachusetts,Cities,Billerica,0,0,1,0,"42,762",2015
Massachusetts,Cities,Boston3,28,40,40,31,"665,258",2015
Massachusetts,Cities,Braintree,0,1,2,0,"37,772",2015
Massachusetts,Cities,Brockton,0,0,0,1,"95,049",2015
Massachusetts,Cities,Cambridge,3,7,4,5,"110,953",2015
Massachusetts,Cities,Chicopee,0,1,2,0,"55,926",2015
Massachusetts,Cities,Cohasset,1,0,0,0,"8,550",2015
Massachusetts,Cities,Danvers3,0,3,1,1,"27,708",2015
Massachusetts,Cities,Dracut,0,0,0,1,"31,486",2015
Massachusetts,Cities,Easthampton,0,0,1,0,"16,033",2015
Massachusetts,Cities,Everett,1,0,0,1,"44,898",2015
Massachusetts,Cities,Falmouth,0,0,1,0,"31,666",2015
