Year,State,Agency type,Agency name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population2
2010,,,Oakland,3,3,6,3,409723
2010,,,Oakley,0,1,1,0,33556
2010,,,Oceanside,0,1,5,0,173901
2010,,,Ontario,0,1,1,0,172814
2010,,,Oxnard,1,2,1,5,189051
2010,,,Pacifica,0,2,0,0,37917
2010,,,Pacific Grove,0,0,0,1,14537
2010,,,Palmdale,1,3,1,1,146819
2010,,,Palm Springs,2,8,3,3,48696
2010,,,Palo Alto,0,1,1,0,60288
2010,,,Paradise,0,0,0,1,26424
2010,,,Paramount,1,0,0,0,54914
2010,,,Parlier,0,1,0,0,13532
2010,,,Pasadena,1,0,1,1,144496
2010,,,Patterson,0,0,1,0,19938
2010,,,Perris,1,1,0,0,58622
2010,,,Petaluma,0,1,0,0,55168
2010,,,Pico Rivera,0,0,0,1,62783
2010,,,Placentia,0,1,0,0,50237
2010,,,Pleasant Hill,0,1,0,0,33048
2010,,,Pomona,0,1,2,2,152673
2010,,,Poway,0,1,0,0,50010
2010,,,Rancho Cucamonga,0,1,0,1,176686
2010,,,Rancho Palos Verdes,0,0,3,0,40905
2010,,,Rancho Santa Margarita,0,0,1,0,49665
2010,,,Red Bluff,0,1,0,0,13836
2010,,,Redding,3,1,1,0,91414
2010,,,Redlands,1,0,0,0,70552
2010,,,Redondo Beach,2,2,1,2,66985
2010,,,Redwood City,0,1,0,0,74355
2010,,,Richmond,0,3,1,1,103442
2010,,,Ridgecrest,0,0,1,0,25973
2010,,,Ripon,0,3,0,1,15271
2010,,,Riverbank,2,0,0,0,21241
2010,,,Riverside,6,2,6,7,301859
2010,,,Rohnert Park,1,2,2,0,40843
2010,,,Rolling Hills Estates,0,0,1,0,7841
2010,,,Roseville,1,1,1,0,119755
2010,,,Sacramento,5,7,8,5,472469
2010,,,San Bernardino,0,2,0,0,199214
2010,,,San Bruno,0,0,1,1,41517
2010,,,San Diego,11,13,13,12,1313433
2010,,,San Francisco,18,10,18,17,818594
2010,,,San Jacinto,0,1,0,0,39703
2010,,,San Jose,4,4,9,7,970252
2010,,,San Juan Capistrano,0,0,1,0,35241
2010,,,San Leandro,0,1,5,5,78447
2010,,,San Luis Obispo,1,2,0,0,44008
2010,,,San Marcos,1,1,3,0,83671
2010,,,San Mateo,0,0,1,0,92724
2010,,,San Pablo,0,1,0,0,31122
2010,,,San Rafael,1,1,1,2,55832
