year,state,agencyType,agencyName,q01,q02,q03,q04,population,lookatMe,
, Nan, Nan,Greenwood Village,0,1,0,0,14614, Nan,
, Nan, Nan,Lafayette,0,1,2,0,26145, Nan,
, Nan, Nan,Lakewood,1,1,0,2,146298, Nan,
, Nan, Nan,Littleton,1,0,0,0,44375, Nan,
, Nan, Nan,Lone Tree,0,0,1,0,12056, Nan,
, Nan, Nan,Longmont,2,1,0,0,89434, Nan,
, Nan, Nan,Loveland,0,1,0,0,71325, Nan,
, Nan, Nan,Monument,0,0,1,0,5800, Nan,
, Nan, Nan,Pueblo,0,0,1,1,108062, Nan,
, Nan, Nan,Rifle,1,0,0,0,9306, Nan,
, Nan, Nan,Snowmass Village,1,0,0,0,2851, Nan,
, Nan, Nan,Steamboat Springs,0,0,1,0,12008, Nan,
, Nan, Nan,Telluride,0,0,1,0,2313, Nan,
, Nan, Nan,Thornton,0,0,1,2,125775, Nan,
, Nan, Nan,Westminster,1,0,0,0,110093, Nan,
, Nan,Universities and Colleges, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,"Colorado State University, Fort Collins",0,0,0,1,30659, Nan,
, Nan, Nan,"University of Colorado, Boulder",0,0,0,2,31945, Nan,
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Adams,1,0,2,0, Nan, Nan,
, Nan, Nan,Arapahoe,6,0,2,0, Nan, Nan,
, Nan, Nan,El Paso,0,0,1,1, Nan, Nan,
, Nan, Nan,Larimer,0,0,0,2, Nan, Nan,
, Nan, Nan,Mesa,1,0,0,0, Nan, Nan,
, Nan, Nan,Park,0,1,0,0, Nan, Nan,
, Nan, Nan,Pueblo,0,0,1,0, Nan, Nan,
, Nan, Nan,Weld,1,0,1,0, Nan, Nan,
, Nan,Nonmetropolitan Counties, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Cheyenne,1,0,0,0, Nan, Nan,
, Nan, Nan,Garfield,0,1,0,1, Nan, Nan,
, Nan, Nan,Logan,0,0,1,1, Nan, Nan,
, Nan, Nan,Montezuma,1,0,0,0, Nan, Nan,
, Nan, Nan,Pitkin,0,0,0,1, Nan, Nan,
