year,state,agencyType,agencyName,q01,q02,q03,q04,population,lookAtMe
, Nan, Nan,Newark,0,0,0,1,45258,
, Nan, Nan,Newport Beach,2,0,0,0,87749,
, Nan, Nan,Norwalk,2,0,1,0,107470,
, Nan, Nan,Oakland,2,9,6,1,419481,
, Nan, Nan,Oceanside,0,0,1,1,176319,
, Nan, Nan,Ontario,0,0,0,2,170274,
, Nan, Nan,Orange,0,1,2,0,140572,
, Nan, Nan,Oxnard,0,4,3,0,207221,
, Nan, Nan,Palmdale,1,0,1,0,159613,
, Nan, Nan,Palm Desert,1,0,0,0,51847,
, Nan, Nan,Palm Springs,0,2,0,1,47388,
, Nan, Nan,Palo Alto,0,1,1,1,67560,
, Nan, Nan,Paramount,1,1,0,0,55727,
, Nan, Nan,Pasadena,0,0,1,1,141815,
, Nan, Nan,Placentia,0,2,0,0,52753,
, Nan, Nan,Pleasant Hill,0,1,0,0,34829,
, Nan, Nan,Port Hueneme,1,0,0,0,22249,
, Nan, Nan,Rancho Cucamonga,2,1,0,1,176376,
, Nan, Nan,Rancho Palos Verdes,0,0,2,0,42993,
, Nan, Nan,Redding,1,4,2,4,92020,
, Nan, Nan,Redlands,0,1,0,1,71078,
, Nan, Nan,Redondo Beach,0,1,0,0,68492,
, Nan, Nan,Rialto,0,1,0,0,103590,
, Nan, Nan,Richmond,0,0,0,1,109716,
, Nan, Nan,Riverside,0,0,5,2,323064,
, Nan, Nan,Roseville,0,2,0,0,131039,
, Nan, Nan,Sacramento,1,4,2,1,489717,
, Nan, Nan,Salinas,0,0,2,1,158185,
, Nan, Nan,San Bernardino,1,2,1,0,216477,
, Nan, Nan,San Diego,10,9,6,11,1400467,
, Nan, Nan,San Dimas,0,1,0,0,34955,
, Nan, Nan,San Francisco,8,11,7,2,863782,
, Nan, Nan,San Jacinto,0,1,0,0,47022,
, Nan, Nan,San Jose,2,1,0,3,1031458,
, Nan, Nan,San Juan Capistrano,0,1,0,0,36666,
, Nan, Nan,San Leandro,1,0,1,1,90438,
, Nan, Nan,San Marino,0,0,1,0,13491,
, Nan, Nan,San Mateo,0,0,0,2,104306,
, Nan, Nan,Santa Ana,2,3,5,0,337304,
, Nan, Nan,Santa Barbara,0,1,0,0,91877,
, Nan, Nan,Santa Clarita,2,1,0,1,211132,
, Nan, Nan,Santa Cruz,2,1,1,2,64076,
, Nan, Nan,Santa Monica,0, Nan,2,0,93796,
, Nan, Nan,Santa Rosa,1,0,0,1,175738,
, Nan, Nan,Santee,0,0,1,0,57934,
, Nan, Nan,Scotts Valley,0,0,1,0,11926,
, Nan, Nan,Seaside,0,1,0,0,34459,
, Nan, Nan,Selma,0,0,1,0,24532,
, Nan, Nan,Simi Valley,1,1,1,2,127472,
, Nan, Nan,Sonoma,0,1,1,0,11107,
, Nan, Nan,Sonora,0,1,0,0,4779,
, Nan, Nan,South Gate,0,0,0,2,96775,
, Nan, Nan,Stockton,1,0,1,2,304890,
, Nan, Nan,Temecula,0,0,1,0,111673,
, Nan, Nan,Thousand Oaks,0,1,1,0,129976,
, Nan, Nan,Torrance,0,1,0,0,149243,
, Nan, Nan,Tracy,0,1,2,0,86477,
, Nan, Nan,Turlock,1,1,1,3,71895,
, Nan, Nan,Upland,0,0,1,0,76581,
, Nan, Nan,Ventura,1,1,2,0,110077,
, Nan, Nan,Victorville,1,1,0,0,123332,
, Nan, Nan,Visalia,1,1,0,1,130405,
, Nan, Nan,Vista,0,0,3,0,99097,
, Nan, Nan,Walnut Creek,2,0,1,1,68530,
, Nan, Nan,West Covina,2,0,0,0,109030,
, Nan, Nan,West Hollywood,2,1,2,1,36256,
, Nan, Nan,Westminster,0,1,1,0,92640,
, Nan,Universities and Colleges, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,"California State Polytechnic University, San Luis Obispo",0,0,0,2,20186,
, Nan, Nan,California State University:, Nan, Nan, Nan, Nan,,
, Nan, Nan,Dominguez Hills,0,0,0,1,14687,
, Nan, Nan,Fullerton,1,0,0,0,38128,
, Nan, Nan,Northridge,0,0,1,0,40131,
, Nan, Nan,San Jose,1,0,0,1,32713,
, Nan, Nan,Humboldt State University,0,1,1,1,8485,
, Nan, Nan,San Diego State University,0,0,1,1,33483,
, Nan, Nan,University of California:, Nan, Nan, Nan, Nan,,
, Nan, Nan,Berkeley,1,0,1,0,37565,
, Nan, Nan,Davis,0,1,3,1,34508,
, Nan, Nan,Los Angeles,3,1,2,1,41845,
, Nan, Nan,Santa Cruz,1,0,0,0,17866,
, Nan, Nan,Ventura County Community College District,0,0,1,0,33956,
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Kern,0,2,1,1,,
, Nan, Nan,Kings,0,0,0,1,,
, Nan, Nan,Los Angeles,4,12,8,4,,
, Nan, Nan,Marin,1,0,0,0,,
