Year,State,Agency type,Agency name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population2
, Nan, Nan,Riverside Community College,0,0,1,0,18395
, Nan, Nan,San Diego State University,0,1,0,0,30541
, Nan, Nan,Santa Rosa Junior College,0,1,1,0,24199
, Nan, Nan,University of California:, Nan, Nan, Nan, Nan,
, Nan, Nan,Berkeley,0,1,2,2,36137
, Nan, Nan,Irvine,0,0,1,0,27189
, Nan, Nan,Los Angeles,1,0,0,0,39271
, Nan, Nan,Riverside,1,1,0,0,20900
, Nan, Nan,San Diego,1,0,0,0,28593
, Nan, Nan,San Francisco,0,2,0,0,3054
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Alameda,0,0,0,1,
, Nan, Nan,Butte,1,0,0,0,
, Nan, Nan,Contra Costa,0,1,0,0,
, Nan, Nan,El Dorado,1,2,0,1,
, Nan, Nan,Kern,0,0,0,1,
, Nan, Nan,Los Angeles,9,5,11,2,
, Nan, Nan,Monterey,1,0,0,0,
, Nan, Nan,Orange,0,1,1,0,
, Nan, Nan,Riverside,0,0,1,2,
, Nan, Nan,Sacramento,5,7,4,4,
, Nan, Nan,San Bernardino,1,0,0,0,
, Nan, Nan,San Diego,3,9,7,5,
, Nan, Nan,Santa Clara,0,0,1,1,
, Nan, Nan,Santa Cruz,3,3,2,0,
, Nan, Nan,Solano,1,0,0,0,
, Nan, Nan,Sonoma,0,1,3,0,
, Nan, Nan,Stanislaus,0,1,1,0,
, Nan, Nan,Tulare,0,1,0,0,
, Nan, Nan,Ventura,2,0,1,1,
, Nan, Nan,Yuba,0,0,1,1,
, Nan,Nonmetropolitan Counties, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Amador,2,0,0,0,
, Nan, Nan,Lake,1,2,0,0,
, Nan, Nan,Tuolumne,1,0,0,0,
, Nan,Other Agencies, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,"Department of Parks and Recreation, Northern Buttes",1,0,0,0,
, Nan, Nan,Los Angeles Transportation Services Bureau,1,4,3,3,
, Nan, Nan,Port of San Diego Harbor,0,0,0,1,
, Nan, Nan,Santa Clara Transit District,1,0,0,0,
, Nan, Nan,San Francisco Bay Area Rapid Transit:, Nan, Nan, Nan, Nan,
, Nan, Nan,Alameda County,0,1,2,0,
, Nan, Nan,Contra Costa County,0,2,0,0,
, Nan, Nan,San Francisco County,2,1,0,0,
, Nan, Nan,San Mateo County,0,0,1,0,
, Nan, Nan,Stockton Unified School District,1,0,0,0,
,Colorado,Total, Nan, Nan, Nan, Nan, Nan,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Aspen,0,0,1,0,6734
, Nan, Nan,Aurora,1,0,1,1,336952
, Nan, Nan,Berthoud,1,0,0,0,5278
, Nan, Nan,Boulder,0,1,0,0,100257
, Nan, Nan,Canon City,0,0,1,1,16727
, Nan, Nan,Centennial,1,1,1,0,104022
, Nan, Nan,Colorado Springs,0,5,7,6,432287
, Nan, Nan,Craig,0,0,5,0,9357
, Nan, Nan,Denver,11,8,13,13,628545
, Nan, Nan,Durango,0,1,1,0,17305
, Nan, Nan,Englewood,0,1,1,0,31358
, Nan, Nan,Fort Collins,0,0,1,1,148792
, Nan, Nan,Fountain,0,0,3,1,26841
, Nan, Nan,Frisco,0,1,0,0,2717
, Nan, Nan,Glendale,0,0,1,2,4493
, Nan, Nan,Glenwood Springs,0,0,1,2,9727
, Nan, Nan,Grand Junction,1,0,3,0,59516
, Nan, Nan,Greeley,3,1,2,0,96276
, Nan, Nan,Hotchkiss, Nan,1,0,0,942
, Nan, Nan,Johnstown,0,0,1,0,10259
, Nan, Nan,Lafayette,0,1,3,4,25209
, Nan, Nan,La Junta,0,0,1,0,7187
, Nan, Nan,Lakewood,0,0,0,2,146404
, Nan, Nan,Littleton,2,0,0,0,43229
, Nan, Nan,Lone Tree,1,3,2,1,88925
, Nan, Nan,Longmont,4,3,0,0,69147
, Nan, Nan,Meeker,0,0,1,0,2554
, Nan, Nan,Monument,0,2,0,0,5744
, Nan, Nan,Parker,0,1,0,0,47004
, Nan, Nan,Pueblo,2,1,0,0,109065
, Nan, Nan,Sheridan,0,0,1,0,5871
, Nan, Nan,Steamboat Springs,0,1,0,0,12116
, Nan, Nan,Sterling,2,0,0,0,14929
, Nan, Nan,Telluride,0,1,0,0,2401
, Nan, Nan,Westminster,0,0,0,1,109461
, Nan, Nan,Wheat Ridge3,1,1,1,0,30886
, Nan, Nan,Windsor,0,1,1,0,19330
, Nan,Universities and Colleges, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Auraria Higher Education Center4,0,0,0,1,
