year,state,agencyType,agencyName,q01,q02,q03,q04,population,lookAtMe
2016,California,Cities,Orange,0,1,0,0,141841,0
2016,California,Cities,Oxnard,2,1,1,2,209048,0
2016,California,Cities,Pacific Grove,0,1,0,0,15795,0
2016,California,Cities,Palmdale,5,0,2,1,159441,0
2016,California,Cities,Palm Springs,1,2,0,0,47909,0
2016,California,Cities,Palo Alto,1,2,1,0,67317,0
2016,California,Cities,Paradise,0,1,0,0,26532,0
2016,California,Cities,Parlier,0,1,0,0,15262,0
2016,California,Cities,Pasadena,1,0,1,0,143288,0
2016,California,Cities,Perris,0,0,0,1,76260,0
2016,California,Cities,Petaluma,1,0,0,0,60933,0
2016,California,Cities,Placentia,0,1,0,0,52800,0
2016,California,Cities,Pomona,2,1,2,0,154109,0
2016,California,Cities,Poway,0,0,0,1,50606,0
2016,California,Cities,Rancho Cucamonga,0,2,1,1,177089,0
2016,California,Cities,Rancho Palos Verdes,0,0,1,0,42947,0
2016,California,Cities,Redding,0,1,7,2,91918,0
2016,California,Cities,Redlands,1,2,3,0,71485,0
2016,California,Cities,Redwood City,0,0,1,3,87046,0
2016,California,Cities,Rialto,0,0,0,1,103893,0
2016,California,Cities,Richmond,0,1,1,2,110868,0
2016,California,Cities,Ridgecrest,0,1,0,0,29003,0
2016,California,Cities,Riverside,2,2,2,2,325896,0
2016,California,Cities,Roseville,0,1,4,6,132566,0
2016,California,Cities,Sacramento,4,1,1,0,495471,0
2016,California,Cities,Salinas,0,1,0,0,158729,0
2016,California,Cities,San Bernardino,0,1,4,1,217303,0
2016,California,Cities,San Bruno,0,0,1,1,43613,0
2016,California,Cities,San Diego,7,10,6,12,1413414,0
2016,California,Cities,San Fernando,1,0,0,1,25194,0
2016,California,Cities,San Francisco,9,12,10,5,871155,0
2016,California,Cities,San Jose,5,1,4,9,1041844,0
2016,California,Cities,San Leandro,4,5,5,8,91870,0
2016,California,Cities,San Luis Obispo,2,0,0,0,47774,0
2016,California,Cities,San Marcos,1,0,0,1,94840,0
2016,California,Cities,San Mateo,0,1,0,1,104802,0
2016,California,Cities,San Rafael,0,0,0,1,59435,0
2016,California,Cities,San Ramon,0,0,0,4,76901,0
2016,California,Cities,Santa Ana,3,2,0,1,337419,0
2016,California,Cities,Santa Clarita,3,1,2,4,219611,0
2016,California,Cities,Santa Cruz,4,1,2,5,64969,0
2016,California,Cities,Santa Monica,0,2,1,0,93921,0
2016,California,Cities,Santa Rosa,1,0,0,0,176383,0
2016,California,Cities,Santee,0,0,0,1,58651,0
2016,California,Cities,Sebastopol,0,1,0,0,7734,0
2016,California,Cities,Simi Valley,0,1,0,1,127252,0
2016,California,Cities,Solvang,0,0,1,0,5844,0
2016,California,Cities,Sonoma,1,0,0,0,11113,0
2016,California,Cities,Sonora,0,0,0,1,4802,0
2016,California,Cities,South Gate,0,0,1,1,96791,0
2016,California,Cities,South San Francisco,0,0,0,4,67995,0
2016,California,Cities,Stockton,0,0,2,1,308348,0
2016,California,Cities,Suisun City,0,1,0,0,29768,0
2016,California,Cities,Sunnyvale,0,0,1,0,154108,0
2016,California,Cities,Thousand Oaks,0,1,0,0,129853,0
2016,California,Cities,Torrance,0,0,1,0,149078,0
2016,California,Cities,Turlock,3,0,0,0,73031,0
2016,California,Cities,Twentynine Palms,0,0,0,1,26213,0
2016,California,Cities,Ukiah,0,1,0,0,15897,0
2016,California,Cities,Union City,0,1,0,0,75501,0
2016,California,Cities,Vacaville,1,0,0,0,97671,0
2016,California,Cities,Vallejo,0,0,1,1,122293,0
2016,California,Cities,Ventura,0,1,1,1,110228,0
2016,California,Cities,Victorville,0,1,0,1,123438,0
2016,California,Cities,Walnut Creek,0,1,1,1,69860,0
2016,California,Cities,Watsonville,1,0,0,0,54110,0
2016,California,Cities,West Covina,1,0,0,0,108950,0
2016,California,Cities,West Hollywood,0,2,2,3,36594,0
2016,California,Cities,Westminster,3,0,1,0,92582,0
2016,California,Cities,Wildomar,0,0,0,1,36310,0
2016,California,Cities,Windsor,1,0,0,1,27594,0
2016,California,Universities and Colleges,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,California,Universities and Colleges,"California State Polytechnic University, San Luis Obispo",1,0,0,0,20944,0
2016,California,Universities and Colleges,California State University:,DNR,DNR,DNR,DNR,No Data,1
2016,California,Universities and Colleges,Dominguez Hills,2,0,0,2,14635,0
2016,California,Universities and Colleges,Fullerton,0,1,0,0,38948,0
2016,California,Universities and Colleges,Long Beach,0,0,2,0,37446,0
2016,California,Universities and Colleges,San Jose,0,0,1,4,32773,0
2016,California,Universities and Colleges,Stanislaus,1,0,0,0,9282,0
2016,California,Universities and Colleges,Foothill-De Anza College,1,1,0,0,37960,0
2016,California,Universities and Colleges,Humboldt State University,0,2,1,0,8790,0
2016,California,Universities and Colleges,Riverside Community College,0,0,0,1,37594,0
2016,California,Universities and Colleges,San Diego State University,1,1,0,1,34254,0
2016,California,Universities and Colleges,University of California:,DNR,DNR,DNR,DNR,No Data,1
2016,California,Universities and Colleges,Berkeley,1,1,0,2,38189,0
