year,state,agencyType,agencyName,q01,q02,q03,q04,population,lookatMe,
2013,Colorado,Cities,Centennial,2,2,1,1,104771,0,
2013,Colorado,Cities,Colorado Springs,2,4,1,0,436108,0,
2013,Colorado,Cities,Commerce City,0,0,1,0,49200,0,
2013,Colorado,Cities,Denver,3,13,9,5,648981,0,
2013,Colorado,Cities,Dillon,0,1,0,0,906,0,
2013,Colorado,Cities,Durango,1,0,1,0,17303,0,
2013,Colorado,Cities,Englewood,0,0,0,2,31454,0,
2013,Colorado,Cities,Erie,1,0,0,0,19627,0,
2013,Colorado,Cities,Fountain,2,1,0,0,27163,0,
2013,Colorado,Cities,Glendale,1,0,0,0,4502,0,
2013,Colorado,Cities,Glenwood Springs,0,0,1,0,9715,0,
2013,Colorado,Cities,Golden,0,0,0,1,19334,0,
2013,Colorado,Cities,Grand Junction,1,1,2,1,60167,0,
2013,Colorado,Cities,Greeley,0,0,0,1,96111,0,
2013,Colorado,Cities,Greenwood Village,0,1,0,0,14614,0,
2013,Colorado,Cities,Lafayette,0,1,2,0,26145,0,
2013,Colorado,Cities,Lakewood,1,1,0,2,146298,0,
2013,Colorado,Cities,Littleton,1,0,0,0,44375,0,
2013,Colorado,Cities,Lone Tree,0,0,1,0,12056,0,
2013,Colorado,Cities,Longmont,2,1,0,0,89434,0,
2013,Colorado,Cities,Loveland,0,1,0,0,71325,0,
2013,Colorado,Cities,Monument,0,0,1,0,5800,0,
2013,Colorado,Cities,Pueblo,0,0,1,1,108062,0,
2013,Colorado,Cities,Rifle,1,0,0,0,9306,0,
2013,Colorado,Cities,Snowmass Village,1,0,0,0,2851,0,
2013,Colorado,Cities,Steamboat Springs,0,0,1,0,12008,0,
2013,Colorado,Cities,Telluride,0,0,1,0,2313,0,
2013,Colorado,Cities,Thornton,0,0,1,2,125775,0,
2013,Colorado,Cities,Westminster,1,0,0,0,110093,0,
2013,Colorado,Universities and Colleges,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,Colorado,Universities and Colleges,"Colorado State University, Fort Collins",0,0,0,1,30659,0,
2013,Colorado,Universities and Colleges,"University of Colorado, Boulder",0,0,0,2,31945,0,
2013,Colorado,Metropolitan Counties,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,Colorado,Metropolitan Counties,Adams,1,0,2,0, Nan,0,
2013,Colorado,Metropolitan Counties,Arapahoe,6,0,2,0, Nan,0,
2013,Colorado,Metropolitan Counties,El Paso,0,0,1,1, Nan,0,
2013,Colorado,Metropolitan Counties,Larimer,0,0,0,2, Nan,0,
2013,Colorado,Metropolitan Counties,Mesa,1,0,0,0, Nan,0,
2013,Colorado,Metropolitan Counties,Park,0,1,0,0, Nan,0,
2013,Colorado,Metropolitan Counties,Pueblo,0,0,1,0, Nan,0,
2013,Colorado,Metropolitan Counties,Weld,1,0,1,0, Nan,0,
2013,Colorado,Nonmetropolitan Counties,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,Colorado,Nonmetropolitan Counties,Cheyenne,1,0,0,0, Nan,0,
2013,Colorado,Nonmetropolitan Counties,Garfield,0,1,0,1, Nan,0,
2013,Colorado,Nonmetropolitan Counties,Logan,0,0,1,1, Nan,0,
2013,Colorado,Nonmetropolitan Counties,Montezuma,1,0,0,0, Nan,0,
2013,Colorado,Nonmetropolitan Counties,Pitkin,0,0,0,1, Nan,0,
2013,Colorado,State Police Agencies,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,Colorado,State Police Agencies,Colorado State Patrol,0,0,0,1, Nan,0,
2013,Connecticut,Total,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,Connecticut,Cities,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,Connecticut,Cities,Bethel,1,0,0,0,19338,0,
2013,Connecticut,Cities,Bridgeport,2,4,3,2,147076,0,
2013,Connecticut,Cities,Canton,0,0,1,0,10369,0,
2013,Connecticut,Cities,Danbury,DNR,2,DNR,1,83363,0,
2013,Connecticut,Cities,Derby,0,0,0,1,12806,0,
2013,Connecticut,Cities,East Hampton,0,1,0,1,12934,0,
2013,Connecticut,Cities,East Hartford,0,1,0,0,51275,0,
2013,Connecticut,Cities,East Windsor,0,0,1,0,11455,0,
2013,Connecticut,Cities,Enfield,DNR,1,DNR,DNR,44661,0,
2013,Connecticut,Cities,Glastonbury,1,0,0,0,34782,0,
2013,Connecticut,Cities,Groton,0,1,1,0,9359,0,
2013,Connecticut,Cities,Groton Town,0,1,1,0,29946,0,
2013,Connecticut,Cities,Guilford,DNR,DNR,1,DNR,22409,0,
2013,Connecticut,Cities,Hamden,0,1,0,0,60829,0,
2013,Connecticut,Cities,Hartford,2,1,1,0,124927,0,
2013,Connecticut,Cities,Manchester,2,2,4,2,58304,0,
2013,Connecticut,Cities,Meriden,1,1,DNR,1,60558,0,
2013,Connecticut,Cities,Middletown,0,3,1,3,47221,0,
2013,Connecticut,Cities,Milford,DNR,2,4,DNR,53041,0,
2013,Connecticut,Cities,New Britain,1,DNR,DNR,DNR,73134,0,
2013,Connecticut,Cities,New Haven,3,2,4,1,131071,0,
2013,Connecticut,Cities,Newington,DNR,DNR,1,2,30612,0,
2013,Connecticut,Cities,New London,3,0,0,0,27738,0,
2013,Connecticut,Cities,New Milford,0,1,0,0,27743,0,
2013,Connecticut,Cities,North Branford,2,0,0,0,14369,0,
2013,Connecticut,Cities,Norwalk,0,0,3,0,87590,0,
2013,Connecticut,Cities,Norwich,DNR,DNR,1,DNR,40485,0,
2013,Connecticut,Cities,Old Saybrook,0,1,0,2,10239,0,
2013,Connecticut,Cities,Plainville,DNR,DNR,DNR,1,17850,0,
2013,Connecticut,Cities,Plymouth,0,1,1,0,12043,0,
2013,Connecticut,Cities,Southington,3,2,2,0,43542,0,
2013,Connecticut,Cities,South Windsor,DNR,1,DNR,DNR,25871,0,
2013,Connecticut,Cities,Stamford,2,2,1,3,125876,0,
2013,Connecticut,Cities,Stratford,0,1,1,1,52285,0,
2013,Connecticut,Cities,Suffield,0,0,1,0,15908,0,
2013,Connecticut,Cities,Torrington,1,3,1,0,35634,0,
2013,Connecticut,Cities,Wallingford,1,1,2,0,45185,0,
2013,Connecticut,Cities,Waterbury,3,1,2,0,109763,0,
2013,Connecticut,Cities,West Haven,DNR,DNR,1,DNR,55349,0,
2013,Connecticut,Cities,Willimantic,1,0,0,0,17839,0,
2013,Connecticut,Cities,Winchester,2,0,0,0,11019,0,
2013,Connecticut,Cities,Windsor Locks,0,1,0,0,12560,0,
2013,Connecticut,Cities,Wolcott,0,1,0,0,16735,0,
2013,Connecticut,Universities and Colleges,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,Connecticut,Universities and Colleges,Central Connecticut State University,0,0,0,1,12091,0,
2013,Connecticut,Universities and Colleges,Southern Connecticut State University,1,1,0,0,11117,0,
2013,Connecticut,Universities and Colleges,"University of Connecticut, Storrs, Avery Point, and Hartford4",2,1,1,1, Nan,0,
2013,Connecticut,Universities and Colleges,Yale University,DNR,DNR,DNR,1,11906,0,
2013,Connecticut,State Police Agencies,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,Connecticut,State Police Agencies,Connecticut State Police,2,1,4,0, Nan,0,
2013,Delaware,Total,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
